Afríka	Африка
Truman Capote	Капоте, Трумен
Earvin „Magic“ Johnson	Джонсон, Мэджик
Plótínos	Плотин
Freska	Фреска
Fjölsykra	Полисахариды
Fury	Фурия
Jonas Brothers	Jonas Brothers
Ferningsrót	Квадратный корень
Loðvík 7. Frakkakonungur	Людовик VII (король Франции)
Helíos	Гелиос
Dharma	Дхарма
Katyn-fjöldamorðin	Катынский расстрел
Andlitsmynd	Портрет
Karl 9. Frakkakonungur	Карл IX (король Франции)
Barbari	Варвары
Roger Moore	Мур, Роджер
Satúrnus (guð)	Сатурн (мифология)
Mjallhvít og dvergarnir sjö	Белоснежка и семь гномов (мультфильм)
Staðfræði	Топография
Karl 8. Frakkakonungur	Карл VIII (король Франции)
Yukio Mishima	Юкио Мисима
Jósefos Flavíos	Иосиф Флавий
Port Saíd	Порт-Саид
Súes	Суэц
The Black Eyed Peas	The Black Eyed Peas
Smáskífa	Сингл
Belti (fatnaður)	Ремень
Talk	Тальк
Ætiþistill	Артишок испанский
Jyväskylä	Ювяскюля
Bonifasíus 8.	Бонифаций VIII
Hino Nacional Brasileiro	Гимн Бразилии
Exeter	Эксетер
Messínasund	Мессинский пролив
Šiauliai	Шяуляй
Aðall	Дворянство
Silkiormur	Тутовый шелкопряд
Kokteill	Коктейль
Jarðlagafræði	Стратиграфия
Murakami Haruki	Мураками, Харуки
Bóluefni	Вакцина
Forskeyti	Приставка (лингвистика)
Verdun-samningurinn	Верденский договор
Feðradagurinn	День отца
Landgrunn	Шельф
Kampavín	Шампанское
Danny Boyle	Бойл, Дэнни
CN-turninn	Си-Эн Тауэр
Fáni Taílands	Флаг Таиланда
Javier Bardem	Бардем, Хавьер
Stoke-on-Trent	Сток-он-Трент
Pindaros	Пиндар
Munnvatnskirtlar	Слюнные железы
Vetrarstríðið	Советско-финская война (1939—1940)
Skeifugörn	Двенадцатиперстная кишка человека
Tasmaníuskolli	Тасманийский дьявол
Hippókratesareiðurinn	Клятва Гиппократа
Bókfræði	Библиография
Núbía	Нубия
Bíharísk tungumál	Бихарские языки
Alcoa	Alcoa
Hæstiréttur Íslands	Верховный суд Исландии
Kubbatónlist	Чиптюн
Dómkirkjan í Essen	Эссенский собор
Kindle	Amazon Kindle
LG	LG Group
Krulla	Кёрлинг
Tæring	Коррозия
Hreintrúarstefna	Пуритане
Stjörnuleikur NBA-deildarinnar	Матч всех звёзд НБА
Lukku Láki	Счастливчик Люк (комикс)
Gleraugnabjörn	Очковый медведь
Þorfinnur karlsefni	Торфинн Карлсефни
ThyssenKrupp	ThyssenKrupp
Elizabeth (New Jersey)	Элизабет (Нью-Джерси)
Princeton (New Jersey)	Принстон (Нью-Джерси)
Myndletur	Логографическое письмо
Ingi krypplingur	Инги I Горбун
Force India	Форс Индия
Álftanes	Аульфтанес
Zach Galifianakis	Галифианакис, Зак
Zach Braff	Брафф, Зак
Sacharias Jansen	Янсен, Захарий
Zachary Levi	Ливай, Закари
Keflavíkurflugvöllur	Кеблавик (аэропорт)
Hvannadalshnúkur	Хваннадальсхнукюр
Ísland á Sumarólympíuleikunum 2008	Исландия на летних Олимпийских играх 2008
Rachel Nichols	Николс, Рэйчел
Aristarkos frá Samos	Аристарх Самосский
J. G. Ballard	Баллард, Джеймс
Formaður	Председатель
Heiltölufall	Арифметическая функция
Dulritun	Шифрование
Aldauðinn í lok permtímabilsins	Массовое пермское вымирание
Hussainia	Хусейния
Net (stærðfræði)	Граф (математика)
Fjallatoglest	Фуникулёр
Dropbox	Dropbox
Dixie Chicks	Dixie Chicks
Pearl Jam	Pearl Jam
Neymar	Неймар
Augngrugg	Деструкция стекловидного тела
Austur-Íslandsstraumurinn	Восточно-Исландское течение
Johannes Ockeghem	Окегем, Йоханнес
Genaflæði	Поток генов
Josquin Des Prez	Депре, Жоскен
Austur-Íshafsstraumurinn	Трансарктическое течение
Teflon	Политетрафторэтилен
Silfurgægir	Елец (рыба)
Loðna	Мойва
Fjöletýlen	Полиэтилен
Alabastur	Алебастр
Tannskán	Зубной налёт
Lýsandros	Лисандр
Drakesund	Пролив Дрейка
Austur-Grænlandsstraumurinn	Восточно-Гренландское течение
Humboldt-straumurinn	Перуанское течение
Austur-Ástralíustraumurinn	Восточно-Австралийское течение
Falklandseyjastraumurinn	Фолклендское течение
Angólastraumurinn	Ангольское течение
Miðbaugsgagnstraumurinn	Экваториальное противотечение
Tannsteinn	Зубной камень
Sefasýki	Истерия
Tannhvalir	Зубатые киты
Ytri London	Внешний Лондон
Prentvél	Ручной типографский станок
Herbert Spencer	Спенсер, Герберт
Austurslavnesk tungumál	Восточнославянские языки
Draumsóleyjaætt	Маковые
Kílarskurðurinn	Кильский канал
Trjákvoða	Смола
Oddi (Rangárvöllum)	Одди (центр)
Þágufall	Дательный падеж
Appennínaskagi	Апеннинский полуостров
Jósef (sonur Jakobs)	Иосиф Прекрасный
Sveipjurtaætt	Зонтичные
Uppistand	Стендап (жанр)
Ilpunktur	Надир
Vesturslavnesk tungumál	Западнославянские языки
Pólýetýlenterefþalat	Полиэтилентерефталат
Egypsk fræði	Египтология
Basapar	Спаренные основания
Morgunfrú	Ноготки лекарственные
Hvítþinur	Пихта одноцветная
Rauðgreni	Ель обыкновенная
One Direction	One Direction
Átjánda konungsættin	XVIII династия (Древний Египет)
Hundarós	Шиповник собачий
Þolfall	Винительный падеж
Blæösp	Осина
Norðurlandaráð	Северный совет
Fjölprópýlen	Полипропилен
Ætifífill	Топинамбур
Garðakál	Капуста огородная
Eignarfall	Родительный падеж
Frankaveldi	Франкское государство
Sóbek	Себек
Liberec	Либерец
Fjölvínýlklóríð	Поливинилхлорид
Lén (líffræði)	Домен (биология)
Leysiefni	Растворитель
Krzeszowice	Кшешовице
Hiiumaa	Хийумаа
Sólber	Смородина чёрная
Stórbaugur	Большой круг
Rifsber	Смородина красная
Suðurslavnesk tungumál	Южнославянские языки
Alfons Mucha	Муха, Альфонс
Vatnshjól	Водяное колесо
Fleirtala	Множественное число
Lingua Franca Nova	Лингва франка нова
Ellesmere-eyja	Элсмир (остров)
Hljóðbrigði	Аллофон
Tangarsókn	Клещи (манёвр)
Þoþ	Тот
Þrætuepli	Яблоко раздора
Svartösp	Тополь чёрный
Munablóm	Незабудка
Umfeðmingur	Горошек мышиный
Engjamunablóm	Незабудка болотная
Mjaðjurt	Таволга вязолистная
Lokasjóður	Погремок малый
Gullregn	Бобовник
Hófsóley	Калужница болотная
Hnúðkál	Кольраби
How I Met Your Mother	Как я встретил вашу маму
Sæfíflar	Актинии
Sérnafn	Имя собственное
Lindifura	Сосна кедровая европейская
Keila (ljósnemi)	Колбочки
Sitkagreni	Ель ситхинская
Fjallafura	Сосна стланиковая европейская
Álmur	Вяз шершавый
Töfraraunsæi	Магический реализм
Gosdrykkur	Безалкогольные напитки
Begínur	Бегарды
Vitsmunavísindi	Когнитивистика
Hnetusmjör	Арахисовая паста
Saint Helier	Сент-Хелиер
Skorpulifur	Цирроз печени
Vallarsveifgras	Мятлик луговой
Mosadýr	Мшанки
Ísland á sumarólympíuleikunum í Sydney 2000	Исландия на летних Олимпийских играх 2000
Sítrónumelissa	Мелисса лекарственная
Wolin	Волин (остров)
Eggleg	Завязь
Ödípús konungur	Царь Эдип
Indiana Jones	Индиана Джонс
Hvítsmári	Клевер ползучий
Eugene Terre'Blanche	Тербланш, Эжен Ней
Bruno Schulz	Шульц, Бруно
Stökkull (tannhvalur)	Афалины
Kartöflumygla	Фитофтороз
Firmicutes	Фирмикуты
Karfi	Морские окуни
Röðulblóm	Кливия киноварная
Kúluskítur	Эгагропила Линнея
Hákettir	Цельноголовые
Grand Theft Auto III	Grand Theft Auto III
Elopomorpha	Элопсоидные
Hörpudiskur	Исландский гребешок
Kambhvelja	Лопастеносные
Bacilli	Бациллы (класс)
Blóðrifs	Смородина кроваво-красная
Kampselur	Морской заяц
253 Mathilde	(253) Матильда
Melasól	Мак полярный
Gagnfræðaskóli	Средняя школа
Hérað	Дистрикт
Örsmæðareikningur	Математический анализ
Háskólinn í Rochester	Рочестерский университет
Deildun	Дифференциальное исчисление
Héruð í Póllandi	Воеводства Польши
Bloomsbury	Блумсбери
Strandrauðviður	Секвойя
Flóreshaf	Море Флорес
E. E. Evans-Pritchard	Эванс-Притчард, Эдвард Эван
Vætukarsi	Жеруха обыкновенная
Rósakál	Брюссельская капуста
E. T. A. Hoffmann	Гофман, Эрнст Теодор Амадей
J. K. Simmons	Симмонс, Джонатан Кимбл
Leópold 1.	Леопольд I (император Священной Римской империи)
Ferdinand 3. keisari	Фердинанд III (император Священной Римской империи)
Rúdolf 2.	Рудольф II
Ferdinand 2. keisari	Фердинанд II (император Священной Римской империи)
Hinrik fuglari	Генрих I Птицелов
George Carlin	Карлин, Джордж
Vilhjálmur I (Prússland)	Вильгельм I (император Германии)
Antoon van Dyck	Ван Дейк, Антонис
Spænska erfðastríðið	Война за испанское наследство
Maximilian I (HRR)	Максимилиан I (император Священной Римской империи)
Enigma	Энигма
Benjamin Britten	Бриттен, Бенджамин
Gljúfur	Каньон
Innrásin í Pólland	Польская кампания вермахта (1939)
Playboy	Playboy
Frankenstein	Франкенштейн, или Современный Прометей
Bismarck	Bismarck (1939)
Matthildur keisaraynja	Матильда (королева Англии)
Dark Side of the Moon	The Dark Side of the Moon
Gene Hackman	Хэкмен, Джин
Sírenur	Сирены
Genesis (hljómsveit)	Genesis
Ardennasóknin	Арденнская операция (1945)
Barnet (borgarhluti)	Барнет (боро Лондона)
Flórsykur	Сахарная пудра
Michelin	Michelin
The Wall	The Wall
Karl djarfi	Карл Смелый
Saga Íslands	История Исландии
Anastasia	Анастасия Николаевна
Kauphöllin í Frankfurt	Франкфуртская фондовая биржа
Chola-veldið	Чола (государство)
Laugardalsvöllur	Лаугардалсвёллур
Tiger I	Тигр (танк)
Laugavegur (gönguleið)	Лёйгавегюр
Kristján 9.	Кристиан IX
Friðrik 9. Danakonungur	Фредерик IX
Vanangur	Сан-Суси
Einangrun Berlínar	Блокада Западного Берлина
Sjónvarpsturninn í Berlín	Берлинская телебашня
Vidkun Quisling	Квислинг, Видкун
Ólympíuleikvangurinn í Berlín	Олимпийский стадион (Берлин)
António de Oliveira Salazar	Салазар, Антониу ди
F-4 Phantom II	McDonnell Douglas F-4 Phantom II
Sfinx	Сфинкс
Ibn Saud	Абдул-Азиз ибн Сауд
Paul Signac	Синьяк, Поль
Atlantic Airways	Atlantic Airways
Claudio Abbado	Аббадо, Клаудио
Norðurlandaófriðurinn mikli	Северная война
Ace of Base	Ace of Base
Roy Lichtenstein	Лихтенштейн, Рой
Commerzbank-Tower	Коммерцбанк-Тауэр
Piet Mondrian	Мондриан, Пит
Frederik Willem de Klerk	Клерк, Фредерик Виллем де
Friðrik 1. Prússakonungur	Фридрих I (король Пруссии)
Axel Witsel	Витсель, Аксель
Adriana Lima	Лима, Адриана
Evrópukeppnin í knattspyrnu 1988	Чемпионат Европы по футболу 1988
Hugtak	Понятие
PETA	Люди за этичное обращение с животными
Ríkisþinghúsið í Berlín	Рейхстаг (здание)
Peningaþvætti	Отмывание денег
Jöns Jakob Berzelius	Берцелиус, Йёнс Якоб
Tiger II	Тигр II
Sykurrófa	Сахарная свёкла
Stjörnustöð Evrópulanda á suðurhveli	Европейская южная обсерватория
Kyrrahafsstríðið	Вторая тихоокеанская война
Skiptingar Póllands	Разделы Речи Посполитой
Treblinka	Треблинка
Malt	Солод
Bernard Montgomery	Монтгомери, Бернард Лоу
Jarðskjálftinn í Sesúan 2008	Сычуаньское землетрясение (2008)
Bayer	Bayer
BP	BP
Grænlandssund	Датский пролив
Take That	Take That
Gjaldþrot	Несостоятельность
Franskar kartöflur	Картофель фри
Keeping Up with the Kardashians	Семейство Кардашян
Wannsee-ráðstefnan	Ванзейская конференция
Súdetafjöll	Судеты
Matthías keisari	Матвей (император Священной Римской империи)
Glee	Хор (телесериал)
Gisele Bündchen	Бюндхен, Жизель
Svarti september	Чёрный сентябрь
Níu ára stríðið	Война Аугсбургской лиги
Berlínarfílharmónían	Берлинский филармонический оркестр
Tata Nano	Tata Nano
Leiðarreikningur	Счисление координат
Alexandra Bretadrottning	Александра Датская
Plútó (guð)	Плутон (мифология)
Georges Méliès	Мельес, Жорж
Pilsner	Пильзнер
Skömm	Стыд
Miðveldin	Центральные державы
Þvagskál	Писсуар
Drusluganga	Парад шлюх
Gaumstol	Одностороннее пространственное игнорирование
Silvía Svíadrottning	Сильвия (королева Швеции)
Karlsverðlaunin	Международная премия им. Карла Великого
Porta Nigra	Порта Нигра
Beitiskipið Pótemkín	Броненосец «Потёмкин» (фильм)
Joan Miró	Миро, Жоан
Zyklon B	Циклон Б
Janusz Korczak	Януш Корчак
Gunnar Myrdal	Мюрдаль, Гуннар
Koppur	Ночной горшок
Alexa Vega	Вега, Алекса
Friðrik 8.	Фредерик VIII
Daniel Barenboim	Баренбойм, Даниэль
Kyndilmessa	Сретение Господне
Alexanderplatz	Александерплац
Samningur Sameinuðu þjóðanna um líffræðilega fjölbreytni	Конвенция о биологическом разнообразии
Landfylling	Свалка
Georg-August-háskólinn í Göttingen	Гёттингенский университет
Oliver Bierhoff	Бирхофф, Оливер
Volkswagen Bjalla	Volkswagen Käfer
Codex Sinaiticus	Синайский кодекс
Nýja ráðhúsið í München	Новая ратуша (Мюнхен)
Gasbíllinn	Газваген
Jose Ortega y Gasset	Ортега-и-Гассет, Хосе
Valdas Adamkus	Адамкус, Валдас
Andrej Kolmogorov	Колмогоров, Андрей Николаевич
Jean le Rond d'Alembert	Д’Аламбер, Жан Лерон
Joseph Banks	Бэнкс, Джозеф
Burg Eltz	Замок Эльц
Rothenburg ob der Tauber	Ротенбург-на-Таубере
Blücher herforingi	Блюхер, Гебхард Леберехт
Albrecht von Wallenstein	Валленштейн, Альбрехт фон
Söngvakeppni evrópskra sjónvarpsstöðva 1983	Конкурс песни Евровидение 1983
Kristján 4.	Кристиан IV
MG42	MG 42
María Fjodorovna	Мария Фёдоровна (жена Александра III)
Kílarvikan	Кильская неделя
Dietrich Buxtehude	Букстехуде, Дитрих
Primo Levi	Леви, Примо
Sachsenring Trabant	Trabant
Úmbertó 1.	Умберто I
Michael Bublé	Бубле, Майкл
Inglourious Basterds	Бесславные ублюдки
Albert Bandura	Бандура, Альберт
Margrét prinsessa, greifynjan af Snowdon	Маргарет, принцесса Великобритании
Alcide De Gasperi	Де Гаспери, Альчиде
Hérasótt	Туляремия
Yersinia pestis	Чумная палочка
Kristján 1.	Кристиан I
Kaiser-Wilhelm-Gedächtniskirche	Мемориальная церковь кайзера Вильгельма
Barbara	Варвара
Lindau	Линдау (Бавария)
Háskólinn í Tübingen	Тюбингенский университет
Vogue	Vogue
Mungu ibariki Afrika	Гимн Танзании
Friðrik 2. Danakonungur	Фредерик II (король Дании)
Ísabella af Bæjaralandi	Изабелла Баварская
Walk the Line	Переступить черту (фильм, 2005)
Admiral Graf Spee	Admiral Graf Spee (1934)
Sundaeyjar	Зондские острова
Luger P08	Пистолет Люгера
Francis Bacon (listamaður)	Бэкон, Фрэнсис (художник)
Nanó	Нано-
Tá	Палец ноги
Kristján 2.	Кристиан II (король Дании)
D12	D12
Hertogadæmi	Герцогство
Dómkirkjan í Berlín	Берлинский кафедральный собор
Alte Pinakothek (München)	Старая пинакотека
Þýskaland í Söngvakeppni evrópskra sjónvarpsstöðva	Германия на конкурсе песни Евровидение
Ágsborgarfriðurinn	Аугсбургский религиозный мир
Gangs of New York	Банды Нью-Йорка
Varsjárgettóið	Варшавское гетто
Erkihertogi	Эрцгерцог
Frymisgrind	Цитоскелет
Kúariða	Губчатая энцефалопатия крупного рогатого скота
Anschluss	Аншлюс
Stríð Frakka og indjána	Франко-индейская война
Stofnun Þýskalands	Объединение Германии (1871)
Montbéliard	Монбельяр
Agrippina yngri	Агриппина Младшая
Italo Calvino	Кальвино, Итало
Skrýðingardeilan	Борьба за инвеституру
Orlande de Lassus	Лассо, Орландо ди
Bless Lenín!	Гуд бай, Ленин!
Norman Borlaug	Борлоуг, Норман Эрнест
Söngvakeppni evrópskra sjónvarpsstöðva 1957	Конкурс песни Евровидение 1957
Stórhertogadæmið Toskana	Великое герцогство Тосканское
Till Lindemann	Линдеманн, Тилль
Hermannaveiki	Легионеллёз
Herbert von Karajan	Караян, Герберт фон
Ólafur 5.	Улаф V
Játvarður prins, jarlinn af Wessex	Эдуард, граф Уэссекский
Hákon 7. Noregskonungur	Хокон VII
Beda prestur	Беда Достопочтенный
Royal Dutch Shell	Royal Dutch Shell
Vilhjálmur Alexander Hollandskonungur	Виллем-Александр
Hugo Grotius	Гроций, Гуго
Síðara Slésvíkurstríðið	Австро-прусско-датская война
Sigursúlan í Berlín	Колонна Победы (Берлин)
Kristján 6.	Кристиан VI
Charlottenburg-kastali	Шарлоттенбург (дворец)
Kristján 3.	Кристиан III (король Дании)
Friðrik 6. Danakonungur	Фредерик VI
Filippus Belgíukonungur	Филипп (король Бельгии)
United Parcel Service	United Parcel Service
Lögaðili	Юридическое лицо
Leptóspírósis	Лептоспироз
Arturo Pérez-Reverte	Перес-Реверте, Артуро
Axel Oxenstierna	Оксеншерна, Аксель
Eric Prydz	Придз, Эрик
21 (hljómplata)	21 (альбом Адели)
National Basketball Association	Национальная баскетбольная ассоциация
Jim Beaver	Бивер, Джим
Óraníuættin	Оранская династия
Tilly	Тилли, Иоганн Церклас
Marc Ravalomanana	Равалуманана, Марк
He's Just Not That Into You (kvikmynd)	Обещать — не значит жениться
Aldinborgarar	Ольденбургская династия
Heimsmeistaramót karla í handknattleik 2007	Чемпионат мира по гандболу среди мужчин 2007
Lukkuborgarætt	Глюксбурги
Sesame Street	Улица Сезам
Giardia lamblia	Кишечная лямблия
Spirited Away	Унесённые призраками
Erfðaskrá	Завещание
Blondi	Блонди (собака)
Christopher Maurice Brown	Браун, Крис
DAX	DAX
Góð trú	Bona fides
Venusargildra	Венерина мухоловка
Stararætt	Осоковые
Mycobacterium leprae	Палочка Хансена
Fokker	Fokker
Heckler & Koch MP5	HK MP5
Brenninetla	Крапива двудомная
Parmesan	Пармезан
Munnvatn	Слюна
Almagestur	Альмагест
Klemens 10.	Климент X
Klemens 9.	Климент IX
Snjalltafla	Планшетный компьютер
Eurostar	Eurostar
Piparminta	Мята перечная
Öldusótt	Бруцеллёз
Skapafarði	Смегма
Refasmári	Люцерна посевная
Horblaðka	Вахта (растение)
Sefætt	Ситниковые
Friðrik 5. Danakonungur	Фредерик V
SeaMonkey	SeaMonkey
Messeturm	Мессетурм
Roman Jakobson	Якобсон, Роман Осипович
Bild-Zeitung	Bild
Surtarbrandur	Бурый уголь
Pierre Bourdieu	Бурдьё, Пьер
Kaþarsis	Катарсис
A-ha	A-ha
Grátvíðir	Ива вавилонская
Residenz (Würzburg)	Вюрцбургская резиденция
Pálmalilja	Юкка
Juan Fernández-eyjar	Хуан-Фернандес
Humlaætt	Коноплёвые
Viktoría krónprinsessa	Виктория, кронпринцесса Швеции
Hárdepla	Вероника лекарственная
Galdraskyttan	Вольный стрелок
Bonnie Tyler	Бонни Тайлер
Goðakyn	Теогония
Kristján 7.	Кристиан VII
Sístaða	Приапизм
Sjálfsákvörðunarréttur þjóða	Право на самоопределение
Núllsummuleikur	Антагонистическая игра
Kristján 10.	Кристиан X
Giorgio de Chirico	Кирико, Джорджо де
Úgrísk tungumál	Угорские языки
Rauðsmári	Клевер луговой
Ofauðgun	Эвтрофикация
Fever (breiðskífa)	Fever (альбом Кайли Миноуг)
Zjytómýr	Житомир
Jorge Sampaio	Бранку де Сампайю, Жорже Фернанду
Ástaraldin	Маракуйя
Heiladingull	Гипофиз
Brýþonsk tungumál	Бриттские языки
Klettasalat	Руккола
Krossblómaætt	Капустные
Vörtubirki	Берёза повислая
Garðakornblóm	Василёк синий
Garðahlynur	Клён белый
Kartöflubjalla	Колорадский жук
Sviptifall	Аблатив
Jafnhliða þríhyrningur	Правильный треугольник
The Offspring	The Offspring
Wir sind Helden	Wir sind Helden
Hoppvikan	Турне четырёх трамплинов
Margrét af Austurríki	Маргарита Австрийская (1480—1530)
Konráður III (HRR)	Конрад III
Græðisúra	Подорожник большой
Lánveitandi	Кредитор
KFUM og KFUK	YMCA
Okur	Ростовщичество
Bathory	Bathory
Robert Aumann	Ауман, Роберт
Súrur	Щавель
Pergamonsafnið	Пергамский музей
Pantsen Lama	Панчен-лама
Vingull	Овсяница
Vepjulilja	Рябчик шахматный
Völudepla	Вероника дубравная
Háliðagras	Лисохвост луговой
Blóðkollur	Кровохлёбка лекарственная
Gamanmynd	Кинокомедия
Bloodhound Gang	Bloodhound Gang
Viðskiptavild	Деловая репутация
Hinar 95 greinar	95 тезисов
Gráselja	Ива пепельная
Brennisóley	Лютик едкий
Varpasveifgras	Мятлик однолетний
Garðablágresi	Герань луговая
Walther P38	Walther P38
Pantanal	Пантанал
Sverðbræður	Орден меченосцев
Commerzbank	Commerzbank
Fjalldrapi	Берёза карликовая
Dúnurtir	Кипрей
Sveifgrös	Мятлик
Gladio-áætlunin	Операция «Гладио»
Uppreisnin í Austur-Þýskalandi 1953	События 17 июня 1953 года в ГДР
Blátoppur	Жимолость голубая
Hans Danakonungur	Иоганн (король Дании)
Jan Dismas Zelenka	Зеленка, Ян Дисмас
Kristján 8.	Кристиан VIII
Vladímír Ashkenazy	Ашкенази, Владимир Давидович
Friðrik 1. Danakonungur	Фредерик I (король Дании)
Kristján 5.	Кристиан V
Úrsmiður	Часовщик
Valdimar sigursæli	Вальдемар II
Tækniháskóli München	Мюнхенский технический университет
Nikola Karabatić	Карабатич, Никола
Dygð	Добродетель
Friðrik 3. Danakonungur	Фредерик III (король Дании)
Simon Rattle	Рэттл, Саймон
Garðabrúða	Валериана лекарственная
Sepp Herberger	Хербергер, Зепп
Piombino	Пьомбино
Bodesafnið	Музей Боде
Holstein Kiel	Хольштайн
Auðgunarbrot	Присвоение
Huldulykill	Первоцвет высокий
Tjarnastör	Осока носиковая
Húðgötun	Пирсинг
Fjöruarfi	Гонкения
Nítjánda konungsættin	XIX династия (Древний Египет)
Fjölær jurt	Многолетние растения
Reyniviður	Рябина
Jaworzno	Явожно
Súpugull	Портулак огородный
Svetozar Gligorić	Глигорич, Светозар
Spandau	Шпандау
Zygmunt Bauman	Бауман, Зигмунт
Antoni Tàpies	Тапиес, Антони
Déjà vu	Дежавю
Liðagrös	Лисохвост
Ramallah	Рамалла
Viktoríueyja (Kanada)	Виктория (остров, Канада)
Mýrastör	Осока чёрная
Japanskvistur	Спирея японская
Klášterec nad Ohří	Клаштерец-над-Огржи
Vindland	Венды
Jóhannesarjurt	Зверобой продырявленный
Sólbroddur	Барбарис Тунберга
GSG 9	GSG 9
Żagań	Жагань
Gulrófa	Брюква
Allrahanda	Пимента лекарственная
Blákolla	Черноголовка обыкновенная
Víðisætt	Ивовые
Starir	Осока
Foxgrös	Тимофеевка (растение)
Rýgresi	Плевел
Vetrarkvíðastör	Осока плетевидная
Stagbrú	Вантовый мост
Hrútaberjalyng	Костяника
Súrsmæra	Кислица обыкновенная
Smáax	Кисть (соцветие)
Pabianice	Пабьянице
Körfuvíðir	Ива прутовидная
Páfiðrildi	Павлиний глаз
Haugarfi	Звездчатка средняя
Endaþarmur	Прямая кишка человека
X&Y	X&Y
Apabrauðstré	Баобаб
Linditré	Липа сердцевидная
Carnarvon lávarður	Герберт, Джордж, 5-й граф Карнарвон
Spelt	Полба
Hagahlynur	Клён полевой
Mike Huckabee	Хакаби, Майк
Century Media	Century Media Records
Skrautpuntur	Бор развесистый
Nellika	Гвоздика садовая
Mark Schwarzer	Шварцер, Марк
Brobergen	Броберген
Jóakim, prins af Danmörku	Иоахим, принц Датский
Universidade Federal da Bahia	Университет штата Баия
Filippseyjahaf	Филиппинское море
Sísallilja	Сизаль (растение)
DNA fjöldabreytingar	Генетическая инженерия
Jafnstraumur	Постоянный ток
Tjúktahaf	Чукотское море
Bræðrasöfnuðurinn	Моравская церковь
Fengrani	Обыкновенный сом
Mygla	Плесневые грибы
Ófrumbjarga lífvera	Гетеротрофы
Kappróður	Академическая гребля
Staðalfrávik	Среднеквадратическое отклонение
Viðtæki	Радиоприёмник
.cs	.cs
Dvali	Спячка
Náhvalur	Нарвал
Capoeira	Капоэйра
Faro	Фару
Fæðukeðja	Пищевая цепь
Adsman	Аджман (эмират)
Samsæriskenning	Теория заговора
Hvítþyrnir	Боярышник обыкновенный
Selja (tré)	Ива козья
Kapetingar	Гуго Капет
Páfastóll	Святой Престол
Svafnesku alparnir	Швабский Альб
Fjarnám	Дистанционное обучение
Haraldur Guðinason	Гарольд II Годвинсон
Tívolí (Ítalíu)	Тиволи
Krupp	Круппы
BAFTA	BAFTA
Hektor	Гектор
Þverá (vatnsfall)	Приток
Sítrónusýra	Лимонная кислота
Christian Dior	Диор, Кристиан
Maígull	Селезёночник очерёднолистный
Gláka	Глаукома
Túnvingull	Овсяница красная
Móastör	Осока скальная
Broddastör	Осока мелкоостренниковая
Gilgamesh	Гильгамеш
Laugadepla	Вероника ключевая
Lyngbúi	Живучка пирамидальная
Hálíngresi	Полевица тонкая
Virkjun	Электростанция
Snarrótarpuntur	Луговик дернистый
Lækjadepla	Вероника тимьянолистная
Skriðdepla	Вероника щитковая
Þungeind	Барион
Alsíkusmári	Клевер гибридный
William Turner	Тёрнер, Уильям
Hollenska Austur-Indíafélagið	Голландская Ост-Индская компания
Cappuccino	Капучино
Anno Domini	От Рождества Христова
Karl prins af Astúríu	Дон Карлос (сын Филиппа II)
Sumarólympíuleikarnir	Летние Олимпийские игры
Camp Nou	Камп Ноу
Drottningin af Saba	Царица Савская
Hrein algebra	Общая алгебра
Sigketill	Кальдера
Leturfræði	Типографика
Brimbrettabrun	Сёрфинг
Fagott	Фагот
Ferflötungur	Тетраэдр
Pink	Пинк (певица)
The King's Speech	Король говорит!
Strá	Солома
Múltuber	Морошка
Hljóðvarp	Умлаут
Sigurskúfur	Иван-чай узколистный
Augnhár	Ресница
Rock am Ring	Rock am Ring
H5N1	H5N1
Landráð	Государственная измена
Ole Rømer	Рёмер, Оле
Súluhaf	Сулу (море)
Franz Anton Mesmer	Месмер, Фридрих Антон
Ríkisdagur	Рейхстаг (Германская империя)
Pétur 2.	Пётр II
Hatur	Ненависть
David Ricardo	Рикардо, Давид
John D. Rockefeller	Рокфеллер, Джон Дэвисон
Edinborgarháskóli	Эдинбургский университет
Hinrik 3. Englandskonungur	Генрих III (король Англии)
Norodom Sihanouk	Нородом Сианук
Hinrik 6. Englandskonungur	Генрих VI (король Англии)
Játvarður 4.	Эдуард IV
Járnbrautarteinar	Железнодорожный путь
Karl 6. Frakkakonungur	Карл VI (король Франции)
Þeófrastos	Теофраст
Vesturlönd	Западный мир
Orrustan við Actíum	Сражение при Акциуме
Evangeline Lilly	Лилли, Эванджелин
Kristallafræði	Кристаллография
Central Park	Центральный парк (Нью-Йорк)
Krímkanatið	Крымское ханство
Simple Mail Transfer Protocol	SMTP
Tala (festing)	Пуговица
Odysseas Elytis	Элитис, Одисеас
Kristján Danaprins	Кристиан (принц Датский)
Jack Kerouac	Керуак, Джек
Jarðskjálftamælir	Сейсмограф
Hrævareldar	Блуждающие огни
Nytjastefna	Утилитаризм
Villutrú	Ересь
Staðvindur	Пассат
Skanderbeg	Скандербег
Salisbury	Солсбери (Англия)
Votheysveiki	Листериоз
London Eye	Лондонский глаз
Amhrán na bhFiann	Гимн Ирландии
Hvítrússnesk rúbla	Белорусский рубль
Valdivia	Вальдивия
Lesminni	Постоянное запоминающее устройство
Playmobil	Playmobil
Medúsa	Горгона Медуза
Spunaspil	Ролевая игра
Nestlé	Nestlé
Holduggar	Лопастепёрые рыбы
Finkur	Вьюрковые
Hestafl	Лошадиная сила
Selestínus I	Целестин I
