אפריקע	Африка
1948	1948 год
רונדווערעם	Нематоды
1949	1949 год
הואנג קסיאנפאן	Хуан Сяньфань
פעברואר 2009	Февраль 2009 года
1956	1956 год
1202	1202 год
1204	1204 год
1941	1941 год
1945	1945 год
1958	1958 год
1926	1926 год
1947	1947 год
1944	1944 год
1952	1952 год
בריליאנט	Алмаз
ביל גייטס	Гейтс, Билл
יאפאניש	Японский язык
עקראן	Монитор (устройство)
ענציקלאפעדיע	Энциклопедия
דיסקעט	Дискета
RAM זיכרון	Запоминающее устройство с произвольным доступом
הויפט זייט	Заглавная страница
פראצעסאר	Процессор
1959	1959 год
מוסטער:גוטער ארטיקל	Шаблон:Хорошая статья
1957	1957 год
רוטירער	Маршрутизатор
רעזיסטאר	Резистор
קאנדענסאטאר	Электрический конденсатор
אינדוקטאר	Катушка индуктивности
טראנזיסטאר	Транзистор
בעיסבאל	Бейсбол
קוישבאל	Баскетбол
קריקעט	Крикет
גאלף (שפיל)	Гольф
ראגבי פוטבאל	Регби-футбол
אויטאספארט	Автоспорт
אלימפיאדע	Олимпийские игры
יאנגצע	Янцзы
מיזורי טייך	Миссури (река)
סיביר	Сибирь
פראנסיסקא גאיא	Гойя, Франсиско
הימאלייע	Гималаи
אנדן	Анды
ראקי בערג	Скалистые горы
קאפשטאט	Кейптаун
טראוויזיע	Тревизо
קאווקאז בערג	Кавказские горы
קאספישער ים	Каспийское море
אונטערגרונט באן	Метрополитен
וויקטאריע אזערע	Виктория (озеро)
טאנגאניקע אזערע	Танганьика
בייקאל אזערע	Байкал
סאלוואדאר דאלי	Дали, Сальвадор
אלברעכט דירער	Дюрер, Альбрехт
ווינצענט וואן גאך	Ван Гог, Винсент
קאצושיקא האקוסיי	Кацусика Хокусай
פרידא קאהלא	Кало, Фрида
אנרי מאטיס	Матисс, Анри
מיקעלאנדזשעלא	Микеланджело
פאבלא פיקאסא	Пикассо, Пабло
ראפאעל	Рафаэль Санти
רעמבראנדט	Рембрандт
פעטער פאל רובענס	Рубенс, Питер Пауль
סינאן	Синан
ענדי ווארהאל	Уорхол, Энди
פרענק לויד רייט	Райт, Фрэнк Ллойд
מאדעם	Модем
עמינעם	Эминем
בוס	Автобус
טראמוויי	Трамвай
אבו נואס	Абу Нувас
האנס קריסטיאן אנדערסען	Андерсен, Ханс Кристиан
מאצוא באשא	Мацуо Басё
לארד בייראן	Байрон, Джордж Гордон
מיגעל דע סערוואנטעס	Сервантес, Мигель де
דזשעפרי טשאסער	Чосер, Джефри
בבל	Вавилон
אנטאן פאוולאוויטש טשעכאוו	Чехов, Антон Павлович
טשארלס דיקנס	Диккенс, Чарльз
יריחו	Иерихон
סאמארקאנד	Самарканд
באלעארישע אינזלען	Балеарские острова
בית לחם	Вифлеем
מעקא	Мекка
טשע געווארא	Че Гевара, Эрнесто
קאנארישע אינזלען	Канарские острова
מאא צעטאנג	Мао Цзэдун
קארדאבע	Кордова (город, Испания)
טאלעדא	Толедо
קאבול	Кабул
בית הכסא פאפיר	Туалетная бумага
גבריאל גארסיא מארקעס	Гарсиа Маркес, Габриэль
יאהאן וואלפגאנג פאן געטע	Гёте, Иоганн Вольфганг фон
וואגינע	Влагалище женщины
טאמיל	Тамильский язык
ארגאזם	Оргазм
פילאסאפיע	Философия
קאסמאס-פארן	Космический полёт
משפחה מענטש	Гриффины
קאַטעגאָריע:געשטעלטע צו שנעל מעקן	Категория:Википедия:К быстрому удалению
פיאנע	Фортепиано
ראפ מוזיק	Рэп
פופציק צענט	50 Cent
טיי	Чай
מארקא פאלא	Поло, Марко
קאמוניזם	Коммунизм
אנארכיזם	Анархизм
קאפיטאליזם	Капитализм
ליבעראליזם	Либерализм
פאשיזם	Фашизм
נאציאנאליזם	Национализм
כאפעז	Хафиз Ширази
לאנד	Страна
פאלק (נאציאן)	Нация
צווייטע פונישע מלחמה	Вторая Пуническая война
דזשאו ביידען	Байден, Джо
הילערי ראדהעם קלינטאן	Клинтон, Хиллари
אינדיאנאפאליס	Индианаполис
בלעטערער	Браузер
בריטישער מוזיי	Британский музей
שווימען	Плавание человека
קאַטעגאָריע:אסטראנאמיע	Категория:Астрономия
דארדאנעלן	Дарданеллы
זשאן-זשאק רוסא	Руссо, Жан-Жак
סטאניסלאוו לעם	Лем, Станислав
פראנצויזישע רעוואלוציע	Великая французская революция
1550	1550 год
1551	1551 год
קאַטעגאָריע:אסטראנאמען	Категория:Астрономы
1552	1552 год
1553	1553 год
1554	1554 год
האמסטער	Хомяки
אירקוצק	Иркутск
סאהארא	Сахара
1556	1556 год
1557	1557 год
1558	1558 год
שטראסבורג	Страсбург
גיטאר	Гитара
1559	1559 год
1560	1560 год
1561	1561 год
1562	1562 год
1563	1563 год
1564	1564 год
1565	1565 год
האמאסעקסואלוטעט	Гомосексуальность
1566	1566 год
1567	1567 год
1568	1568 год
לעזביאנקע	Лесбиянство
1569	1569 год
קראאטיש	Хорватский язык
1570	1570 год
1571	1571 год
1572	1572 год
1573	1573 год
1574	1574 год
1575	1575 год
האמעראס	Гомер
אלעקסאנדער פאן האמבאלט	Гумбольдт, Александр фон
1576	1576 год
1577	1577 год
1578	1578 год
1579	1579 год
1580	1580 год
1581	1581 год
1582	1582 год
1600	1600 год
קארל פרידריך גאוס	Гаусс, Карл Фридрих
UTC+2	UTC+02:00
1601	1601 год
1583	1583 год
1602	1602 год
1584	1584 год
פערפיניאן	Перпиньян
1603	1603 год
1585	1585 год
1604	1604 год
1586	1586 год
1605	1605 год
1587	1587 год
1606	1606 год
1607	1607 год
1588	1588 год
1608	1608 год
1589	1589 год
1609	1609 год
1590	1590 год
1610	1610 год
1591	1591 год
1611	1611 год
1592	1592 год
1612	1612 год
1593	1593 год
1613	1613 год
1594	1594 год
1614	1614 год
1595	1595 год
1615	1615 год
1596	1596 год
1616	1616 год
1597	1597 год
1617	1617 год
1598	1598 год
1618	1618 год
1599	1599 год
1619	1619 год
1620	1620 год
1621	1621 год
1700	1700 год
1701	1701 год
1622	1622 год
1623	1623 год
1702	1702 год
1624	1624 год
1703	1703 год
1704	1704 год
1625	1625 год
1705	1705 год
1626	1626 год
1627	1627 год
1706	1706 год
1628	1628 год
1707	1707 год
1708	1708 год
1629	1629 год
1630	1630 год
1709	1709 год
1631	1631 год
1710	1710 год
1632	1632 год
1711	1711 год
1633	1633 год
1712	1712 год
1634	1634 год
1713	1713 год
1800	1800 год
1801	1801 год
1714	1714 год
1635	1635 год
דזשיימס דזשויס	Джойс, Джеймс
1802	1802 год
1715	1715 год
1636	1636 год
1803	1803 год
1637	1637 год
1716	1716 год
1638	1638 год
1804	1804 год
1717	1717 год
1639	1639 год
1805	1805 год
1718	1718 год
1640	1640 год
1719	1719 год
1806	1806 год
1641	1641 год
1720	1720 год
1807	1807 год
1642	1642 год
1721	1721 год
1808	1808 год
1643	1643 год
1722	1722 год
1809	1809 год
1644	1644 год
1723	1723 год
1810	1810 год
1645	1645 год
1724	1724 год
20סטער י"ה	XX век
1811	1811 год
1646	1646 год
1725	1725 год
1812	1812 год
1647	1647 год
1726	1726 год
1813	1813 год
21סטער י"ה	XXI век
1648	1648 год
1727	1727 год
1814	1814 год
1649	1649 год
1728	1728 год
1815	1815 год
1650	1650 год
1729	1729 год
1816	1816 год
19טער י"ה	XIX век
1651	1651 год
1730	1730 год
1817	1817 год
1652	1652 год
1731	1731 год
1818	1818 год
1653	1653 год
1732	1732 год
1819	1819 год
1654	1654 год
1733	1733 год
1820	1820 год
1655	1655 год
1821	1821 год
1734	1734 год
1656	1656 год
1822	1822 год
1735	1735 год
1657	1657 год
1823	1823 год
1736	1736 год
1658	1658 год
1737	1737 год
1824	1824 год
1659	1659 год
1738	1738 год
1825	1825 год
1660	1660 год
1739	1739 год
1826	1826 год
1661	1661 год
1740	1740 год
1827	1827 год
קאלידאסא	Калидаса
18טער י"ה	XVIII век
17טער י"ה	XVII век
16טער י"ה	XVI век
15טער י"ה	XV век
לוגאנא	Лугано
קאטאלאניש	Каталанский язык
14טער י"ה	XIV век
זשיראנע	Жирона
13טער י"ה	XIII век
12טער י"ה	XII век
11טער י"ה	XI век
אטעאיזם	Атеизм
לי באי	Ли Бо
ביבליאטעק	Библиотека
דאכוי	Дахау (город)
מאטעריאליזם	Материализм
ניעלס באהר	Бор, Нильс
באוואוסטזיין	Сознание (психология)
ביאכעמיע	Биохимия
ביאפיזיק	Биофизика
ביאטעכנאלאגיע	Биотехнология
עקאלאגיע	Экология
אפריקאנער פארבאנד	Африканский союз
גענעטיק	Генетика
פאליטיק	Политика
וועלט באנק	Всемирный банк
קאלאניאליזם	Колониализм
קאנסערוואטיזם	Консерватизм
אראבישע ליגע	Лига арабских государств
דעמאקראטיע	Демократия
נאגיב מאכפוז	Махфуз, Нагиб
רויטער קרייץ	Международное движение Красного Креста и Красного Полумесяца
גלאבאליזאציע	Глобализация
נאט"א	Организация Североатлантического договора
מארי קירי	Склодовская-Кюри, Мария
גען	Ген
רעגירונג	Правительство
נאבעל פריז	Нобелевская премия
קין שי הואנג	Цинь Шихуанди
מיקראביאלאגיע	Микробиология
סימאן דע באוואר	Бовуар, Симона де
אווידיוס	Овидий
מארסעל פרוסט	Пруст, Марсель
אלעקסאנדער פושקין	Пушкин, Александр Сергеевич
מיטל מזרח	Средний Восток
פאלעאנטאלאגיע	Палеонтология
עליזאבעט די ערשטע	Елизавета I
האן דינאסטיע	Хань (династия)
טאקסאנאמיע	Таксономия
וויראלאגיע	Вирусология
זשאן ד'ארק	Жанна д’Арк
ראזא לוקסעמבורג	Люксембург, Роза
סאפאקלעס	Софокл
קאַטעגאָריע:קוואלן	Категория:Родники
ארגאניזם	Организм
ראבינדראנאט טאגאר	Тагор, Рабиндранат
שיינקייט	Красота
לעוו טאלסטוי	Толстой, Лев Николаевич
מארק טוויין	Марк Твен
עלן טיורינג	Тьюринг, Алан
פעמיניזם	Феминизм
אידעאלאגיע	Идеология
אימפעריאליזם	Империализм
מארקסיזם	Марксизм
קעניגרייך	Монархия
רעפובליק	Республика
סאציאליזם	Социализм
מדינה	Государство
פאליטישע פארטיי	Политическая партия
פראפאגאנדע	Пропаганда
טעראריזם	Терроризм
יאהאנעס בראהמס	Брамс, Иоганнес
קילימאנדזשארא	Килиманджаро
אנטאנין דווארזשאק	Дворжак, Антонин
געארג פרידריך הענדל	Гендель, Георг Фридрих
גוסטאוו מאהלער	Малер, Густав
קוש	Поцелуй
נאציזם	Национал-социализм
דזיאקאמא פוטשיני	Пуччини, Джакомо
פראנץ שובערט	Шуберт, Франц
איגאר סטראווינסקי	Стравинский, Игорь Фёдорович
פעטער איליטש טשייקאווסקי	Чайковский, Пётр Ильич
דזשוסעפע ווערדי	Верди, Джузеппе
נאצי דייטשלאנד	Третий рейх
זשאק קארטיער	Картье, Жак
קריסטאפער קאלאמבוס	Колумб, Христофор
דזשיימס קוק	Кук, Джеймс
ייד	Евреи
הערנאן קארטעס	Кортес, Эрнан
יורי גאגארין	Гагарин, Юрий Алексеевич
וואשקו דא גאמא	Васко да Гама
איבן באטוטא	Ибн Баттута
זשענג הע	Чжэн Хэ
אוישוויץ	Освенцим
אשפעצין	Освенцим (город)
גרויסער באריער ריף	Большой Барьерный риф
גרויסע אזערעס	Великие озёра
אינדוס	Инд
יאזעף היידן	Гайдн, Йозеф
פאנאמא קאנאל	Панамский канал
דרום אקעאן	Южный океан
געלער טייך	Хуанхэ
אויער	Ухо
נאז	Нос
אויג	Глаз
מוסקל	Мышцы
ליד	Песня
קאמאר	Комары
שאף	Овца
דעלפין	Дельфины
פעדעריקא פעליני	Феллини, Федерико
הייפיש	Акулы
אלפרעד היטשקאק	Хичкок, Альфред
קעמל	Верблюды
זויגער	Млекопитающие
העלפאנד	Слон
פרימאט	Приматы
מוראשקע	Муравьи
שטימע	Голос
בין	Пчёлы
ווייכווארג	Программное обеспечение
האלענדיש	Нидерландский язык
מארגארעט טאטשער	Тэтчер, Маргарет
עדה יאנאט	Йонат, Ада
DNA	Дезоксирибонуклеиновая кислота
זגאל	Биологический вид
וואהלין	Волынь
פאטלעזשאן	Баклажан
אינגמאר בערזשמאן	Бергман, Ингмар
לוצק	Луцк
איבערזעצונג	Перевод
קאטשקע	Утиные
מוטער	Мать
שניי	Снег
טאטע	Отец
קינד	Ребёнок
1828	1828 год
1829	1829 год
1741	1741 год
1662	1662 год
1742	1742 год
1830	1830 год
1663	1663 год
1831	1831 год
1743	1743 год
1664	1664 год
1665	1665 год
1744	1744 год
1832	1832 год
1666	1666 год
1745	1745 год
1833	1833 год
1667	1667 год
1746	1746 год
טראנספארט	Транспорт
1834	1834 год
1668	1668 год
1747	1747 год
1835	1835 год
1748	1748 год
1836	1836 год
1669	1669 год
לעאנהארד אוילער	Эйлер, Леонард
1670	1670 год
1749	1749 год
1837	1837 год
1671	1671 год
1750	1750 год
1838	1838 год
1672	1672 год
1751	1751 год
1839	1839 год
1673	1673 год
1752	1752 год
1840	1840 год
1674	1674 год
1753	1753 год
1841	1841 год
1754	1754 год
1675	1675 год
1842	1842 год
1755	1755 год
1676	1676 год
1843	1843 год
1677	1677 год
1756	1756 год
1844	1844 год
1678	1678 год
1757	1757 год
1845	1845 год
1679	1679 год
1758	1758 год
1846	1846 год
1680	1680 год
1759	1759 год
1847	1847 год
1681	1681 год
1760	1760 год
1848	1848 год
1682	1682 год
1761	1761 год
1849	1849 год
1683	1683 год
1762	1762 год
1850	1850 год
1684	1684 год
1763	1763 год
1851	1851 год
1764	1764 год
1685	1685 год
1852	1852 год
1686	1686 год
1765	1765 год
1853	1853 год
1687	1687 год
1766	1766 год
1854	1854 год
1688	1688 год
1767	1767 год
1855	1855 год
1689	1689 год
1768	1768 год
1856	1856 год
1690	1690 год
1769	1769 год
1857	1857 год
1691	1691 год
1770	1770 год
1858	1858 год
1692	1692 год
1771	1771 год
1859	1859 год
1693	1693 год
1772	1772 год
1860	1860 год
1773	1773 год
1861	1861 год
1694	1694 год
1695	1695 год
1774	1774 год
1862	1862 год
1696	1696 год
1775	1775 год
1863	1863 год
1697	1697 год
1776	1776 год
1864	1864 год
1698	1698 год
1865	1865 год
1777	1777 год
1699	1699 год
1866	1866 год
1778	1778 год
1779	1779 год
1867	1867 год
1780	1780 год
1868	1868 год
1781	1781 год
1869	1869 год
אוונט	Вечер
מינוט	Минута
יידישע אויטאנאמע געגנט	Еврейская автономная область
יהושע בן נון	Иисус Навин
רוסיש	Русский язык
1782	1782 год
1870	1870 год
לואי דער פערצנטער	Людовик XIV
1783	1783 год
1871	1871 год
וולאדימיר פוטין	Путин, Владимир Владимирович
געזעץ	Право
ראק און ראל	Рок-н-ролл
1784	1784 год
1872	1872 год
מאטעמאטישער אנאליז	Анализ (раздел математики)
קאנסטיטוציע	Конституция
1785	1785 год
1873	1873 год
1786	1786 год
1874	1874 год
1787	1787 год
1875	1875 год
1788	1788 год
1876	1876 год
פארבאנד פון דרום-מזרח אזיאטישע פעלקער	Ассоциация государств Юго-Восточной Азии
ביראבידזשאן	Биробиджан
1789	1789 год
1877	1877 год
1790	1790 год
1878	1878 год
קהל פון זעלבשטענדיקע שטאטן	Содружество Независимых Государств
1879	1879 год
1791	1791 год
קאמאנוועלט	Содружество наций
היסטאריע פון אייראפע	История Европы
היסטאריע פון גריכנלאנד	История Греции
אפעק	Организация стран — экспортёров нефти
אינטערנאציאנאלע געריכט פון יוסטיץ	Международный суд ООН
ברויט	Хлеб
אינטערנאציאנאלער געלטפאנד	Международный валютный фонд
1792	1792 год
1880	1880 год
1793	1793 год
1881	1881 год
אונעסקא	ЮНЕСКО
1794	1794 год
1882	1882 год
אלוועלטלעכע דעקלאראציע פון מענטשרעכט	Всеобщая декларация прав человека
1795	1795 год
1883	1883 год
װעלט געזונט ארגאניזאציע	Всемирная организация здравоохранения
1796	1796 год
1884	1884 год
1797	1797 год
1885	1885 год
1886	1886 год
1798	1798 год
וועלט האנדל ארגאניזאציע	Всемирная торговая организация
1887	1887 год
1799	1799 год
1888	1888 год
1889	1889 год
1890	1890 год
קרים	Крым
1891	1891 год
סוואהילי	Суахили
1892	1892 год
1893	1893 год
1894	1894 год
1895	1895 год
1896	1896 год
1897	1897 год
1898	1898 год
כינעזיש	Китайский язык
1899	1899 год
בית הכסא	Туалет
נאטור	Природа
טוש	Душ
פסיכיאטריע	Психиатрия
צעל	Клетка
בלוט	Кровь
טולוז	Тулуза
סקעלעט	Скелет
לונג	Лёгкие
אטעם-סיסטעם	Дыхательная система
פארמערן סיסטעם	Репродуктивная система
רומעניש	Румынский язык
בולגאריש	Болгарский язык
רעגן	Дождь
לאווינע	Лавина
קלימאט	Климат
על ניניא	Эль-Ниньо
גלאבאלע אנווארעמען	Глобальное потепление
ערדציטערניש	Землетрясение
מינעראל	Минерал
אמת	Истина
ערד פלאטעס	Тектоника плит
זען בודהיזם	Дзэн
מויז (קאמפיוטער)	Компьютерная мышь
נאטור-וויסנשאפטן	Естествознание
סערגיי אייזנשטיין	Эйзенштейн, Сергей Михайлович
אקירא קוראסאווא	Куросава, Акира
פרענקלין דעלאנא רוזעוועלט	Рузвельт, Франклин
ערד וויסנשאפט	Науки о Земле
אוויצענא	Ибн Сина
דארבי מוזיי און קונסט גאלעריע	Музей и художественная галерея Дерби
ווינסטאן טשערטשיל	Черчилль, Уинстон
אויגוסטינוס	Аврелий Августин
נעלסאן מאנדעלע	Мандела, Нельсон
מארטין לוטער קינג	Кинг, Мартин Лютер
עקאנאמיע פון דייטשלאנד	Экономика Германии
ענזים	Ферменты
10טער י"ה	X век
פראטעין	Белки
ציגיינער	Цыгане
שטיין	Горная порода
נאטירלעכע קאטאסטראפע	Стихийное бедствие
פארפלייצונג	Наводнение
צונאמי	Цунами
וואולקאן	Вулкан
וואלקן	Облака
לאגיק	Логика
טארנאדא	Смерч
9טער י"ה	IX век
טריגאנאמעטריע	Тригонометрия
8טער י"ה	VIII век
געאמעטריע	Геометрия
7טער י"ה	VII век
6טער י"ה	VI век
גראמאטיק	Грамматика
שטורעם ווינט	Тропический циклон
נינטענדא	Nintendo
ווינט	Ветер
5טער י"ה	V век
4טער י"ה	IV век
3טער י"ה	III век
2טער י"ה	II век
אטמאספער	Атмосфера
1טער י"ה	I век
גרוזיניש	Грузинский язык
עקאנאמיק	Экономика (наука)
קאפיטאל	Капитал
וואלוטע	Валюта
יאפאנעזער יען	Японская иена
אינדוסטריע	Промышленность
שטייער	Налог
לינגוויסטיק	Лингвистика
ווארט	Слово
פאנעם	Фонема
טראף	Слог
שריפט	Письменность
אראבישער אלפאבעט	Арабское письмо
כינעזישע שריפט	Китайское письмо
קירילישע שריפט	Кириллица
גריכישער אלפאבעט	Греческий алфавит
האנגול	Хангыль
לאטיינישער אלפאבעט	Латинский алфавит
ליטעראט	Грамотность
קאַטעגאָריע:בולגאריע	Категория:Болгария
ליטעראטור	Литература
קאַטעגאָריע:פראנקרייך	Категория:Франция
די קונסט פון מלחמה	Искусство войны
בעלעטריסטיק	Художественная литература
קאַטעגאָריע:מוזיק	Категория:Музыка
טויזנט און איין נעכט	Тысяча и одна ночь
קאַטעגאָריע:ליטעראטור	Категория:Литература
ראמאן	Роман
קאַטעגאָריע:דיכטונג	Категория:Поэзия
חלום פונעם רויטן קאמער	Сон в красном тереме
קאַטעגאָריע:היסטאריע: פראנקרייך	Категория:История Франции
אייראזאנע	Еврозона
די מעשה פון גענזשי	Повесть о Гэндзи
גילגאמעש עפאס	Эпос о Гильгамеше
איליאדע	Илиада
מאהאבהאראטא	Махабхарата
שאהנאמע	Шахнаме
FBI	Федеральное бюро расследований
הארי פאטער	Серия романов о Гарри Поттере
טרומייט	Труба (музыкальный инструмент)
דזשעז	Джаз
פידל	Скрипка
באראק מוזיק	Музыка эпохи барокко
אלגאריטם	Алгоритм
טשעלא	Виолончель
דראג	Биологически активные вещества
פעדעפיליע	Педофилия
סעקס פאזיציעס	Сексуальные позиции
אנאנירן	Мастурбация
אנאל סעקס	Анальный секс
אלעקסאנדער דער גרויסער	Александр Македонский
קאנסטאנטין דער גרויסער	Константин I Великий
כורש	Кир II Великий
געזעלשאפט (סאציאלאגיע)	Общество
ציוויליזאציע	Цивилизация
חינוך	Образование
פאמיליע	Семья
יוגא טשאוועז	Чавес, Уго
מאנצביל	Мужчина
אטא פאן ביסמארק	Бисмарк, Отто фон
אישות	Брачный союз
אבארטאציע	Аборт
טויטשטראף	Смертная казнь
מענטשן רעכט	Права человека
ראסיזם	Расизм
טימור	Тамерлан
שקלאפעריי	Рабство
בירגער קריג	Гражданская война
אומאר איבן אל-כאטאב	Умар ибн аль-Хаттаб
מיליטער	Военное дело
סוליימאן דער ערשטער	Сулейман I
פיטער דער גרויסער	Пётр I
קאווע	Кофе
זאפט	Сок
מילך	Молоко
באַרג	Гора
מדבר	Пустыня
זומער אלימפיאדע 2008	Летние Олимпийские игры 2008
סון יאט-סען	Сунь Ятсен
זומער אלימפיאדע 2012	Летние Олимпийские игры 2012
סאלאדין	Салах ад-Дин
אשאקא	Ашока
אקבאר	Акбар I Великий
סימאן באליוואר	Боливар, Симон
היפנאזיע	Гипноз
ענדרו זשאנסאן	Джонсон, Эндрю
פיער עליאט טרודא	Трюдо, Пьер Эллиот
קוואמע נקרומאה	Нкрума, Кваме
יידיש	Идиш
האנג קאנג	Гонконг
מיאמי	Майами
קאראטשי	Карачи
מיטל מזרח קאנפליקט	Арабо-израильский конфликт
לאגאס	Лагос
אמעריקאנער בירגערקריג	Гражданская война в США
ריא דע זשאנערא	Рио-де-Жанейро
בריטישע אימפעריע	Британская империя
קאלטער קריג	Холодная война
סעאל	Сеул
שאנכיי	Шанхай
קולטורעלע רעוואלוציע	Культурная революция в Китае
לאנדאן היטרוי ערפארט	Хитроу
וועלט ווירטשאפט קריזיס	Великая депрессия
וואלט דיזני	Дисней, Уолт
מיידזשי רעסטאראציע	Реставрация Мэйдзи
סעווילא	Севилья
רוסישע רעוואלוציע	Русская революция
לאס אנדזשעלעס אינטערנאציאנאלע פליפעלד	Лос-Анджелес (аэропорт)
טשינג דינאסטיע	Империя Цин
ווערסיי אפמאך	Версальский договор
ארכימעד	Архимед
וויעטנאם קריג	Война во Вьетнаме
טאמעס עדיסאן	Эдисон, Томас Алва
אוקלידוס	Евклид
מייקל פאראדיי	Фарадей, Майкл
באסקיש	Баскский язык
ענריקא פערמי	Ферми, Энрико
בריטיש ערוועיס	British Airways
DNS	DNS
הענרי פארד	Форд, Генри
גאלען	Гален
קריפטאגראפיע	Криптография
אינטערנעט פראטאקאל	IP
אוקראיניש	Украинский язык
ביט	Бит
HTML	HTML
וואלענציע	Валенсия
יוניקאד	Юникод
סאטיאדזשיט ריי	Рай, Сатьяджит
סטיווען ספילבערג	Спилберг, Стивен
אייראפעאישע קאמיסיע	Европейская комиссия
אייראפעישער צענטראלבאנק	Европейский центральный банк
אייראפעישע אטאמישע ענערגיע געמיינדע	Европейское сообщество по атомной энергии
יאהאן גוטנבערג	Гутенберг, Иоганн
דזשיימס פרעסקאט דזשול	Джоуль, Джеймс
יאהאנעס קעפלער	Кеплер, Иоганн
מאקס פלאנק	Планк, Макс
שוועדיש	Шведский язык
דעניש	Датский язык
ניקאלא טעסלא	Тесла, Никола
אל־כוואריזמי	Аль-Хорезми
זשיימס וואט	Уатт, Джеймс
טשאנאקיע	Чанакья
גאטפריד ווילהעלם לייבניץ	Лейбниц, Готфрид Вильгельм
נועם כאמסקי	Хомский, Ноам
לוקסעמבורגיש	Люксембургский язык
טשעכיש	Чешский язык
סלאוואקיש	Словацкий язык
קארל מארקס	Маркс, Карл
סלאוועניש	Словенский язык
אונגעריש	Венгерский язык
וואלטער	Вольтер
משה רבינו	Моисей
לעטיש	Латышский язык
וויסן	Знание
ליטוויש	Литовский язык
הינדואיזם	Индуизм
בעלארוסיש	Белорусский язык
דזשיימס קלארק מאקסוועל	Максвелл, Джеймс Клерк
ברוסט	Женская грудь
דמיטרי מענדלעעוו	Менделеев, Дмитрий Иванович
אטאם	Атом
ערנעסט ראדערפארד	Резерфорд, Эрнест
ליכט	Свет
גריכיש	Греческий язык
ערווין שרעדינגער	Шрёдингер, Эрвин
מיטאלאגיע	Мифология
אפערירן סיסטעם	Операционная система
טאזש מאהאל	Тадж-Махал
איריש	Ирландский язык
פראגראמירן שפראך	Язык программирования
פינגווין	Пингвиновые
פונדאמענטאליזם	Фундаментализм
בליצפאסט	Электронная почта
מאנאטעיזם	Монотеизм
פאליטעאיזם	Политеизм
נשמה	Душа
מאלטעזיש	Мальтийский язык
פערסיש	Персидский язык
רעליגיע	Религия
קארעיש	Корейский язык
אברהם אבינו	Авраам
ספר בראשית	Книга Бытия
עמפייער סטעיט בילדינג	Эмпайр-стейт-билдинг
ספר שמות	Книга Исход
רענע דעקארט	Декарт, Рене
וויעטנאמעזיש	Вьетнамский язык
שאול התרסי	Апостол Павел
סטאטוע פון ליבערטי	Статуя Свободы
אמעריקאנער ארמיי	Армия США
זיגמונד פרויד	Фрейд, Зигмунд
טיילאנדיש	Тайский язык
דזשייניזם	Джайнизм
געארג ווילהעלם פרידריך העגל	Гегель, Георг Вильгельм Фридрих
מאנגאליש	Монгольский язык
באקו	Баку
וועלט ירושה ארט	Всемирное наследие
סאלאט	Салат (блюдо)
יידישקייט	Иудаизм
העברעאיש	Иврит
איבן כאלדון	Ибн Хальдун
סערביש	Сербский язык
באסניש	Боснийский язык
אימאנועל קאנט	Кант, Иммануил
סיקהיזם	Сикхизм
דזשאן מיינארד קינס	Кейнс, Джон Мейнард
אויפפיר	Поведение
לאא צי	Лао-цзы
Gmail	Gmail
גוגל דאקומענטן	Google Docs
יאגא	Йога
דזשאן לאק	Локк, Джон
פרידריך ניצשע	Ницше, Фридрих
בישקעק	Бишкек
זשאן-פאל סארטרע	Сартр, Жан-Поль
דושאנבע	Душанбе
גוגל (זוכמאשין)	Google
לעבער	Печень
סימא טשיען	Сыма Цянь
ניר	Почка (анатомия)
אדם סמיט	Смит, Адам
אוריניר פענכער	Мочевой пузырь
מאקס וועבער	Вебер, Макс
לודוויג וויטגנשטיין	Витгенштейн, Людвиг
זשו טשי	Чжу Си
נערוון סיסטעם	Нервная система
געפיל	Эмоция
פסיכאלאגיע	Психология
טראכטן	Мышление (психология)
טימבוקטו	Томбукту
אקעאן	Океан
טאמאס פון אקווינא	Фома Аквинский
קעניגין וויקטאריע	Виктория (королева Великобритании)
גאוטאמא בודהא	Будда Шакьямуни
רעגנוואלד	Дождевой лес
דיאלעקטיק	Диалектика
מוכאמאד	Мухаммед
מידות	Этика
עפיסטעמאלאגיע	Эпистемология
בחירה	Свобода воли
IPod	IPod
משמעותדיקייט	Вероятность
רעאליטעט	Реальность
אטעם	Дыхание
בי בי סי	Би-би-си
טאני בלער	Блэр, Тони
אל-גאזאלי	Абу Хамид аль-Газали
מארטין לוטער	Лютер, Мартин
קאנפוציאניזם	Конфуцианство
דזשעראלד פארד	Форд, Джеральд Рудольф
שיא איסלאם	Шииты
ריטשארד ניקסאן	Никсон, Ричард
ITunes	ITunes
קאטוילישע קירכע	Римско-католическая церковь
טרימורטי	Тримурти
בויך	Брюшко
טאאיזם	Даосизм
זאראאסטריזם	Зороастризм
סופיזם	Суфизм
בענגאליש	Бенгальский язык
טראכט	Матка женщины
צונג	Язык (анатомия)
פאנקרעאס	Поджелудочная железа
נערוו	Нерв
גענאק	Шея
מויל	Рот
שטימע קעסטל	Гортань
געדערעם	Кишечник
לינדאן זשאנסאן	Джонсон, Линдон
געלענק	Сустав
ברוסטקאסטן	Грудная клетка
דריז	Железа
פאלקלאנד אינזלען	Фолклендские острова
פארדייאונג סיסטעם	Пищеварительная система человека
A	A (латиница)
מיכאל שומאכער	Шумахер, Михаэль
אינזל פון ווייט	Остров Уайт
