非洲	Африка
Mu-nì-het	Мюнхен
Erfurt	Эрфурт
Dresden	Дрезден
Kaliningrad-chû	Калининградская область
Murmansk-chû	Мурманская область
Kak-than-sṳ̂-khiet	Гданьск
Fap-làn-khiet-fuk	Франкфурт-на-Майне
Fut-lò-tshṳ-ngá-fû	Вроцлав
Làn	Лантан
Ki (鉕)	Прометий
Sân	Самарий
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Ачех (провинция)
Nga̍t (釓)	Гадолиний
Thi̍t (鋱)	Тербий
Tit (鏑)	Диспрозий
Sṳn-kîn	Библия
Fó	Гольмий
Ngí (鉺)	Эрбий
Tiû	Тулий
Yi	Иттербий
Liu	Лютеций
Hò-nui-sṳ	Ханой
Chṳ̂n Yâ-sû Kau-fi	Церковь истинного Иисуса
Yîn-ngî	Английский язык
Màn-kuk	Бангкок
Kit-lùng-po	Куала-Лумпур
Pâng-kâ Vú-lî-thung-sén	Банка-Белитунг
Thòi-pet-sṳ	Тайбэй
Mî (鋂)	Америций
Arkhangelsk-chû	Архангельская область
Khiu̍k	Кюрий
Thùng-hói-sṳ	Донгхой
Concepción	Консепсьон (город, Чили)
Pet (鉳)	Берклий
Khà (鉲)	Калифорний
Mìn-kú-lû-sén	Бенкулу (провинция)
Oi	Эйнштейний
Fi	Фермий
Mùn	Менделевий
Na	Нобелий
Ontario-sén	Онтарио
Lò	Лоуренсий
Karelia Khiung-fò-koet	Республика Карелия
Końskowola	Коньсковоля
2002-ngièn	2002 год
2008-ngièn	2008 год
Charles de Gaulle	Де Голль, Шарль
Cham-pî-sén	Джамби (провинция)
Komi Khiung-fò-koet	Республика Коми
Nâm-póng-sén	Лампунг
Pet Sû-mùn-tap-lia̍p-sén	Северная Суматра
Syktyvkar	Сыктывкар
Québec-sṳ	Квебек (город)
Nenets Chhṳ-chhṳ-khî	Ненецкий автономный округ
Liàu-nui-sén	Риау
Leningrad-chû	Ленинградская область
Pskov-chû	Псковская область
Liàu-nui Khiùn-tó-sén	Острова Риау
Nizhny Novgorod-chû	Нижегородская область
Nàm Sû-mùn-tap-lia̍p-sén	Южная Суматра
Lò-mâ Ti-koet	Римская империя
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Тверская область
Khù-lû-fû	Курув
Fa-ho̍k	Химия
Smolensk-chû	Смоленская область
Yaroslavl-chû	Ярославская область
Kostroma-chû	Костромская область
Ivanovo-chû	Ивановская область
Arnold Schwarzenegger	Шварценеггер, Арнольд
Chiuk-khiù	Футбол
Ryazan-chû	Рязанская область
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Западная Суматра
Tula-chû	Тульская область
IPad	IPad
Mâ-tet-lî	Мадрид
Bryansk-chû	Брянская область
Michael Jackson	Джексон, Майкл
Kaluga-chû	Калужская область
Loire-Atlantique-sén	Атлантическая Луара
Ain-sén	Эн (департамент)
Allier-sén	Алье
Khâm-phì-là	Канберра
Sông Alpes-sén	Верхние Альпы
Oryol-chû	Орловская область
Sit-nì	Сидней
Alpes-de-Haute-Provence-sén	Альпы Верхнего Прованса
Liu̍k-set	Зелёный цвет
Alpes-Maritimes-sén	Приморские Альпы (департамент)
Hâ-tet-sùn-hò	Гудзон (река)
Me̍t-ngì-pún	Мельбурн
Fùng-set	Красный цвет
Ardèche-sén	Ардеш
Jena	Йена (город)
Kursk-chû	Курская область
Ariège-sén	Арьеж
Aude-sén	Од (департамент)
Aveyron-sén	Аверон
Sîn Nàm Vî-ngì-sṳ̂-chû	Новый Южный Уэльс
Bouches-du-Rhône-sén	Буш-дю-Рон
Àu-thai-li-â Sú-tû Liâng-thi	Австралийская столичная территория
Cantal-sén	Канталь
Belgorod-chû	Белгородская область
Côte-d'Or-sén	Кот-д’Ор
Côtes-d'Armor-sén	Кот-д’Армор
Drôme-sén	Дром (департамент)
Finistère-sén	Финистер
Voronezh-chû	Воронежская область
Sû-mùn-tap-lia̍p	Суматра
Lipetsk-chû	Липецкая область
Van-tan-sén	Бантен
Chûng Cháu-ôa-sén	Центральная Ява
Fùi-sên	Комета
Rostov-chû	Ростовская область
Tûng Cháu-ôa-sén	Восточная Ява
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Джакарта
Sî Cháu-ôa-sén	Западная Ява
Adygea Khiung-fò-koet	Адыгея
Ngit-ngiâ Thi-fông Thi̍t-khî	Джокьякарта (особый округ)
Gera	Гера (Тюрингия)
Maykop	Майкоп
Cháu-ôa-tó	Ява
Kâ-lî-man-tân-chû	Индонезийский Калимантан
Séu Sùn-thâ Khiùn-tó	Малые Зондские острова
Sû-lâ-vî-sî-tó	Сулавеси
Mô-lu̍k-kâ Khiùn-tó	Молуккские острова
Chûng Kâ-lî-man-tân-sén	Центральный Калимантан
Tûng Kâ-lî-man-tân-sén	Восточный Калимантан
Nàm Kâ-lî-man-tân-sén	Южный Калимантан
Kâ-li-sî-â	Галисия
Sî Kâ-lî-man-tân-sén	Западный Калимантан
Thai-ho̍k	Университет
Pretoria	Претория
Chok-khiù	Настольный теннис
Â-sṳ̂-thù-lî-â-sṳ̂	Астурия
Wikipedia:Sandbox	Википедия:Песочница
Astrakhan-chû	Астраханская область
Kham-thap-pu-lî-â	Кантабрия
Kalmykia Khiung-fò-koet	Калмыкия
Weimar	Веймар
Osasco	Озаску
Â-là-kung	Арагон
Kak-là-sṳ̂-kô	Глазго
Thùng-hói Kî-chhòng	Донгхой (аэропорт)
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Улинъюань
分類:Thòi-vân li̍t-sṳ́	Категория:История Тайваня
Curitiba	Куритиба
Chloë Grace Moretz	Морец, Хлоя
Khûng-chṳ́	Конфуций
Corbin Bleu	Блю, Корбин
分類:Sṳ-ho̍k	Категория:Математика
分類:Ngìn-kûng ngî-ngièn	Категория:Искусственные языки
Pâ-lî-sén	Бали
Mî-kîm	Доллар США
Thi-chûng-hói	Средиземное море
Hông-chû-sṳ	Ханчжоу
Kî-tuk-kau	Христианство
Tûng Nú-sâ Tên-kâ-là-sén	Восточные Малые Зондские острова
Sî Nú-sâ Tên-kâ-là-sén	Западные Малые Зондские острова
Chûng Sû-lâ-vî-sî-sén	Центральный Сулавеси
Kô-lùn-tá-lo̍k-sén	Горонтало
Pet Sû-lâ-vî-sî-sén	Северный Сулавеси
Tûng-nàm Sû-lâ-vî-sî-sén	Юго-Восточный Сулавеси
Nàm Sû-lâ-vî-sî-sén	Южный Сулавеси
Sî Sû-lâ-vî-sî-sén	Западный Сулавеси
Vò-é	Рис (продукт питания)
Mâ-lû-kú-sén	Малуку
Pet Mâ-lû-kú-sén	Северное Малуку
Pâ-pu-â-sén	Папуа (провинция Индонезии)
Sî Pâ-pu-â-sén	Западное Папуа
Dagestan Khiung-fò-koet	Дагестан
Sú-tû	Столица
Monzón	Монсон
Phù-thò-ngà-ngî	Португальский язык
Ngie̍t	Месяц
Mustafa Kemal Atatürk	Ататюрк, Мустафа Кемаль
Makhachkala	Махачкала
Chechnya Khiung-fò-koet	Чечня
Grozny	Грозный
Almazán	Альмасан
Vòng Hien-fàm	Хуан Сяньфань
Ingushetia Khiung-fò-koet	Ингушетия
Magas	Магас
Pet Ossetia–Alania Khiung-fò-koet	Северная Осетия
Kabardino-Balkaria Khiung-fò-koet	Кабардино-Балкария
Tson-sa̍k	Алмаз
Bill Gates	Гейтс, Билл
Ngi̍t-ngî	Японский язык
Pak-khô-chhiòn-sû	Энциклопедия
頭頁	Заглавная страница
Karachay-Cherkessia Khiung-fò-koet	Карачаево-Черкесия
Saratov	Саратов
Saratov-chû	Саратовская область
Orenburg-chû	Оренбургская область
Mordovia Khiung-fò-koet	Мордовия
Saransk	Саранск
Yâ-khiù	Бейсбол
Làm-khiù	Баскетбол
Kirov-chû	Кировская область
Udmurtia Khiung-fò-koet	Удмуртия
Sî-pak-li-â	Сибирь
Mari El Khiung-fò-koet	Марий Эл
Yoshkar-Ola	Йошкар-Ола
Stellenbosch	Стелленбос
Sverdlovsk-chû	Свердловская область
Cape Town	Кейптаун
Chuvash Khiung-fò-koet	Чувашия
Durban	Дурбан
Cheboksary	Чебоксары
Tat-tat-sṳ̂-thán Khiung-fò-koet	Татарстан
