Afraga	Африка
Mil	Мёд
Feòil	Мясо
Buntàta	Картофель
Siùcar	Сахар
Taigh nam Morairean	Палата лордов
Snùcair	Снукер
Teicneòlas	Технология
Inneal	Машина
Innleadaireachd	Инженерное дело
Conaltradh	Общение
Pàipear-naidheachd	Газета
Clò-bhualadh	Книгопечатание
Fòn	Телефон
Na Rolling Stones	The Rolling Stones
Pinnt	Пинта (единица объёма)
Lugo	Луго
Searbhag	Кислота
Comharradh-ceiste	Вопросительный знак
Co-thàth	Химическое соединение
22mh Linn	XXII век
Eòlas-leighis	Медицина
Sarajevo	Сараево
Àireamhachd	Арифметика
Siostaman cho-chomharran	Система координат
Salann	Поваренная соль
Roinn-seòrsa:Braisil	Категория:Бразилия
Roinn-seòrsa:Romàinia	Категория:Румыния
Ceàrn (Matamataig)	Угол
Gualuisg	Углеводы
Lùth	Энергия
Ròc	Рок-музыка
Hip-hop	Хип-хоп (музыкальный жанр)
Apartheid	Апартеид
Geama	Игра
Iom-tharraing	Гравитация
Go	Го
Tomad	Масса
Film	Фильм
Meatailt	Металлы
Stàilinn	Сталь
Gas	Газ
Carbad-adhair	Воздушное судно
Rothair	Велосипед
Long	Судно
Àiteachas	Сельское хозяйство
Cotan	Хлопок
Aodach	Одежда
Crann-treabhaidh	Плуг
Pàipear	Бумага
Farsaingeachd	Площадь
Àireamh	Число
Darwin, Astràilia	Дарвин (город)
Cruithneachd Innseanach	Кукуруза сахарная
Harry S. Truman	Трумэн, Гарри
Judy Garland	Джуди Гарленд
Dannsa	Танец
Aimsir	Погода
Cinn-suidhe nan Stàitean Aonaichte	Президент США
Dùthchannan an t-Saoghail	Алфавитный список стран и территорий
Mathan	Медвежьи
John Adams	Адамс, Джон (президент)
Thomas Jefferson	Джефферсон, Томас
James Madison	Мэдисон, Джеймс
James Monroe	Монро, Джеймс
John Quincy Adams	Адамс, Джон Куинси
Andrew Jackson	Джексон, Эндрю
Martin Van Buren	Ван Бюрен, Мартин
Silvio Berlusconi	Берлускони, Сильвио
William Henry Harrison	Гаррисон, Уильям Генри
John Tyler	Тайлер, Джон
James K. Polk	Полк, Джеймс Нокс
Zachary Taylor	Тейлор, Закари
Bern (Kanton)	Берн (кантон)
Genève (Canton)	Женева (кантон)
Glarus (Kanton)	Гларус (кантон)
Grischuns (Chantun)	Граубюнден
Solothurn (Kanton)	Золотурн (кантон)
Kevin Costner	Костнер, Кевин
Zug (Kanton)	Цуг (кантон)
Zürich (Kanton)	Цюрих (кантон)
Alacant	Аликанте
Aargau (Kanton)	Аргау
Las Palmas de Gran Canaria	Лас-Пальмас-де-Гран-Канария
Foto-cho-chur	Фотосинтез
Leatrom	Беременность человека
Darach	Дуб
Giuthas	Сосна
1101	1101 год
1102	1102 год
Aillse	Злокачественная опухоль
Appenzell Ausserrhoden (Kanton)	Аппенцелль-Аусерроден
Appenzell Innerrhoden (Kanton)	Аппенцелль-Иннерроден
Coirce	Овёс посевной
Breatannais	Бретонский язык
Luzern (Kanton)	Люцерн (кантон)
Bodhar	Нарушение слуха
Roinn-tìde	Часовой пояс
Basel-Landschaft (Kanton)	Базель-Ланд
Slàinte	Здоровье
Basel-Stadt (Kanton)	Базель-Штадт
Gàidhlig Mhanainn	Мэнский язык
Naoned	Нант
Brest	Брест (Франция)
AIDS	ВИЧ-инфекция
A' Chaitheamh	Туберкулёз
Breac (tinneas)	Натуральная оспа
Stanley	Стэнли (Фолклендские острова)
Huelva	Уэльва
Ailtireachd	Архитектура
Drochaid	Мост
Millard Fillmore	Филлмор, Миллард
Franklin Pierce	Пирс, Франклин
James Buchanan	Бьюкенен, Джеймс
Uri (Kanton)	Ури
Pontevedra	Понтеведра
Schwyz (Kanton)	Швиц (кантон)
Newton	Ньютон (единица измерения)
Detroit, Michigan	Детройт
Königswinter	Кёнигсвинтер
Siostam Eadar-nàiseanta nan Aonadan	Международная система единиц
Staitistearachd	Статистика
1103	1103 год
1104	1104 год
Balla Mòr Shìona	Великая Китайская стена
Cruinne	Сфера
Gard (département)	Гар (департамент)
Biorramaid	Пирамида (архитектура)
Gers	Жер (департамент)
Gironde	Жиронда
Haute-Garonne	Верхняя Гаронна
Soillseachadh	Эпоха Просвещения
Hauts-de-Seine	О-де-Сен
An t-Impireachd Bheasantian	Византийская империя
Hérault	Эро (департамент)
Il-ha-Gwilen	Иль и Вилен
Indre	Эндр (департамент)
Meadhan-aoisean	Средние века
Indre-et-Loire	Эндр и Луара
Isère	Изер (департамент)
An t-Ath-Leasachadh	Реформация
Landes (département)	Ланды (департамент)
Loir-et-Cher	Луар и Шер
Na Lochlannaich	Викинги
Haute-Loire	Верхняя Луара
Obwalden (Kanton)	Обвальден
Loiret	Луаре
Lot (département)	Ло (департамент)
Lot-et-Garonne	Ло и Гаронна
Lozère	Лозер
Maine-et-Loire	Мен и Луара
Aimearaga-Laideannach	Латинская Америка
Manche	Манш
Nidwalden (Kanton)	Нидвальден
Marne	Марна (департамент)
Haute-Marne	Верхняя Марна
Mayenne	Майен (департамент)
Meurthe-et-Moselle	Мёрт и Мозель
Camas Mheagsago	Мексиканский залив
Meuse	Мёз (департамент)
Làn-thoradh Dùthchail	Валовой внутренний продукт
Fribourg (Canton)	Фрибур (кантон)
Mor-Bihan	Морбиан
Moselle (département)	Мозель (департамент)
Nièvre	Ньевр
Wilhelm Ostwald	Оствальд, Вильгельм Фридрих
Nord (département)	Нор (департамент)
Oise	Уаза (департамент)
Orne	Орн (департамент)
Pas-de-Calais	Па-де-Кале (департамент)
Puy-de-Dôme	Пюи-де-Дом
Schaffhausen (Kanton)	Шаффхаузен (кантон)
Hautes-Pyrénées	Верхние Пиренеи
Pyrénées-Atlantiques	Атлантические Пиренеи
Lùth ath-nuadhachail	Возобновляемая энергия
Pyrénées-Orientales	Восточные Пиренеи
Thurgau (Kanton)	Тургау
Bas-Rhin	Нижний Рейн
Haut-Rhin	Верхний Рейн
Ticino (Cantone)	Тичино
Dealan	Электричество
Haute-Saône	Верхняя Сона
Saône-et-Loire	Сона и Луара
Neuchâtel (Canton)	Невшатель (кантон)
Sarthe	Сарта (департамент)
Beul-àtha	Брод
Savoie (département)	Савойя (департамент)
St. Gallen (Kanton)	Санкт-Галлен (кантон)
Haute-Savoie	Верхняя Савойя
Seine-et-Marne	Сена и Марна
Jura (Canton)	Юра (кантон)
Inneal broinne-losgaidh	Двигатель внутреннего сгорания
Seine-Maritime	Приморская Сена
Inneal-stotha	Паровая машина
Seine-Saint-Denis	Сен-Сен-Дени
Deux-Sèvres	Дё-Севр
Somme (département)	Сомма (департамент)
Vaud (Canton)	Во (кантон)
Tarn (département)	Тарн
Tarn-et-Garonne	Тарн и Гаронна
Territoire de Belfort	Территория Бельфор
Val-d'Oise	Валь-д’Уаз
Val-de-Marne	Валь-де-Марн
Var (département)	Вар (департамент)
Claidheamh	Меч
Vaucluse	Воклюз
Vendée	Вандея
Vienne	Вьенна (департамент)
Haute-Vienne	Верхняя Вьенна
Yonne	Йонна
Yvelines	Ивелин
Ceàrn	Комарка
Reinhard Selten	Зелтен, Райнхард
Majuro	Маджуро
Fano	Фано
Rumantsch	Романшский язык
Bàrr a' bhainne	Сливки
Reòiteag	Мороженое
Sòrbais Uarach	Верхнелужицкий язык
Briosgaid	Бисквит (англоязычные страны)
Sòrbais Ìosal	Нижнелужицкий язык
Graz	Грац
Nahuatl (cànan)	Астекские языки
Navajo (cànan)	Навахо (язык)
Imperia	Империя (город)
Ravenna	Равенна
Oilthigh Harvard	Гарвардский университет
Pistoia	Пистоя
Yopal (baile)	Йопаль
Nuoro	Нуоро
Agrigento	Агридженто
Bumpair	Бампер
1105	1105 год
Lleida (provincia)	Льейда (провинция)
Île-de-France	Иль-де-Франс
Centre-Val de Loire	Центр (регион Франции)
Piocardaidh	Пикардия
Arabais	Арабский язык
Tartu	Тарту
Casanare (Roinn)	Касанаре
Caquetá (Roinn)	Какета (департамент)
Kyūshū	Кюсю
Honshū	Хонсю
Valle del Cauca (Roinn)	Валье-дель-Каука
Shikoku	Сикоку
Risaralda (Roinn)	Рисаральда
Quindío (Roinn)	Киндио
Dolair Aimearaganach	Доллар
Champagne-Ardenne	Шампань — Арденны
Corsaca	Корсика
Ogsatanais	Окситанский язык
Afraganais	Африкаанс
Prìomh Mhinistearan na Rìoghachd Aonaichte	Премьер-министр Великобритании
Prìomh-mhinistear	Премьер-министр
Aarau	Арау
Santiago de Compostela	Сантьяго-де-Компостела
Vitoria-Gasteiz	Витория-Гастейс
Santa Cruz de Tenerife	Санта-Крус-де-Тенерифе
Tyrannosaurus	Тираннозавр
Iasgach	Рыбная ловля
Beta	Бета (буква)
Gamma	Гамма (буква)
Delta	Дельта (буква)
Epsilon	Эпсилон
Zeta	Дзета
Eta	Эта
Theta	Тета
Iota	Йота
Kappa	Каппа (буква)
Nu	Ню (буква)
Xi	Кси (буква)
Omicron	Омикрон
Rho	Ро (буква)
Sigma	Сигма (буква)
Tau	Тау
Loch Lugano	Лугано (озеро)
Upsilon	Ипсилон
Chi	Хи
Psi	Пси (буква)
A' Bheurla Ghallda	Шотландский язык (германский)
Emmen	Эммен (Нидерланды)
Lùireach	Герб
Caolabhain	Карандаш
Àirneis	Мебель
Bòrd (àirneis)	Стол
Macau	Макао
Bautzen	Баутцен
Aurich	Аурих
Bernburg	Бернбург
Crann-sneachda	Плужный снегоочиститель
Samekh	Самех
Beth	Бет (буква еврейского алфавита)
Gimel	Гимель
Daleth	Далет
He	Хе (буква еврейского алфавита)
Sioraf	Жираф
Tarragona	Таррагона
Lleida	Льейда
Castelló de la Plana	Кастельон-де-ла-Плана
Provence-Alpes-Côte d'Azur	Прованс — Альпы — Лазурный Берег
Zayin	Зайн (буква еврейского алфавита)
Bile (corp)	Губы
Aonadh Sobhiat	Союз Советских Социалистических Республик
Lord of the Rings ( leabhar )	Властелин колец
Loch Ladoga	Ладожское озеро
Platapas gob-tunnaige	Утконос
Sant Quirze Safaja	Сан-Кирзе-Сафажа
Cáceres	Касерес (город)
Badajoz	Бадахос
Jaén (baile)	Хаэн
Cádiz	Кадис
Salamanca	Саламанка
Bun-na-coise	Стопа
Queen	Queen
Freddie Mercury	Фредди Меркьюри
Amy Winehouse	Уайнхаус, Эми
Altenburg	Альтенбург
Cnàmh an ugain	Ключица
Bòrd-geal	Доска для рисования маркерами
Gualann	Плечевой сустав
Peirceall	Нижняя челюсть
Humphrey Bogart	Богарт, Хамфри
Midi-Pyrénées	Юг — Пиренеи
Franche-Comté	Франш-Конте
Robert Mitchum	Митчем, Роберт
Uicipeid:Talla a' Bhaile	Википедия:Форум
České Budějovice	Ческе-Будеёвице
Bàirdse	Пениш
Breitheamh	Судья
Vermont	Вермонт
San Diego, Calafòrnia	Сан-Диего
San Jose, Calafòrnia	Сан-Хосе (Калифорния)
Denver	Денвер
Houston, Texas	Хьюстон
Phoenix, Arizona	Финикс
Dallas, Texas	Даллас
Fort Worth, Texas	Форт-Уэрт
Memphis, Tennessee	Мемфис (Теннесси)
Columbus, Ohio	Колумбус (Огайо)
Jacksonville, Florida	Джэксонвилл
Justus von Liebig	Либих, Юстус фон
Samoa Aimearaganach	Американское Самоа
Na Sia Nàiseanan	Кубок шести наций
Basse-Normandie	Нижняя Нормандия
A' Ghearmailt an Ear	Германская Демократическая Республика
Haute-Normandie	Верхняя Нормандия
Pàpa Pòl VI	Павел VI
Nord-Pas-de-Calais	Нор — Па-де-Кале
Pays de la Loire	Земли Луары
Languedoc-Roussillon	Лангедок — Руссильон
Poitou-Charentes	Пуату — Шаранта
Guadeloupe	Гваделупа
Oakland, Calafòrnia	Окленд (Калифорния)
Martinique	Мартиника
Mayotte	Майотта
Réunion	Реюньон
Ugh	Яйцо
Johan Cruyff	Кройф, Йохан
Tibet	Тибет
Cearcall	Окружность
Bosco Marengo	Боско-Маренго
Tenzin Gyatso	Далай-лама XIV
Donald Knuth	Кнут, Дональд Эрвин
Diego Armando Maradona	Марадона, Диего Армандо
Fòn-làimh	Сотовый телефон
Struth (eun)	Страус
Aicseam	Аксиома
Portacomaro	Портакомаро
LCDT	ЛГБТ
Sappho	Сапфо
Sacramento, Calafòrnia	Сакраменто (Калифорния)
Honolulu	Гонолулу
Coirea	Корея
1925	1925 год
1927	1927 год
Manchester	Манчестер
Gao Xingjian	Гао Синцзянь
Alfonso XIII na Spàinne	Альфонсо XIII
Providence, Rhode Island	Провиденс
Sasainn Nuadh	Новая Англия
Alatri	Алатри
Joseph Stiglitz	Стиглиц, Джозеф
1000	1000 год
999	999 год
Faol	Волк
Bàlla	Мяч
Doolish	Дуглас (остров Мэн)
Tucson, Arizona	Тусон
1955	1955 год
1954	1954 год
1953	1953 год
1951	1951 год
1950	1950 год
1946	1946 год
1943	1943 год
1942	1942 год
1940	1940 год
1939	1939 год
1938	1938 год
1937	1937 год
1936	1936 год
1935	1935 год
Swansea City A.F.C.	Суонси Сити
1934	1934 год
1933	1933 год
1932	1932 год
1931	1931 год
1930	1930 год
1929	1929 год
Pyongyang	Пхеньян
Tiomnadh Nuadh	Новый Завет
Cuthag	Обыкновенная кукушка
Mial-theanga	Cymothoa exigua
Arthur Balfour	Бальфур, Артур
Edwin Mattison McMillan	Макмиллан, Эдвин Маттисон
2010an	2010-е годы
Mario J. Molina	Молина, Марио
Samuel Huntington	Хантингтон, Сэмюэл Филлипс
Chaf	Каф (буква еврейского алфавита)
Lamedh	Ламед
Nun (litir)	Нун (буква еврейского алфавита)
Ayin	Аин (буква еврейского алфавита)
Tsade	Цади
Resh	Реш (буква еврейского алфавита)
Shin	Шин (буква еврейского алфавита)
George Bernard Shaw	Шоу, Джордж Бернард
Tìr-mòr na Sìne	Континентальный Китай
1001	1001 год
1002	1002 год
1003	1003 год
1005	1005 год
1006	1006 год
1007	1007 год
1008	1008 год
1009	1009 год
1010	1010 год
1011	1011 год
1012	1012 год
1013	1013 год
1014	1014 год
1015	1015 год
1016	1016 год
1017	1017 год
1018	1018 год
1019	1019 год
1020	1020 год
1021	1021 год
1022	1022 год
1023	1023 год
1024	1024 год
1025	1025 год
1026	1026 год
1027	1027 год
1028	1028 год
1029	1029 год
1030	1030 год
1031	1031 год
1032	1032 год
1033	1033 год
1034	1034 год
1035	1035 год
1036	1036 год
1037	1037 год
1038	1038 год
1039	1039 год
1040	1040 год
1041	1041 год
1042	1042 год
1043	1043 год
1044	1044 год
1045	1045 год
1046	1046 год
1047	1047 год
1048	1048 год
1049	1049 год
1050	1050 год
1051	1051 год
1052	1052 год
1053	1053 год
1054	1054 год
1055	1055 год
1056	1056 год
1057	1057 год
1058	1058 год
1059	1059 год
1060	1060 год
1061	1061 год
1062	1062 год
1063	1063 год
1064	1064 год
1065	1065 год
1066	1066 год
Pelican	Пеликаны
1067	1067 год
1068	1068 год
1069	1069 год
1070	1070 год
1071	1071 год
1072	1072 год
1073	1073 год
1074	1074 год
1075	1075 год
1076	1076 год
1077	1077 год
1078	1078 год
1079	1079 год
1080	1080 год
1081	1081 год
1082	1082 год
1083	1083 год
1084	1084 год
1085	1085 год
1086	1086 год
1087	1087 год
1088	1088 год
1089	1089 год
1090	1090 год
1091	1091 год
1092	1092 год
1093	1093 год
1094	1094 год
1095	1095 год
1096	1096 год
1097	1097 год
1098	1098 год
1099	1099 год
1106	1106 год
1107	1107 год
1108	1108 год
1109	1109 год
1110	1110 год
Podolsk	Подольск
1111	1111 год
1112	1112 год
1113	1113 год
1114	1114 год
1115	1115 год
1116	1116 год
1117	1117 год
1118	1118 год
1119	1119 год
1120	1120 год
Pàpa	Папство
1130	1130 год
1131	1131 год
Rafael Correa	Корреа, Рафаэль
1132	1132 год
1133	1133 год
1134	1134 год
C.B. Celtic	Селтик
1135	1135 год
C.B. Rangers	Рейнджерс (футбольный клуб)
1136	1136 год
1137	1137 год
1138	1138 год
1139	1139 год
5	5 год
1140	1140 год
1141	1141 год
1142	1142 год
1143	1143 год
1144	1144 год
4	4 год
1145	1145 год
1146	1146 год
1147	1147 год
1148	1148 год
3	3 год
1149	1149 год
1150	1150 год
1151	1151 год
1152	1152 год
1153	1153 год
2	2 год
1154	1154 год
1155	1155 год
1156	1156 год
1157	1157 год
1158	1158 год
1159	1159 год
Bucharest	Бухарест
1160	1160 год
1161	1161 год
1162	1162 год
1163	1163 год
1164	1164 год
Louvre	Лувр
1165	1165 год
1166	1166 год
1167	1167 год
1168	1168 год
1169	1169 год
1170	1170 год
Buidheann neo-eisimeileachd na Porto Riko	Партия независимости Пуэрто-Рико
1171	1171 год
1172	1172 год
1173	1173 год
Tirana	Тирана
1174	1174 год
1175	1175 год
1176	1176 год
1177	1177 год
1178	1178 год
Motörhead	Motörhead
1179	1179 год
1180	1180 год
1181	1181 год
Asal	Домашний осёл
1182	1182 год
1928	1928 год
Tatha	Тей (река)
Spè	Спей (река)
Abhainn Chluaidh	Клайд (река)
1183	1183 год
1184	1184 год
1185	1185 год
1186	1186 год
1187	1187 год
1188	1188 год
1189	1189 год
1190	1190 год
1191	1191 год
1192	1192 год
1193	1193 год
1194	1194 год
1195	1195 год
1196	1196 год
1197	1197 год
1198	1198 год
1199	1199 год
6	6 год
Seann Tiomnadh	Ветхий Завет
Josh Duhamel	Дюамель, Джош
Nollaig	Рождество Христово
Cànanan Ròmanach	Романские языки
Bliadhna-leum	Високосный год
Steve Jobs	Джобс, Стив
Lady Gaga	Леди Гага
Cànanan Innd-Eòrpach	Индоевропейские языки
Breinigerberg	Брайнигерберг
Muammar al-Gaddafi	Каддафи, Муаммар
Tìgear	Тигр
Rìgh Juan Carlos I na Spàinne	Хуан Карлос I
Francesco Totti	Тотти, Франческо
Bonnach-uighe	Омлет
Àrd-Dhiùcachd Hesse	Великое герцогство Гессен
Mirow	Миров
Feldberger Seenlandschaft	Фельдбергер-Зеенландшафт
Neustrelitz	Нойштрелиц
Eideard VII	Эдуард VII
Lugaidh	Морской пескожил
Spitzbergen	Западный Шпицберген
Fredericia	Фредерисия
Lochlann	Скандинавия
A' Chàisg	Пасха
Chişinău	Кишинёв
Cànain Ghearmaineach	Германские языки
Eòlas-comainn	Социология
Şalom	Şalom
Aibidil Eadar-nàiseanta Fogharach	Международный фонетический алфавит
Oilthigh Phrinceton	Принстонский университет
Echidna	Ехидновые
Opossum	Опоссумовые
Taidh-Bhàn (eilean)	Тайвань
Aurora, Illinois	Орора (Иллинойс)
New York	Нью-Йорк (значения)
Cruadhtan	Бетон
Co-chomharran an Domhain	Географические координаты
Bròg	Лёгкая обувь
Donald Trump	Трамп, Дональд
Banca	Банк
Pàirce	Парк
Dùmhlachd-sluaigh	Плотность населения
Èirinn	Ирландия (остров)
Abertawe	Суонси
Sneek	Снек
1	1 год
A’ Chòrn	Корнуолл
Bristol	Бристоль
Wombat	Вомбаты
10	10 год
Nashville, Tennessee	Нашвилл
20	20 год
Spinazzola	Спинаццола
30	30 год
40	40 год
9	9 год
7	7 год
8	8 год
Taylor Lautner	Лотнер, Тэйлор
Jeremy Renner	Реннер, Джереми
12	12 год
Seòl-mara	Прилив и отлив
Fiadh	Оленевые
Dèigh	Лёд
Ùrnaigh an Tighearna	Отче наш
Loch-uisge	Озеро
Musée d'Orsay	Музей Орсе
Corp-eòlas	Антропология
930	930 год
13	13 год
985	985 год
1122	1122 год
981	981 год
939	939 год
Ulan Bator	Улан-Батор
Ernest Hemingway	Хемингуэй, Эрнест
Dùn Èideann	Эдинбург
Ashgabat	Ашхабад
51	51 год
Eilean	Остров
814	814 год
678	678 год
950	950 год
679	679 год
996	996 год
680	680 год
37	37 год
980	980 год
900	900 год
1129	1129 год
Chris Pine	Пайн, Крис
843	843 год
Lordi	Lordi
690	690 год
691	691 год
988	988 год
692	692 год
476	476 год
693	693 год
Marseille	Марсель
694	694 год
695	695 год
Uinnean	Лук репчатый
696	696 год
697	697 год
698	698 год
Cànan Oifigeil	Официальный язык
699	699 год
700	700 год
Moshchena	Мощёная
701	701 год
702	702 год
Àrc-eòlas	Археология
703	703 год
Tomàto	Томат
704	704 год
705	705 год
George H. W. Bush	Буш, Джордж Герберт Уокер
706	706 год
68	68 год
89	89 год
707	707 год
708	708 год
709	709 год
11	11 год
710	710 год
711	711 год
Paltoga	Палтога
712	712 год
Na Balcain	Балканский полуостров
713	713 год
714	714 год
Cànanan Slàbhach	Славянские языки
715	715 год
Dmitry Medvedev	Медведев, Дмитрий Анатольевич
716	716 год
717	717 год
718	718 год
Entrena	Энтрена
719	719 год
720	720 год
Pròsdanachas	Протестантизм
721	721 год
722	722 год
723	723 год
NASA	НАСА
724	724 год
725	725 год
726	726 год
Atlanta	Атланта
727	727 год
Benito Mussolini	Муссолини, Бенито
728	728 год
729	729 год
963	963 год
730	730 год
Podgorica	Подгорица
731	731 год
Lost	Остаться в живых (телесериал)
962	962 год
732	732 год
733	733 год
997	997 год
734	734 год
972	972 год
735	735 год
955	955 год
901	901 год
736	736 год
737	737 год
936	936 год
738	738 год
953	953 год
902	902 год
739	739 год
15	15 год
740	740 год
14	14 год
741	741 год
742	742 год
17	17 год
743	743 год
958	958 год
744	744 год
500	500 год
745	745 год
150	150 год
746	746 год
880	880 год
747	747 год
748	748 год
749	749 год
Na Sopranos	Клан Сопрано
870	870 год
903	903 год
750	750 год
HBO	HBO
751	751 год
Bermuda	Бермудские Острова
752	752 год
Ceann	Голова
753	753 год
987	987 год
754	754 год
965	965 год
755	755 год
924	924 год
951	951 год
932	932 год
Wellington, Sealainn Nuadh	Веллингтон
Breatainn Mhòr	Великобритания (остров)
23	23 год
800	800 год
Jimmy Carter	Картер, Джимми
120	120 год
Laoidh Nàiseanta	Государственный гимн
42	42 год
967	967 год
989	989 год
960	960 год
969	969 год
957	957 год
1124	1124 год
971	971 год
937	937 год
992	992 год
990	990 год
899	899 год
975	975 год
942	942 год
966	966 год
1128	1128 год
959	959 год
973	973 год
18	18 год
19	19 год
16	16 год
21	21 год
26	26 год
41	41 год
32	32 год
33	33 год
982	982 год
974	974 год
976	976 год
979	979 год
986	986 год
Dath nan sùilean	Цвет глаз
919	919 год
998	998 год
995	995 год
977	977 год
1125	1125 год
Valletta	Валлетта
934	934 год
200	200 год
876	876 год
875	875 год
810	810 год
929	929 год
882	882 год
1127	1127 год
940	940 год
889	889 год
844	844 год
912	912 год
838	838 год
984	984 год
874	874 год
38	38 год
43	43 год
127	127 год
954	954 год
39	39 год
24	24 год
79	79 год
61	61 год
104	104 год
29	29 год
102	102 год
866	866 год
Pàpa Iain XXIII	Иоанн XXIII
839	839 год
622	622 год
918	918 год
100	100 год
Lila Downs	Даунс, Лила
961	961 год
570	570 год
632	632 год
Andrew Garfield	Гарфилд, Эндрю
946	946 год
835	835 год
884	884 год
859	859 год
832	832 год
849	849 год
877	877 год
Sìotà	Гепард
878	878 год
861	861 год
869	869 год
968	968 год
983	983 год
964	964 год
1121	1121 год
1123	1123 год
933	933 год
915	915 год
970	970 год
911	911 год
993	993 год
991	991 год
994	994 год
898	898 год
944	944 год
907	907 год
943	943 год
945	945 год
922	922 год
905	905 год
941	941 год
925	925 год
928	928 год
948	948 год
947	947 год
949	949 год
926	926 год
126	126 год
101	101 год
105	105 год
108	108 год
117	117 год
115	115 год
LaGrange County, Indiana	Лагрейндж (округ, Индиана)
Gual	Ископаемый уголь
22	22 год
46	46 год
25	25 год
153	153 год
156	156 год
31	31 год
825	825 год
George Hamilton-Gordon, 4th Earl of Aberdeen	Абердин, Джордж Гамильтон-Гордон
John Barrowman	Барроумэн, Джон
Vancouver	Ванкувер
Elkhart County, Indiana	Элкхарт (округ, Индиана)
Steuben County, Indiana	Стубен (округ, Индиана)
301	301 год
116	116 год
886	886 год
330	330 год
860	860 год
842	842 год
165	165 год
871	871 год
893	893 год
203	203 год
909	909 год
222	222 год
931	931 год
938	938 год
917	917 год
160	160 год
28	28 год
Poll a' Ghrùthain	Ливерпуль
85	85 год
88	88 год
76	76 год
54	54 год
477	477 год
914	914 год
920	920 год
913	913 год
935	935 год
841	841 год
820	820 год
906	906 год
Bremen	Бремен
916	916 год
885	885 год
Gnìomhair	Глагол
168	168 год
Ficsean-saidheans	Научная фантастика
60	60 год
47	47 год
836	836 год
112	112 год
854	854 год
862	862 год
879	879 год
887	887 год
770	770 год
817	817 год
864	864 год
863	863 год
868	868 год
855	855 год
818	818 год
837	837 год
845	845 год
Wangerooge	Вангероге
166	166 год
Punnd Sasannach	Фунт стерлингов
Guernsey	Гернси
Svalbard	Шпицберген
Lon dubh	Чёрный дрозд
Uair	Час
Peasair	Горох посевной
Beith	Берёза
2016	2016 год
Nowy Dwór Królewski	Новый-Двор-Кролевский
Fàrothais	Фарерский язык
Sgoil-aimsir	Метеорология
552	552 год
Joule	Джоуль
Corra-ghritheach	Серая цапля
2019	2019 год
Hispaniola	Гаити (остров)
Harrisburg, Pennsylvania	Гаррисберг
Da Lat	Далат
Uppsala	Уппсала
Göteborg	Гётеборг
Còrnais	Корнский язык
2017	2017 год
2018	2018 год
Cànanan Ceilteach	Кельтские языки
6mh linn RC	VI век до н. э.
1ad linn RC	I век до н. э.
2na linn RC	II век до н. э.
Washington	Вашингтон
Pioghaid	Сорока
Neas bheag	Ласка
Comhachag	Обыкновенная сипуха
Aarhus	Орхус
3mh linn RC	III век до н. э.
Brù-dhearg	Зарянка
4mh linn RC	IV век до н. э.
Pocanach	Сумчатые
2020	2020 год
5mh linn RC	V век до н. э.
7mh linn RC	VII век до н. э.
Cumhachd	Мощность
Neas mhòr	Горностай
8mh linn RC	VIII век до н. э.
Tunnag fhiadhaich	Кряква
Theodor Mommsen	Моммзен, Теодор
Fitheach	Ворон
Meanbh-bheò	Планктон
Dràma	Драма (род литературы)
Atlantis	Атлантида
Breacan-beithe	Зяблик
Leeuwarden	Леуварден
Curracag	Чибис
Cadhag	Галка
Breac an t-sìl	Белая трясогузка
Faidhbhile	Бук
Helsingborg	Хельсингборг
Deargan-fraoich	Черноголовый щегол
9mh linn RC	IX век до н. э.
10mh linn RC	X век до н. э.
Gobhlan-gaoithe	Деревенская ласточка
Sgarbh	Большой баклан
Sòrbais	Лужицкие языки
Funchal	Фуншал
Mölnlycke	Мёльнлюкке
Bovidae	Полорогие
Sjælland	Зеландия (остров)
600	600 год
St. Gallen	Санкт-Галлен
400	400 год
300	300 год
Aiseag	Паром
Aiteann	Можжевельник
1mh mìle-bliadhna RC	1-е тысячелетие до н. э.
Dreathan donn	Крапивник
Kaikoura District	Каикоура
2 mìle-bliadhna	2-е тысячелетие
1 mìle-bliadhna	1-е тысячелетие
Rutland, Vermont	Ратленд (Вермонт)
Antalop	Антилопы
Longyearbyen	Лонгйир
Uiseag	Полевой жаворонок
Hermann Hesse	Гессе, Герман
Cogadh 1812	Англо-американская война
South Burlington, Vermont	Саут-Берлингтон
Coileach-coille	Вальдшнеп
Växjö	Векшё
Neòinean	Маргаритка многолетняя
Buidheag-bhealaidh	Обыкновенная овсянка
3mh mìle-bliadhna	3-е тысячелетие
Esbjerg	Эсбьерг
Madeira	Мадейра
2 mìle-bliadhna RC	2-е тысячелетие до н. э.
Oilthigh Niccolò Cusano	Университет Николая Кузанского
Donnchadh I na h-Alba	Дункан I
Smeòrach	Певчий дрозд
Dordrecht	Дордрехт
Montpelier, Vermont	Монтпилиер (Вермонт)
Tilburg	Тилбург
1040an	1040-е годы
Tyler County, Texas	Тайлер (округ, Техас)
Hidalgo County, Texas	Идальго (округ, Техас)
Kimble County, Texas	Кимбл (округ, Техас)
Kleberg County, Texas	Клеберг (округ, Техас)
Kerr County, Texas	Керр (округ, Техас)
Saideal fuadain	Искусственный спутник Земли
Yak	Як
Cam-ghob	Клёст-еловик
Duchesne County, Utah	Дюшен (округ, Юта)
Brooks County, Texas	Брукс (округ, Техас)
Galveston County, Texas	Галвестон (округ)
