Hui-chiu	Африка
Hoé-chheⁿ	Марс
Kenya	Кения
Ityop'iya	Эфиопия
Kun-chú	Монарх
Ghana	Гана
4 goe̍h	Апрель
5 goe̍h	Май
6 goe̍h	Июнь
7 goe̍h	Июль
8 goe̍h	Август
9 goe̍h	Сентябрь
10 goe̍h	Октябрь
11 goe̍h	Ноябрь
12 goe̍h	Декабрь
Lé-pài-jī	Вторник
Lé-pài-saⁿ	Среда
Lé-pài-sì	Четверг
Lé-pài-gō͘	Пятница
Lé-pài-la̍k	Суббота
Lé-pài-ji̍t	Воскресенье
Sai	Лев
Hoat-kok	Франция
Sè-kài-gí	Эсперанто
Káu	Собака
Liân-ha̍p Ông-kok	Великобритания
Niau	Кошка
Tiong-hoâ Jîn-bîn Kiōng-hô-kok	Китайская Народная Республика
Hoat-gí	Французский язык
Wiktionary	Викисловарь
Hî	Рыбы
It-sûn	Этанол
Chiú	Алкогольные напитки
Pa-se	Бразилия
Lō͘-se-a	Россия
Cetacea	Китообразные
Chhian-ûi	Текстильные волокна
Hái	Море
O͘-hái	Чёрное море
Îⁿ-chiu-lu̍t	Пи (число)
Wiki	Вики
Toronto	Торонто
Alabama	Алабама
São Paulo	Сан-Паулу
São Paulo (chiu)	Сан-Паулу (штат)
Québec	Квебек
Pizza	Пицца
Pasta	Макаронные изделия
Wikimedia	Фонд Викимедиа
Tek-kok	Германия
Pe̍h-Lō͘-se-a	Белоруссия
Tek-gí	Немецкий язык
Peng-tē	Исландия
Siōng-tè	Бог
Eesti	Эстония
David Cameron	Кэмерон, Дэвид
Thó͘-chheⁿ	Сатурн
Thó͘-chheⁿ khoân	Кольца Сатурна
Chi-ku-la̍t	Шоколад
Hui-hêng-ki	Самолёт
Chiàn-cheng	Война
1	1 (число)
2	2 (число)
3	3 (число)
4	4 (число)
5	5 (число)
Bû-hān	Бесконечность
George W. Bush	Буш, Джордж Уокер
Latvia	Латвия
Ukrayina	Украина
Česko	Чехия
Slovensko	Словакия
Slovenia	Словения
Vilnius	Вильнюс
Moldova	Молдавия
România	Румыния
Bulgariya	Болгария
Lô-má	Рим
Makedonija Kiōng-hô-kok	Республика Македония
Shqipëria	Албания
Chheⁿ-tē	Гренландия (административная единица)
Hrvatska	Хорватия
Bosna kap Hercegovina	Босния и Герцеговина
Azerbaijan	Азербайджан
Andorra	Андорра
Ku-pí-lō͘	Республика Кипр
Sakartvelo	Грузия
Wallonie	Валлония
Kazakhstan	Казахстан
Malta	Мальта
Monaco	Монако
O͘-soaⁿ Kiōng-hô-kok	Черногория
Vaticano	Ватикан
San Marino	Сан-Марино
Brussels	Брюссельский столичный регион
Cuba	Куба
Belize	Белиз
Eiffel Thah	Эйфелева башня
Barbados	Барбадос
Volkswagen	Volkswagen
Java (thêng-sek gí-giân)	Java
Ìn-nî	Индонезия
Wolfgang Amadeus Mozart	Моцарт, Вольфганг Амадей
Ludwig van Beethoven	Бетховен, Людвиг ван
Türkiye-gí	Турецкий язык
Lâm-hui-kok	Южно-Африканская Республика
Algeria	Алжир
Uzbekistan	Узбекистан
Tashkent	Ташкент
Warszawa	Варшава
Phô-tô-chiú	Вино
Chúi	Вода
Chhâ	Древесина
Tiān-sī	Телевидение
Peng-tē-gí	Исландский язык
Claude Monet	Моне, Клод
Diego Velázquez	Веласкес, Диего
Chile	Чили
El Greco	Эль Греко
Iâ-so͘	Иисус Христос
Galileo Galilei	Галилей, Галилео
Chúi-chheⁿ	Меркурий
Le̍k-sú	История
Phōng-kó Kong-si	Apple
Kim-chheⁿ	Венера
Gí-giân	Язык
To̍k-chhâi	Диктатура
Gîn-hô	Галактика
Bo̍k-chheⁿ	Юпитер
Michelle Bachelet	Бачелет, Мишель
Gîn-hô-hē	Млечный Путь
Llanfair­pwllgwyngyll­gogerychwyrndrobwll­llantysiliogogogoch	Лланвайр-Пуллгвингилл
Toā-phek-le̍k	Большой взрыв
Thiⁿ-ông-chheⁿ	Уран (планета)
Eng-gí Wikipedia	Английская Википедия
Nicolas Sarkozy	Саркози, Николя
Hái-ông-chheⁿ	Нептун
Thian-bûn-ha̍k	Астрономия
Sin-ka-pho	Сингапур
Kho-ha̍k	Наука
Mê-ông-chheⁿ	Плутон
Montréal	Монреаль
Chū-iû nńg-thé	Свободное программное обеспечение
Liechtenstein	Лихтенштейн
Adolf Hitler	Гитлер, Адольф
Facebook	Facebook
Tē-it-chhù Sè-kài Tāi-chiàn	Первая мировая война
Tē-jī-chhù Sè-kài Tāi-chiàn	Вторая мировая война
Köln	Кёльн
Augusto Pinochet	Пиночет, Аугусто
Wikiquote	Викицитатник
Ubuntu	Ubuntu
Skopje	Скопье
Linux	Linux
Bob Dylan	Боб Дилан
Sò͘-ha̍k	Математика
Latin-gí	Латинский язык
Bahrain	Бахрейн
Hayastan	Армения
Srbija	Сербия
Go̍eh-niû	Луна
İstanbul	Стамбул
Australia	Австралия
Bu̍t-lí-ha̍k	Физика
Argentina	Аргентина
Perú	Перу
Seng-bu̍t-ha̍k	Биология
Tiâu-sián Bîn-chú-chú-gī Jîn-bîn Kiōng-hô-kok	Корейская Народно-Демократическая Республика
Kampuchea	Камбоджа
Kuiper-toà	Пояс Койпера
Qur'ān	Коран
Khióng-liông	Динозавры
Tōng-bu̍t-ha̍k	Зоология
I-su-lân-kàu	Ислам
Lâi-á	Груша
Ljubljana	Любляна
Salvador Allende	Альенде, Сальвадор
Si̍t-bu̍t-ha̍k	Ботаника
Lech Wałęsa	Валенса, Лех
Sim	Ум
Hô-pêng	Мир (отсутствие войны)
Encyclopædia Britannica	Энциклопедия Британника
Lyon	Лион
Europa Liân-bêng	Европейский союз
Seng-kiû Tāi-chiàn	Звёздные войны
Rhône-Alpes	Рона — Альпы
Cha-bó͘	Женщина
Sofia	София
Don Quixote	Дон Кихот (роман)
Si	Поэзия
Milano	Милан
Kì-ek	Память
Torino	Турин
Lê-bóng	Лимон
Charles Baudelaire	Бодлер, Шарль
Kin-chio	Банан
Émile Zola	Золя, Эмиль
Hoe	Цветок
Mariana Hái-kau	Марианский жёлоб
Chomolangma Hong	Джомолунгма
Kái-phò-ha̍k	Анатомия
Siâⁿ-chhī	Город
Napoléon 1-sè	Наполеон I
Chheⁿ	Звезда
Ji̍t-thâu	Солнце
Louis Pasteur	Пастер, Луи
Kng-nî	Световой год
Victor Hugo	Гюго, Виктор
Tāi-iûⁿ-chiu	Океания
Thài-iông-hē	Солнечная система
Pe̍h-hái	Балтийское море
Champs-Élysées	Елисейские Поля
Chúi-sò͘	Водород
He (goân-sò͘)	Гелий
Chhùi-khí	Зубы человека
Angela Merkel	Меркель, Ангела
Lî-sò͘	Литий
Beryllium	Бериллий
Chheh	Книга
Kang	Сутки
Tang Timor	Восточный Тимор
Nî	Год
Sè-kí	Век
Rhein Hô	Рейн
Oslo	Осло
Bonn	Бонн
Katowice	Катовице
O͘-khang	Чёрная дыра
Ceres (é-he̍k-chheⁿ)	Церера
Lisboa	Лиссабон
Michael Bloomberg	Блумберг, Майкл Рубенс
Eris (é-he̍k-chheⁿ)	Эрида
Dubai	Дубай (эмират)
Nicolaus Copernicus	Коперник, Николай
Thoàⁿ-sò͘	Углерод
Chit-sò͘	Азот
Sng-sò͘	Кислород
He̍k-chheⁿ	Планета
Kleopatra 7-sè	Клеопатра
Im-ga̍k	Музыка
Venezia	Венеция
Bo̍k-su-kho	Москва
Hut-sò͘	Фтор
Italia-gí	Итальянский язык
Ne (goân-sò͘)	Неон
Sèng Peterburg	Санкт-Петербург
Tchad	Чад
Na (goân-sò͘)	Натрий
Magnesium	Магний
A-lú-mih	Алюминий
Sin Jia̍t-lân-jia	Новая Зеландия
Ìn-tō͘	Индия
Si-lí-khóng	Кремний
Tuvalu	Тувалу
Thih	Железо
Tonga	Тонга
Alessandro Volta	Вольта, Алессандро
Liû-hông	Сера
Samoa	Самоа
Só͘-lô-bûn Kûn-tó	Соломоновы Острова
Vanuatu	Вануату
Molière	Мольер
Iâm-sò͘	Хлор
Papua Sin Guinea	Папуа — Новая Гвинея
William Shakespeare	Шекспир, Уильям
Lâm Hô-lân	Южная Голландия
Palau	Палау
Argon	Аргон
Nauru	Науру
Mozilla Firefox	Mozilla Firefox
Gín-á-kó͘	Сказка
Pak Hô-lân	Северная Голландия
Micronesia Liân-pang-kok	Федеративные Штаты Микронезии
Kah-sò͘	Калий
Ca (goân-sò͘)	Кальций
Iân	Свинец
Marshall Kûn-tó	Маршалловы Острова
Kiribati	Кирибати
Bông-kó͘	Монголия
Fiji	Фиджи
Heilbronn	Хайльбронн
Venezuela	Венесуэла
Kok-chè bú-kî	Шахматы
Chinggis Khaan	Чингисхан
Maine	Мэн (штат)
Bé	Домашняя лошадь
Amsterdam	Амстердам
Tōng-bu̍t	Животные
Suriname	Суринам
Paraguay	Парагвай
Guyana	Гайана
Gē-su̍t	Искусство
Ecuador	Эквадор
Colombia	Колумбия
Chhì-pho	Земляника
Hu̍t-kàu	Буддизм
Bolivia	Боливия
Tâng	Медь
Trinidad kap Tobago	Тринидад и Тобаго
Si̍t-bu̍t	Растения
Sèng Vincent kap Grenadines	Сент-Винсент и Гренадины
A-iân	Цинк
New Hampshire	Нью-Гэмпшир
Sèng Lucia	Сент-Люсия
Leonardo da Vinci	Леонардо да Винчи
Sèng Kitts kap Nevis	Сент-Китс и Невис
Chin-khún	Грибы
Jamaica	Ямайка
Grenada	Гренада
Massachusetts	Массачусетс
Guatemala	Гватемала
Bahamas	Багамские Острова
Connecticut	Коннектикут
Ke	Курица
Antigua kap Barbuda	Антигуа и Барбуда
Hawaiʻi	Гавайи
Honduras	Гондурас
Dominica	Доминика
Jersey	Джерси (остров)
Dominic Kiōng-hô-kok	Доминиканская Республика
Ti	Домашняя свинья
Pak-ke̍k-iûⁿ	Северный Ледовитый океан
Haiti	Республика Гаити
El Salvador	Сальвадор
Iran	Иран
Iraq	Ирак
Alaska	Аляска
Costa Rica	Коста-Рика
Í-sek-lia̍t-kok	Израиль
Panamá	Панама
Yemen	Йемен
Lausanne	Лозанна
Pēⁿ-to̍k	Вирусы
Iok-tàn	Иордания
Nicaragua	Никарагуа
Florida	Флорида
Kyrgyzstan	Киргизия
Arizona	Аризона
Kuwait	Кувейт
Lao-kok	Лаос
Lī-pa-lùn	Ливан
Oregon	Орегон
Maldives	Мальдивы
Bí-chiu	Америка
Utah	Юта
Má-lâi-se-a	Малайзия
Valais Chiu	Вале (кантон)
Myanma	Мьянма
Nepal	Непал
Oman	Оман
Pakistan	Пакистан
Qatar	Катар
The-ní-suh	Теннис
Saud ê A-la-pek	Саудовская Аравия
Sri Lanka	Шри-Ланка
Iosif Stalin	Сталин, Иосиф Виссарионович
Su-lī-a	Сирия
Platon	Платон
Tajikistan	Таджикистан
Tiong-hoâ Bîn-kok	Китайская Республика
YouTube	YouTube
Germanium	Германий
Aristotélēs	Аристотель
Thài-kok	Таиланд
Phi-sò͘	Мышьяк
La-jí-oh	Радио
Meryl Streep	Стрип, Мерил
Turkmenistan	Туркмения
A-la-pek Liân-ha̍p Thâu-lâng-kok	Объединённые Арабские Эмираты
Chhàu-sò͘	Бром
Pe̍h-kim	Платина
Oa̍t-lâm	Вьетнам
Charlie Chaplin	Чаплин, Чарльз
Tāi-hân Bîn-kok	Республика Корея
Afghanistan	Афганистан
Gangnam Style	Gangnam Style
J. R. R. Tolkien	Толкин, Джон Рональд Руэл
Kim	Золото
Suez Ūn-hô	Суэцкий канал
Bangladesh	Бангладеш
Franz Kafka	Кафка, Франц
Mali	Мали
Sokrates	Сократ
Angola	Ангола
Bhutan	Бутан
Twitter	Твиттер
Brunei	Бруней
Tanzania	Танзания
Chúi-gîn	Ртуть
Roald Amundsen	Амундсен, Руаль
Hui-li̍p-pin	Филиппины
Tiong-hui Kiōng-hô-kok	Центральноафриканская Республика
Lâm-ke̍k	Южный полюс
Pak-ke̍k	Северный полюс
Isaac Newton	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
N̂g-sek	Жёлтый цвет
Liōng-chú la̍t-ha̍k	Квантовая механика
Togo	Того
Tunisia	Тунис
Zambia	Замбия
Zimbabwe	Зимбабве
Pak-kiaⁿ-chhī	Пекин
Lâm Sudan	Южный Судан
Bénin	Бенин
Botswana	Ботсвана
Burkina Faso	Буркина-Фасо
Burundi	Бурунди
Komor	Коморы
Congo Kiōng-hô-kok	Республика Конго
Congo Bîn-chú Kiōng-hô-kok	Демократическая Республика Конго
San Antonio	Сан-Антонио
Djibouti	Джибути
Bayern	Бавария
Chhiah-tō Guinea	Экваториальная Гвинея
Baden-Württemberg	Баден-Вюртемберг
Eritrea	Эритрея
Sin Delhi	Нью-Дели
Jio̍k-bōng Pó-lo̍k II	Иоанн Павел II
Fyodor Dostoevsky	Достоевский, Фёдор Михайлович
Tbilisi	Тбилиси
Gabon	Габон
Gân-tì	Махатма Ганди
Ang-á-oē	Комикс
Gambia	Гамбия
Guinée	Гвинея
Guiné-Bissau	Гвинея-Бисау
Côte d'Ivoire	Кот-д’Ивуар
Cameroon	Камерун
Chheⁿ-kak Kiōng-hô-kok	Кабо-Верде
Lesotho	Лесото
Liberia	Либерия
Libya	Ливия
Aachen	Ахен
Madagasikara	Мадагаскар
Malaŵi	Малави
Stuttgart	Штутгарт
Mauritania	Мавритания
Mauritius	Маврикий
Morocco	Марокко
Moçambique	Мозамбик
Namibia	Намибия
Niger	Нигер
Nigeria	Нигерия
Biel/Bienne	Биль (город)
Charles Darwin	Дарвин, Чарлз
Uganda	Уганда
Rwanda	Руанда
Zirconium	Цирконий
Sèng Tomé kap Príncipe	Сан-Томе и Принсипи
Karlsruhe	Карлсруэ
Senegal	Сенегал
Sesel	Сейшельские Острова
Carolus Linnaeus	Линней, Карл
Sierra Leone	Сьерра-Леоне
Somalia	Сомали
Julius Caesar	Гай Юлий Цезарь
Sudan	Судан
Swazi-tē	Свазиленд
Khēng	Радуга
Hamburg	Гамбург
Tāi-siā	Обмен веществ
Gujarat	Гуджарат
Ián-hoà	Эволюция
Liân-ha̍p-kok	Организация Объединённых Наций
Superior Ô͘	Верхнее (озеро)
Dante Alighieri	Данте Алигьери
Tē-chit-ha̍k	Геология
Tē-lí-ha̍k	География
Sim-chōng	Сердце
Náu	Головной мозг
Phoê-hu	Кожа
Bêng-sû	Имя существительное
Praha	Прага
Nâ-sek	Синий цвет
Gîn	Серебро
Star Trek	Звёздный путь
Siah	Олово
Antimon	Сурьма
Ak-sò͘	Иод
He̍k-chheⁿ Liân-pang	Объединённая федерация планет
Tiān-hô	Электрический заряд
Bill Clinton	Клинтон, Билл
Lorraine	Лотарингия
Alsace	Эльзас
Hector Berlioz	Берлиоз, Гектор
Auvergne	Овернь
Mumbai	Мумбаи
Andhra Pradesh	Андхра-Прадеш
Arunachal Pradesh	Аруначал-Прадеш
Assam	Ассам
Bihar	Бихар
Michigan	Мичиган
Chhattisgarh	Чхаттисгарх
Michigan Ô͘	Мичиган (озеро)
Goa	Гоа
Bourgogne	Бургундия
Haryana	Харьяна
Himachal Pradesh	Химачал-Прадеш
Aquitaine	Аквитания (регион)
Jammu kap Kashmir	Джамму и Кашмир
Puerto Rico	Пуэрто-Рико
Jharkhand	Джаркханд
Karnataka	Карнатака
Kerala	Керала
Madhya Pradesh	Мадхья-Прадеш
Limousin	Лимузен (регион)
Maharashtra	Махараштра
Manipur	Манипур
Schleswig-Holstein	Шлезвиг-Гольштейн
Meghalaya	Мегхалая
Mecklenburg-Vorpommern	Мекленбург-Передняя Померания
Niedersachsen	Нижняя Саксония
Nordrhein-Westfalen	Северный Рейн-Вестфалия
Hessen	Гессен
Rheinland-Pfalz	Рейнланд-Пфальц
Saarland	Саар
Sachsen	Саксония (земля)
John Lennon	Леннон, Джон
Illinois	Иллинойс
Thüringen	Тюрингия
Sachsen-Anhalt	Саксония-Анхальт
North Dakota	Северная Дакота
Brandenburg	Бранденбург
Bremen (chiu)	Бремен (земля)
Lombardia	Ломбардия
South Dakota	Южная Дакота
Montana	Монтана
Wyoming	Вайоминг
Piemonte	Пьемонт
Iâ-lō͘-sat-léng	Иерусалим
Giorgio Napolitano	Наполитано, Джорджо
Idaho	Айдахо
Valle d'Aosta	Валле-д’Аоста
Washington	Вашингтон (штат)
Nevada	Невада
Trentino-Alto Adige	Трентино — Альто-Адидже
Ìn-tō͘-iûⁿ	Индийский океан
Veneto	Венето
Kosovo	Республика Косово
Carib-hái	Карибское море
Friuli-Venezia Giulia	Фриули-Венеция-Джулия
Phoaⁿ Ki-bûn	Пан Ги Мун
Kofi Annan	Аннан, Кофи
Liguria	Лигурия
Colorado	Колорадо
Emilia-Romagna	Эмилия-Романья
Toscana	Тоскана
Marche	Марке
Umbria	Умбрия
Lūi-pia̍t:Ki-chân	Категория:Всё
Lazio	Лацио
Abruzzo	Абруццо
Alpes	Альпы
Blaise Pascal	Паскаль, Блез
Dortmund	Дортмунд
Chicago	Чикаго
The Beatles	The Beatles
Saddam Hussein	Саддам Хусейн
Osama bin Laden	Усама бен Ладен
Se-pan-gâ-gí	Испанский язык
Friedrich August von Hayek	Хайек, Фридрих Август фон
Montevideo	Монтевидео
Johann Sebastian Bach	Бах, Иоганн Себастьян
Antonio Vivaldi	Вивальди, Антонио
Pittsburgh	Питтсбург
Koa-kio̍k	Опера
Philadelphia	Филадельфия
Delhi	Дели
Dhaka	Дакка
West Bengal	Западная Бенгалия
Ti-tu	Пауки
Ti-tu-kong	Паукообразные
Chat-kha tōng-bu̍t	Членистоногие
Hyderabad	Хайдарабад (Индия)
Islamabad	Исламабад
Tripura	Трипура
Kóe-chí	Плод
Kâu	Обезьяны
Chîⁿ	Деньги
Virginia	Виргиния
West Virginia	Западная Виргиния
Huron Ô͘	Гурон
New York	Нью-Йорк (штат)
Rhode Island	Род-Айленд
Khun-thiông	Насекомые
Maryland	Мэриленд
Delaware	Делавэр
Lenin	Ленин, Владимир Ильич
Ohio	Огайо
Vergili	Вергилий
Niccolò Machiavelli	Макиавелли, Никколо
Pennsylvania	Пенсильвания
Francesco Petrarca	Франческо Петрарка
Giovanni Boccaccio	Джованни Боккаччо
Luigi Pirandello	Пиранделло, Луиджи
Uetersen	Итерзен
Augustus	Октавиан Август
Microsoft Windows	Windows
New Jersey	Нью-Джерси
Gibraltar	Гибралтар
Suomi-gí	Финский язык
Nero	Нерон
Indiana	Индиана
Nokia	Nokia
Chū-tōng-chhia	Автомобиль
Roger Federer	Федерер, Роджер
Georgia	Джорджия
Zagreb	Загреб
Rajasthan	Раджастхан
Campania	Кампания (Италия)
Texas	Техас
Molise	Молизе
Tamil Nadu	Тамилнад
Puglia	Апулия
Basilicata	Базиликата
North Carolina	Северная Каролина
South Carolina	Южная Каролина
Calabria	Калабрия
Sicilia	Сицилия
Manila	Манила
Sardegna	Сардиния
Ferdinand Marcos	Маркос, Фердинанд
Benigno Aquino 3-sè	Акино, Бенигно III
Maurits Cornelis Escher	Эшер, Мауриц Корнелис
Seine Hô	Сена
Quezon Chhī	Кесон-Сити
Bordeaux	Бордо
Corazon Aquino	Акино, Корасон
Buenos Aires	Буэнос-Айрес
México Chhī	Мехико
Tang-kiaⁿ-to͘	Токио
La Paz	Ла-Пас (Боливия)
Barcelona	Барселона
Ông-lâi	Ананас крупнохохолковый
Mississippi	Миссисипи (штат)
Fernão de Magalhães	Магеллан, Фернан
Uttar Pradesh	Уттар-Прадеш
Uttarakhand	Уттаракханд
Mizoram	Мизорам
Sikkim	Сикким
Tennessee	Теннесси
Richard Wagner	Вагнер, Рихард
Robert Louis Stevenson	Стивенсон, Роберт Льюис
Abidjan	Абиджан
Abu Dhabi	Абу-Даби
Astana	Астана
New Mexico	Нью-Мексико
Athína	Афины
Minnesota	Миннесота
Baghdad	Багдад
Caracas	Каракас
UTC	Всемирное координированное время
Wisconsin	Висконсин
Cyndi Lauper	Лопер, Синди
Iowa	Айова
Nebraska	Небраска
Guatemala Chhī	Гватемала (город)
Kansas	Канзас
La Habana	Гавана
Hindi-gí	Хинди
Marathi-gí	Маратхи (язык)
Missouri	Миссури (штат)
Louisiana	Луизиана
Nagaland	Нагаленд
Kentucky	Кентукки
Arkansas	Арканзас
Neil Armstrong	Армстронг, Нил
Urdu-gí	Урду
Édith Piaf	Пиаф, Эдит
Oklahoma	Оклахома
Donau Hô	Дунай
Pak-hái	Северное море
Kiel	Киль (город)
Schwerin	Шверин
Potsdam	Потсдам
Hannover	Ганновер
Düsseldorf	Дюссельдорф
Mainz	Майнц
Wiesbaden	Висбаден
Saarbrücken	Саарбрюккен
München	Мюнхен
Erfurt	Эрфурт
Dresden	Дрезден
Magdeburg	Магдебург
Innsbruck	Инсбрук
Bregenz	Брегенц
Wien	Вена
Madonna	Мадонна (певица)
Copenhagen	Копенгаген
Stockholm	Стокгольм
Helsinki	Хельсинки
Dublin	Дублин
Reykjavík	Рейкьявик
Tallinn	Таллин
Louis Armstrong	Армстронг, Луи
Bratislava	Братислава
Budapest	Будапешт
Frankfurt am Main	Франкфурт-на-Майне
Thian-bûn tan-ūi	Астрономическая единица
Baguio	Багио
Aceh	Ачех (провинция)
Zinedine Zidane	Зидан, Зинедин
Kong-kàu	Католицизм
Sèng-keng	Библия
Phnom Penh	Пномпень
Hồ Chí Minh Chhī	Хошимин
Hà Nội	Ханой
Chin Iâ-so͘ Kàu-hōe	Церковь истинного Иисуса
Eng-gí	Английский язык
Bangkok	Бангкок
Andorra la Vella	Андорра-ла-Велья
Kuala Lumpur	Куала-Лумпур
Tâi-pak-chhī	Тайбэй
Đồng Hới	Донгхой
Concepción, Chile	Консепсьон (город, Чили)
Goā-kau	Дипломатия
Bengkulu	Бенкулу (провинция)
Einsteinium	Эйнштейний
Kyyiv	Киев
Ontario	Онтарио
Ottawa	Оттава
Manitoba	Манитоба
Alberta	Альберта
Nova Scotia	Новая Шотландия
Końskowola	Коньсковоля
Dar es Salaam	Дар-эс-Салам
Khartoum	Хартум
New Brunswick	Нью-Брансуик
British Columbia	Британская Колумбия
Edward Ông-chú Tó	Остров Принца Эдуарда
2000 nî	2000 год
2003 nî	2003 год
2002 nî	2002 год
2001 nî	2001 год
Saskatchewan	Саскачеван
2012 nî	2012 год
2011 nî	2011 год
2010 nî	2010 год
2009 nî	2009 год
Jī-sng-hoà thoàⁿ-sò͘	Диоксид углерода
2013 nî	2013 год
2014 nî	2014 год
2015 nî	2015 год
Newfoundland kap Labrador	Ньюфаундленд и Лабрадор
2008 nî	2008 год
Sai-pak Léng-thó͘	Северо-Западные территории
Yukon	Юкон (территория)
2004 nî	2004 год
2005 nî	2005 год
2006 nî	2006 год
Nunavut	Нунавут
2007 nî	2007 год
Verona	Верона
Iqaluit	Икалуит
1900 nî	1900 год
1901 nî	1901 год
François Mitterrand	Миттеран, Франсуа
Charles de Gaulle	Де Голль, Шарль
1902 nî	1902 год
Firenze	Флоренция
1903 nî	1903 год
1904 nî	1904 год
1905 nî	1905 год
1907 nî	1907 год
1906 nî	1906 год
1908 nî	1908 год
1909 nî	1909 год
Whitehorse	Уайтхорс
1992 nî	1992 год
Yellowknife	Йеллоунайф
1991 nî	1991 год
1990 nî	1990 год
1993 nî	1993 год
Essen	Эссен
1994 nî	1994 год
1995 nî	1995 год
1996 nî	1996 год
1910 nî	1910 год
1911 nî	1911 год
1912 nî	1912 год
SVG	SVG
Leipzig	Лейпциг
1913 nî	1913 год
St. John's (Newfoundland kap Labrador)	Сент-Джонс (Ньюфаундленд и Лабрадор)
1914 nî	1914 год
1915 nî	1915 год
1916 nî	1916 год
1997 nî	1997 год
1998 nî	1998 год
Nürnberg	Нюрнберг
1999 nî	1999 год
1917 nî	1917 год
1918 nî	1918 год
Chia̍h-mi̍h	Пища
Edmonton	Эдмонтон
Duisburg	Дуйсбург
Choâ	Змеи
Bochum	Бохум
Jacques Chirac	Ширак, Жак
Wuppertal	Вупперталь
Kng-sok	Скорость света
Bielefeld	Билефельд
Mannheim	Мангейм
Regina, Saskatchewan	Реджайна
Charlottetown	Шарлоттаун
Victoria (British Columbia)	Виктория (Британская Колумбия)
Winnipeg	Виннипег
Fredericton	Фредериктон
Pak Sumatera	Северная Суматра
Halifax Tē-khu Chhī	Галифакс (Новая Шотландия)
Québec-chhī	Квебек (город)
1 goe̍h 1 ji̍t	1 января
1 goe̍h 2 ji̍t	2 января
1920 nî	1920 год
1 goe̍h 3 ji̍t	3 января
1919 nî	1919 год
1921 nî	1921 год
1922 nî	1922 год
1 goe̍h 4 ji̍t	4 января
1923 nî	1923 год
Lance Armstrong	Армстронг, Лэнс
1924 nî	1924 год
Riau	Риау
Sió-he̍k-chheⁿ-toà	Пояс астероидов
Georges Pompidou	Помпиду, Жорж
É-he̍k-chheⁿ	Карликовая планета
1 goe̍h 5 ji̍t	5 января
1 goe̍h 6 ji̍t	6 января
Tiān-chú	Электрон
1 goe̍h 7 ji̍t	7 января
1 goe̍h 8 ji̍t	8 января
1 goe̍h 9 ji̍t	9 января
1 goe̍h 10 ji̍t	10 января
1 goe̍h 11 ji̍t	11 января
1 goe̍h 12 ji̍t	12 января
1 goe̍h 13 ji̍t	13 января
Birmingham	Бирмингем
1 goe̍h 14 ji̍t	14 января
1 goe̍h 15 ji̍t	15 января
1 goe̍h 16 ji̍t	16 января
1 goe̍h 17 ji̍t	17 января
1 goe̍h 18 ji̍t	18 января
1 goe̍h 19 ji̍t	19 января
1 goe̍h 20 ji̍t	20 января
Kang-gia̍p Kek-bēng	Промышленная революция
Benzene	Бензол
1 goe̍h 21 ji̍t	21 января
1 goe̍h 22 ji̍t	22 января
1 goe̍h 23 ji̍t	23 января
Lô-má Tè-kok	Римская империя
1 goe̍h 24 ji̍t	24 января
1 goe̍h 25 ji̍t	25 января
Minsk	Минск
1 goe̍h 26 ji̍t	26 января
Microsoft	Microsoft
