अफ्रीका	Африка
बृहस्पतिग्रह	Юпитер
आकाशगङ्गा	Млечный Путь
युरेनस	Уран (планета)
निकोला सार्कोजी	Саркози, Николя
वरुणग्रह	Нептун
खगोलशास्त्र	Астрономия
सिङ्गापुर	Сингапур
विज्ञान	Наука
भविष्य	Будущее
मेरी (यसुकी आमा)	Богородица
खेल	Спорт
एडल्फ हिटलर	Гитлер, Адольф
फेसबुक	Facebook
गूगल+	Google+
विकिलिक्स	WikiLeaks
जुलियन असान्ज	Ассанж, Джулиан
प्रथम विश्वयुद्ध	Первая мировая война
दोस्रो विश्वयुद्ध	Вторая мировая война
भ्रष्टाचार	Коррупция
उबुन्टु	Ubuntu
लिनक्स	Linux
गणित	Математика
लेटिन	Латинский язык
बहराइन	Бахрейн
आर्मेनिया	Армения
जेना जेम्सन	Джеймсон, Дженна
हिग्स बोसोन	Бозон Хиггса
सर्बिया	Сербия
चन्द्रमा	Луна
इस्तानबुल	Стамбул
लिन्डा लभलेस	Лавлейс, Линда
अष्ट्रेलिया	Австралия
बब मार्ली	Марли, Боб
अर्जेन्टिना	Аргентина
पेरू	Перу
जीवशास्त्र	Биология
उत्तर कोरिया	Корейская Народно-Демократическая Республика
कम्बोडिया	Камбоджа
कुरान	Коран
डायनोसर	Динозавры
इस्लाम धर्म	Ислам
हरियो स्याउ	Груша
लेक वालेसा	Валенса, Лех
मन	Ум
शान्ति	Мир (отсутствие войны)
युरोपेली संघ	Европейский союз
महिला	Женщина
कविता	Поэзия
कम्प्युटर भाइरस	Компьютерный вирус
मित्रता	Дружба
मल	Кал
काखी	Подмышка
कागती	Лимон
केरा	Банан
फूल	Цветок
सगरमाथा	Джомолунгма
शहर	Город
नेपोलियन बोनापार्ट	Наполеон I
शरीर क्रिया विज्ञान	Физиология
तारा	Звезда
सूर्य	Солнце
आकाश	Небо
लोइस पास्चर	Пастер, Луи
प्रकाश वर्ष	Световой год
गाउँ	Село
ओशिनिया	Океания
सौर्यमण्डल	Солнечная система
दाँत	Зуб (биология)
हाइड्रोजन	Водород
हीलियम	Гелий
विकिमिडिया कमन्स	Викисклад
एन्जेला मर्केल	Меркель, Ангела
लिथियम	Литий
बेरिलियम	Бериллий
लाउड स्पीकर	Громкоговоритель
पुस्तक	Книга
दिन	Сутки
पूर्वी टिमोर	Восточный Тимор
राती	Ночь
वर्ष	Год
शताब्दी	Век
मोन्ट ब्लाङ्क	Монблан
ओस्लो	Осло
क्याटोभिस	Катовице
ब्ल्याक होल	Чёрная дыра
समलिङ्गी (पुरुष)	Гей
लियोनेल मेस्सी	Месси, Лионель
बोरोन	Бор (элемент)
कार्बन	Углерод
नाइट्रोजन	Азот
प्राणवायु	Кислород
इन्टर मिलान	Интернационале
ग्रह	Планета
क्लियोपेट्रा सातौं	Клеопатра
संगीत	Музыка
भेनिस	Венеция
थर्मामीटर	Термометр
फ्लोरिन	Фтор
नियोन	Неон
सेन्ट पिटर्सवर्ग	Санкт-Петербург
सोडियम	Натрий
उत्तर	Север
म्याग्नेसियम	Магний
एलुमिनियम	Алюминий
न्यु जिल्यान्ड	Новая Зеландия
दक्षिण	Юг
भारत	Индия
सिलिकॉन	Кремний
फोस्फरस	Фосфор
आन्द्रे मैरी एम्पीयर	Ампер, Андре-Мари
फलाम	Железо
पश्चिम	Запад
गन्धक	Сера
पूर्व	Восток
सोलोमन द्वीप	Соломоновы Острова
भानुअटु	Вануату
क्लोरिन	Хлор
विलियम शेक्सपियर	Шекспир, Уильям
और्गन	Аргон
मोजिला फायरफक्स	Mozilla Firefox
पोटाशियम	Калий
क्याल्सियम	Кальций
मङ्गोलिया	Монголия
फिजी	Фиджи
स्काण्डियम	Скандий
टाइटानियम	Титан (элемент)
भेनेजुएला	Венесуэла
बुद्धिचाल	Шахматы
जंगेज खाँ	Чингисхан
वनेडियम	Ванадий
मेन	Мэн (штат)
आम्स्टर्डम	Амстердам
जनावर	Животные
पाराग्वे	Парагвай
गुयना	Гайана
इक्वेडर	Эквадор
कोलम्बिया	Колумбия
बुद्ध धर्म	Буддизм
बोलिभिया	Боливия
अस्मियम	Осмий
तामा	Медь
ट्रिनिडाड र टोबागो	Тринидад и Тобаго
वनस्पति	Растения
न्यू ह्याम्प्सर	Нью-Гэмпшир
लियोनार्दो दा भिञ्ची	Леонардо да Винчи
ढुसी	Грибы
ग्रिनाडा	Гренада
म्यासेचुसेट्स	Массачусетс
ग्वाटेमाला	Гватемала
बहामस	Багамские Острова
कनेक्टिकट	Коннектикут
कुखुरा	Курица
एन्टिगुआ र बर्बुडा	Антигуа и Барбуда
हवाई	Гавайи
होन्डुरस	Гондурас
डोमिनिका	Доминика
जर्सी	Джерси (остров)
डोमिनिकन गणतन्त्र	Доминиканская Республика
आर्कटिक महासागर	Северный Ледовитый океан
हाइटी	Республика Гаити
एल साल्भादोर	Сальвадор
इरान	Иран
ईराक	Ирак
अलास्का	Аляска
कोस्टारिका	Коста-Рика
इजरायल	Израиль
पानामा	Панама
गणतन्त्र यमन	Йемен
विषाणु	Вирусы
जोर्डन	Иордания
निकाराग्वा	Никарагуа
फ्लोरिडा	Флорида
किर्गिजस्तान	Киргизия
एरिजोना	Аризона
कुवेत	Кувейт
लाओस	Лаос
ओरेगन	Орегон
मालदिभ्स	Мальдивы
युटा	Юта
गाई	Корова
मलेशिया	Малайзия
म्यानमार	Мьянма
नेपाल	Непал
ओमान	Оман
पाकिस्तान	Пакистан
कतार	Катар
साउदी अरब	Саудовская Аравия
श्रीलंका	Шри-Ланка
स्टालिन	Сталин, Иосиф Виссарионович
सीरिया	Сирия
प्लेटो	Платон
ताजिकिस्तान	Таджикистан
ताइवान	Китайская Республика
युट्युब	YouTube
जर्मेनियम	Германий
अरस्तू	Аристотель
थाइल्याण्ड	Таиланд
रेडियो	Радио
तुर्कमेनिस्तान	Туркмения
इरिडियम	Иридий
संयुक्त अरब इमिरेट्स	Объединённые Арабские Эмираты
भियतनाम	Вьетнам
चार्ली च्याप्लिन	Чаплин, Чарльз
दक्षिण कोरिया	Республика Корея
द सिम्प्सन्स	Симпсоны
अफगानिस्तान	Афганистан
गङ्नम स्टाइल	Gangnam Style
सुन	Золото
स्वेज नहर	Суэцкий канал
वैज्ञानिक	Учёный
बंगलादेश	Бангладеш
फ्रान्ज काफ्का	Кафка, Франц
सुकरात	Сократ
अंगोला	Ангола
भूटान	Бутан
ट्विटर	Твиттер
ब्रुनेई	Бруней
तन्जानिया	Танзания
फिलिपिन्स	Филиппины
मध्य अफ्रिकी गणतन्त्र	Центральноафриканская Республика
दक्षिणी ध्रुव	Южный полюс
उत्तरी ध्रुव	Северный полюс
आइज्याक न्यूटन	Ньютон, Исаак
अल्बर्ट आइन्स्टाइन	Эйнштейн, Альберт
पहेंलो	Жёлтый цвет
प्रमात्रा यान्त्रिकी	Квантовая механика
जिम्बाब्वे	Зимбабве
बेइजिङ	Пекин
बेनिन	Бенин
बोत्स्वाना	Ботсвана
बुर्किना फासो	Буркина-Фасо
बुरूण्डी	Бурунди
कोमोरोस	Коморы
गणतन्त्र कङ्गो	Республика Конго
प्रजातान्त्रिक गणतन्त्र कंगो	Демократическая Республика Конго
जिबुटी	Джибути
इक्वेटोरियल गिनी	Экваториальная Гвинея
एरिट्रिया	Эритрея
नयाँ दिल्ली	Нью-Дели
शिशु	Младенец
गाबोन	Габон
महात्मा गान्धी	Махатма Ганди
गाम्बिया	Гамбия
गिनी	Гвинея
गिनी-बिसाउ	Гвинея-Бисау
आइभोरी कोस्ट	Кот-д’Ивуар
क्यामेरून	Камерун
केप भर्ड	Кабо-Верде
लिबिया	Ливия
माडागास्कर	Мадагаскар
स्टटगर्ट	Штутгарт
मौरिसस	Маврикий
नाइजेरिया	Нигерия
चार्ल्स डार्विन	Дарвин, Чарлз
युगाण्डा	Уганда
रुवाण्डा	Руанда
सोमालिया	Сомали
नायोबियम	Ниобий
जवाहरलाल नेहरु	Неру, Джавахарлал
जुलियस सिजर	Гай Юлий Цезарь
इन्द्रेणी	Радуга
ह्याम्बर्ग	Гамбург
नरेन्द्र मोदी	Моди, Нарендра
प्रतिरक्षा प्रणाली	Иммунная система
गुजरात	Гуджарат
क्रम-विकास	Эволюция
संयुक्त राष्ट्र संघ	Организация Объединённых Наций
अहमदाबाद	Ахмадабад
भूगोल	География
मुटु	Сердце
मस्तिष्क	Головной мозг
रङ्ग	Цвет
प्राग	Прага
निलो	Синий цвет
चाँदी	Серебро
प्लुटोनियम	Плутоний
नेप्ट्युनियम	Нептуний
विद्युत आवेश	Электрический заряд
थोरियम	Торий
बिल क्लिन्टन	Клинтон, Билл
ईन्दिरा गान्धी	Ганди, Индира
मुम्बई	Мумбаи
आन्ध्र प्रदेश	Андхра-Прадеш
अरुणाचल प्रदेश	Аруначал-Прадеш
आसाम	Ассам
बिहार	Бихар
मिचिगन	Мичиган
छत्तीसगढ	Чхаттисгарх
गोआ	Гоа
हरियाणा	Харьяна
हिमाचल प्रदेश	Химачал-Прадеш
जम्मू र कश्मीर	Джамму и Кашмир
प्युर्तो रिको	Пуэрто-Рико
झारखण्ड	Джаркханд
कर्नाटक	Карнатака
मध्य प्रदेश	Мадхья-Прадеш
युसेन बोल्ट	Болт, Усэйн
महाराष्ट्र	Махараштра
मणिपुर	Манипур
श्लेसविग-होल्सटीन	Шлезвиг-Гольштейн
मेघालय	Мегхалая
उत्तरी राइन	Северный Рейн-Вестфалия
हेसे	Гессен
राइनल्यान्ड	Рейнланд-Пфальц
सारल्यान्ड	Саар
स्याक्सोनी	Саксония (земля)
जोन लेनन	Леннон, Джон
इलिनाय	Иллинойс
थाइरिन्जिया	Тюрингия
नर्थ डेकोटा	Северная Дакота
ब्रान्डेनबर्ग	Бранденбург
ब्रेमेन (राज्य)	Бремен (земля)
साउथ डेकोटा	Южная Дакота
मोन्टाना	Монтана
वायोमिङ	Вайоминг
जेरुसेलम	Иерусалим
आयडाहो	Айдахо
वासिङ्टन डी.सी.	Вашингтон (штат)
रदर्फोर्डियम	Резерфордий
नेवाडा	Невада
दुब्नियम	Дубний
सिबोर्गियम	Сиборгий
हिन्द महासागर	Индийский океан
वान कि मुन	Пан Ги Мун
कोफी अन्नान	Аннан, Кофи
कोलोराडो	Колорадо
डार्मस्टासियम	Дармштадтий
डग हमरसल्ड	Хаммаршёльд, Даг
जाम	Конфитюр
ट्रेग्भी लाई	Ли, Трюгве
रेन्टगेनियम	Рентгений
उनुन्बियम	Коперниций
आल्प्स	Альпы
ब्लेइज पास्कल	Паскаль, Блез
शिकागो	Чикаго
विटल्स	The Beatles
उनुन्ट्रियम	Унунтрий
उनुन्क्वाडियम	Флеровий
उनुन्पेन्टियम	Унунпентий
उनुन्हेक्सियम	Ливерморий
उनुन्सेप्टियम	Унунсептий
उनुनक्टियम	Унуноктий
शिशिर ऋतु	Зима
वसन्त	Весна
गृष्म ऋतु	Лето
शरद ऋतु	Осень
ओसामा बिन लादेन	Усама бен Ладен
स्पेनी भाषा	Испанский язык
योहान सेबास्तियन बाख	Бах, Иоганн Себастьян
फिलाडेल्फिया	Филадельфия
कोलकाता	Калькутта
चेन्नई	Ченнаи
दिल्ली	Дели
ढाका	Дакка
बेंगलोर	Бангалор
पश्चिम बङ्गाल	Западная Бенгалия
माकुरा	Пауки
इस्लामाबाद	Исламабад
त्रिपुरा	Трипура
फल-फूल	Плод
बाँदर	Обезьяны
मुद्रा	Деньги
भर्जिनिया	Виргиния
वेस्ट भर्जिनिया	Западная Виргиния
न्यू योर्क	Нью-Йорк (штат)
रोड आइल्यान्ड	Род-Айленд
किरा	Насекомые
मेरिल्यान्ड	Мэриленд
डेलावेयर	Делавэр
व्लादिमीर लेनिन	Ленин, Владимир Ильич
ओहायो	Огайо
पेन्सिलभेनिया	Пенсильвания
ऊएतेर्सेन्	Итерзен
माइक्रोसफ्ट विन्डोज	Windows
न्यु जर्सी	Нью-Джерси
गिब्राल्टार	Гибралтар
इन्डियाना	Индиана
रोजर फेडरर	Федерер, Роджер
जर्जिया (संयुक्त राज्य)	Джорджия
जग्रिब	Загреб
राजस्थान	Раджастхан
टेक्सस	Техас
तमिलनाडु	Тамилнад
ब्रुनो मार्स	Бруно Марс
नर्थ क्यारोलाइना	Северная Каролина
साउथ क्यारोलाइना	Южная Каролина
टोकियो	Токио
बार्सिलोना	Барселона
भुइँ कटहर	Ананас крупнохохолковый
मिसिसिपी	Миссисипи (штат)
फर्डिनान्ड म्यागलन	Магеллан, Фернан
उत्तर प्रदेश	Уттар-Прадеш
उत्तराखण्ड	Уттаракханд
स्वीमिङ्ग पुल	Плавательный бассейн
मिजोरम	Мизорам
सिक्किम	Сикким
टेनेसी	Теннесси
अबू धाबी	Абу-Даби
न्यू मेक्सिको	Нью-Мексико
मिनिसोटा	Миннесота
अन्तर्राष्ट्रिय प्रमाणिक समय	Всемирное координированное время
विस्कान्सिन	Висконсин
पुणे	Пуна
एसी मिलान	Милан (футбольный клуб)
आयोवा	Айова
नेब्रास्का	Небраска
कन्सास	Канзас
सुर्ती	Табак (вещество)
हिन्दी	Хинди
इन्टरनेट एक्सप्लोरर	Internet Explorer
चुरोट	Сигарета
भगवान गणेश	Ганеша
मिसौरी	Миссури (штат)
लुजियाना	Луизиана
केन्टकी	Кентукки
आर्कन्सास	Арканзас
निल आर्मस्ट्रङ	Армстронг, Нил
उर्दू	Урду
ओक्लाहोमा	Оклахома
भलिबल	Волейбол
म्याडोना (मनोरञ्जनकर्मी)	Мадонна (певица)
कोपनहेगन	Копенгаген
स्टकहोम	Стокгольм
हेल्सिन्की	Хельсинки
ब्रातिस्लाभा	Братислава
बुडापेस्ट	Будапешт
बाइबल	Библия
अर्बियम	Эрбий
हनोइ	Ханой
साँचो येशु गिर्जाघर	Церковь истинного Иисуса
अङ्ग्रेजी भाषा	Английский язык
क्वालालम्पुर	Куала-Лумпур
ताइपेइ	Тайбэй
एमेरिसियम	Америций
क्युरियम	Кюрий
बर्क्लियम	Берклий
क्यालिफोर्नियम	Калифорний
आइन्स्टाइनियम	Эйнштейний
मेन्देलिभियम	Менделевий
नोबेलियम	Нобелий
लरेन्सियम	Лоуренсий
येरवान प्रान्त	Ереван
कोन्स्कोभोला	Коньсковоля
शनिका प्राकृतिक उपग्रहहरु	Спутники Сатурна
सन् २०००	2000 год
सन् २००३	2003 год
सन् २००२	2002 год
सन् २००१	2001 год
सन २०१२	2012 год
सन् २०११	2011 год
सन् २०१०	2010 год
सन् २००९	2009 год
सन २०१३	2013 год
सन् २०१४	2014 год
सन् २०१५	2015 год
सन् २००८	2008 год
जाभास्क्रिप्ट	JavaScript
सन् २००४	2004 год
सन् २००५	2005 год
सन् २००६	2006 год
सन् २००७	2007 год
सन् १९००	1900 год
सन् १९०१	1901 год
सन् १९०२	1902 год
फ्लोरेन्स	Флоренция
सन् १९०३	1903 год
सन् १९०४	1904 год
सन् १९०५	1905 год
सन् १९०७	1907 год
सन् १९०६	1906 год
सन् १९०८	1908 год
सन् १९०९	1909 год
सन् १९९२	1992 год
सन् १९९१	1991 год
सन् १९९०	1990 год
सन् १९९३	1993 год
सन् १९९४	1994 год
सन् १९९५	1995 год
सन् १९९६	1996 год
सन् १९१०	1910 год
सन् १९११	1911 год
सन् १९१२	1912 год
सन् १९१३	1913 год
सन् १९१४	1914 год
सन् १९१५	1915 год
सन् १९१६	1916 год
सन् १९९७	1997 год
सन् १९९८	1998 год
सन् १९९९	1999 год
सन् १९१७	1917 год
सन् १९१८	1918 год
खाद्यपदार्थ	Пища
सर्प	Змеи
१ जनवरी	1 января
२ जनवरी	2 января
सुभाषचन्द्र बोस	Бос, Субхас Чандра
सन् १९२०	1920 год
३ जनवरी	3 января
सन् १९१९	1919 год
सन् १९२१	1921 год
सन् १९२२	1922 год
४ जनवरी	4 января
सन् १९२३	1923 год
सन् १९२४	1924 год
५ जनवरी	5 января
६ जनवरी	6 января
इलेक्ट्रोन	Электрон
७ जनवरी	7 января
८ जनवरी	8 января
९ जनवरी	9 января
१० जनवरी	10 января
११ जनवरी	11 января
१२ जनवरी	12 января
१३ जनवरी	13 января
१४ जनवरी	14 января
१५ जनवरी	15 января
१६ जनवरी	16 января
टम ह्याङ्क्स	Хэнкс, Том
१७ जनवरी	17 января
१८ जनवरी	18 января
१९ जनवरी	19 января
२० जनवरी	20 января
२१ जनवरी	21 января
२२ जनवरी	22 января
२३ जनवरी	23 января
२४ जनवरी	24 января
२५ जनवरी	25 января
मिन्स्क	Минск
२६ जनवरी	26 января
माइक्रोसफ्ट	Microsoft
२७ जनवरी	27 января
२८ जनवरी	28 января
२९ जनवरी	29 января
३० जनवरी	30 января
३१ जनवरी	31 января
प्रोटोन	Протон
२ डिसेम्बर	2 декабря
१ डिसेम्बर	1 декабря
३ डिसेम्बर	3 декабря
७ डिसेम्बर	7 декабря
५ डिसेम्बर	5 декабря
८ डिसेम्बर	8 декабря
१० डिसेम्बर	10 декабря
६ डिसेम्बर	6 декабря
९ डिसेम्बर	9 декабря
४ डिसेम्बर	4 декабря
१ फेब्रुअरी	1 февраля
२ फेब्रुअरी	2 февраля
३ फेब्रुअरी	3 февраля
कुरुफ	Курув
४ फेब्रुअरी	4 февраля
५ फेब्रुअरी	5 февраля
६ फेब्रुअरी	6 февраля
७ फेब्रुअरी	7 февраля
८ फेब्रुअरी	8 февраля
९ फेब्रुअरी	9 февраля
१० फेब्रुअरी	10 февраля
रसायनशास्त्र	Химия
१४ फेब्रुअरी	14 февраля
१३ फेब्रुअरी	13 февраля
१५ फेब्रुअरी	15 февраля
११ फेब्रुअरी	11 февраля
१२ फेब्रुअरी	12 февраля
रोबिन भान पर्सी	Ван Перси, Робин
१९ फेब्रुअरी	19 февраля
१७ फेब्रुअरी	17 февраля
१६ फेब्रुअरी	16 февраля
१८ फेब्रुअरी	18 февраля
२० फेब्रुअरी	20 февраля
न्यूट्रोन	Нейтрон
२१ फेब्रुअरी	21 февраля
२२ फेब्रुअरी	22 февраля
२३ फेब्रुअरी	23 февраля
२४ फेब्रुअरी	24 февраля
२५ फेब्रुअरी	25 февраля
२६ फेब्रुअरी	26 февраля
२७ फेब्रुअरी	27 февраля
२८ फेब्रुअरी	28 февраля
११ डिसेम्बर	11 декабря
२९ फेब्रुअरी	29 февраля
१२ डिसेम्बर	12 декабря
१३ डिसेम्बर	13 декабря
१४ डिसेम्बर	14 декабря
१५ डिसेम्बर	15 декабря
२ मार्च	2 марта
३ मार्च	3 марта
५ मार्च	5 марта
१ मार्च	1 марта
७ मार्च	7 марта
८ मार्च	8 марта
४ मार्च	4 марта
१० मार्च	10 марта
११ मार्च	11 марта
६ मार्च	6 марта
१३ मार्च	13 марта
९ मार्च	9 марта
१२ मार्च	12 марта
१५ मार्च	15 марта
१४ मार्च	14 марта
१६ डिसेम्बर	16 декабря
१७ डिसेम्बर	17 декабря
१६ मार्च	16 марта
१७ मार्च	17 марта
१८ मार्च	18 марта
१९ मार्च	19 марта
सन् १९८९	1989 год
सन् १९८८	1988 год
२० मार्च	20 марта
सन् १९८७	1987 год
सन् १९८६	1986 год
सन् १९८५	1985 год
सन् १९८४	1984 год
२१ मार्च	21 марта
सन् १९८३	1983 год
२२ मार्च	22 марта
सन् १९८२	1982 год
सन् १९८१	1981 год
१८ डिसेम्बर	18 декабря
सन् १९८०	1980 год
२३ मार्च	23 марта
१९ डिसेम्बर	19 декабря
२४ मार्च	24 марта
२५ मार्च	25 марта
२० डिसेम्बर	20 декабря
२६ मार्च	26 марта
२७ मार्च	27 марта
२८ मार्च	28 марта
२९ मार्च	29 марта
३० मार्च	30 марта
३१ मार्च	31 марта
सन् १९७०	1970 год
सन् १९७१	1971 год
सन् १९७२	1972 год
सन् १९७३	1973 год
सन् १९७४	1974 год
सन् १९७५	1975 год
सन् १९७६	1976 год
सन् १९७७	1977 год
सन् १९७८	1978 год
सन् १९७९	1979 год
सन् १९६९	1969 год
३० वर्षे युद्ध	Тридцатилетняя война
सर्पिल गैलेक्सी	Спиральная галактика
डन्डीय सर्पिल गैलेक्सी	Спиральная галактика с перемычкой
१५ अप्रिल	15 апреля
१३ अप्रिल	13 апреля
१२ अप्रिल	12 апреля
१४ अप्रिल	14 апреля
११ अप्रिल	11 апреля
१० अप्रिल	10 апреля
८ अप्रिल	8 апреля
९ अप्रिल	9 апреля
७ अप्रिल	7 апреля
६ अप्रिल	6 апреля
५ अप्रिल	5 апреля
४ अप्रिल	4 апреля
३ अप्रिल	3 апреля
१ अप्रिल	1 апреля
२ अप्रिल	2 апреля
१६ अप्रिल	16 апреля
१७ अप्रिल	17 апреля
१८ अप्रिल	18 апреля
१९ अप्रिल	19 апреля
२० अप्रिल	20 апреля
२१ अप्रिल	21 апреля
२२ अप्रिल	22 апреля
२३ अप्रिल	23 апреля
२४ अप्रिल	24 апреля
२५ अप्रिल	25 апреля
२६ अप्रिल	26 апреля
२७ अप्रिल	27 апреля
२८ अप्रिल	28 апреля
२९ अप्रिल	29 апреля
३० अप्रिल	30 апреля
१ मे	1 мая
२ मे	2 мая
३ मे	3 мая
४ मे	4 мая
५ मे	5 мая
६ मे	6 мая
७ मे	7 мая
८ मे	8 мая
९ मे	9 мая
१० मे	10 мая
११ मे	11 мая
१२ मे	12 мая
१३ मे	13 мая
१४ मे	14 мая
१५ मे	15 мая
१६ मे	16 мая
१७ मे	17 мая
१८ मे	18 мая
१९ मे	19 мая
२० मे	20 мая
२१ मे	21 мая
२२ मे	22 мая
२३ मे	23 мая
२४ मे	24 мая
२५ मे	25 мая
२६ मे	26 мая
२७ मे	27 мая
२८ मे	28 мая
२९ मे	29 мая
३० मे	30 мая
३१ मे	31 мая
पल मेकार्टनी	Маккартни, Пол
२१ डिसेम्बर	21 декабря
१४ जुन	14 июня
१५ जुन	15 июня
१३ जुन	13 июня
१० जुन	10 июня
७ जुन	7 июня
११ जुन	11 июня
९ जुन	9 июня
१२ जुन	12 июня
६ जुन	6 июня
८ जुन	8 июня
५ जुन	5 июня
३ जुन	3 июня
२ जुन	2 июня
१ जुन	1 июня
४ जुन	4 июня
२२ डिसेम्बर	22 декабря
जर्ज ह्यारिसन	Харрисон, Джордж
सन् १९६८	1968 год
सन् १९६७	1967 год
सन् १९६६	1966 год
सन् १९६५	1965 год
सन् १९६४	1964 год
१६ जुन	16 июня
३० जुन	30 июня
२९ जुन	29 июня
२८ जुन	28 июня
२६ जुन	26 июня
२५ जुन	25 июня
२२ जुन	22 июня
२७ जुन	27 июня
२४ जुन	24 июня
२० जून	20 июня
२३ जुन	23 июня
१९ जून	19 июня
१८ जुन	18 июня
२१ जून	21 июня
१७ जुन	17 июня
२३ डिसेम्बर	23 декабря
अर्नोल्ड स्वार्जनेगर	Шварценеггер, Арнольд
१५ जुलाई	15 июля
१३ जुलाई	13 июля
१२ जुलाई	12 июля
१० जुलाई	10 июля
९ जुलाई	9 июля
१४ जुलाई	14 июля
८ जुलाई	8 июля
७ जुलाई	7 июля
६ जुलाई	6 июля
५ जुलाई	5 июля
२ जुलाई	2 июля
