अफ़्रीका	Африка
यहूदी	Евреи
हर्नान कोर्ते	Кортес, Эрнан
यूरी गगारिन	Гагарин, Юрий Алексеевич
वास्को द गामा	Васко да Гама
इब्न-बतूता	Ибн Баттута
ग्रेट बैरियर रीफ	Большой Барьерный риф
विशाल झीलें	Великие озёра
सिन्धु नदी	Инд
पनामा नहर	Панамский канал
जिन राजवंश	Цзинь (265—420)
दक्षिणध्रुवीय महासागर	Южный океан
ह्वांगहो	Хуанхэ
कान	Ухо
नाक	Нос
आँख	Глаз
पेशी	Мышцы
गीत	Песня
मच्छर	Комары
भेड़	Овца
सूंस	Дельфины
हाँगर	Акулы
एल्फ़्रेड हिचकॉक	Хичкок, Альфред
ऊँट	Верблюды
स्तनधारी	Млекопитающие
हाथी	Слон
नरवानर गण	Приматы
चींटी	Муравьи
स्वर (मानव का)	Голос
तन्त्रांश	Программное обеспечение
सुई राजवंश	Суй
आन्द्रे अगासी	Агасси, Андре
डच भाषा	Нидерландский язык
द वॉल्ट डिज़्नी कंपनी	The Walt Disney Company
मारग्रेट थैचर	Тэтчер, Маргарет
पश्चिमी शिया	Си Ся
डीऑक्सीराइबोन्यूक्लिक अम्ल	Дезоксирибонуклеиновая кислота
जाति (जीवविज्ञान)	Биологический вид
गणवेश	Униформа
रिचर्ड स्टॉलमैन	Столлман, Ричард Мэттью
केविन मिटनिक	Митник, Кевин
सोंग राजवंश	Империя Сун
जॉनी ली मिलर	Миллер, Джонни Ли
तोलुइ ख़ान	Толуй
ओगताई ख़ान	Угэдэй
गुयुक ख़ान	Гуюк
मोंगके ख़ान	Мунке
कुबलई ख़ान	Хубилай
फूल गोभी	Цветная капуста
पेयटन मैनिंग	Мэннинг, Пейтон
बैंगन	Баклажан
इंगमार बर्गमान	Бергман, Ингмар
फोबोस	Фобос
डेमोस	Деймос
पुस्सी रायट	Pussy Riot
अनुवाद	Перевод
अझ़दहा	Дракон
माता	Мать
हिम	Снег
लोम्बोक	Ломбок
योग्यकार्ता	Джокьякарта
१८२८	1828 год
१८२९	1829 год
१७४१	1741 год
१६६२	1662 год
१७४२	1742 год
१८३०	1830 год
१६६३	1663 год
१८३१	1831 год
१७४३	1743 год
१६६४	1664 год
१६६५	1665 год
१७४४	1744 год
१८३२	1832 год
१६६६	1666 год
१७४५	1745 год
१८३३	1833 год
१६६७	1667 год
१७४६	1746 год
परिवहन	Транспорт
१८३४	1834 год
डेबियन	Debian
१६६८	1668 год
१७४७	1747 год
१८३५	1835 год
१७४८	1748 год
१८३६	1836 год
१६६९	1669 год
लियोनार्ड ओइलर	Эйлер, Леонард
१६७०	1670 год
१७४९	1749 год
१८३७	1837 год
विल्डबीस्ट	Гну
१६७१	1671 год
१७५०	1750 год
१८३८	1838 год
१६७२	1672 год
१७५१	1751 год
१८३९	1839 год
१६७३	1673 год
१७५२	1752 год
१८४०	1840 год
१६७४	1674 год
१७५३	1753 год
१८४१	1841 год
१७५४	1754 год
१६७५	1675 год
१८४२	1842 год
१७५५	1755 год
१६७६	1676 год
१८४३	1843 год
१६७७	1677 год
१७५६	1756 год
१८४४	1844 год
१६७८	1678 год
१७५७	1757 год
१८४५	1845 год
1679	1679 год
१७५८	1758 год
१८४६	1846 год
१६८०	1680 год
१७५९	1759 год
१८४७	1847 год
१६८१	1681 год
१७६०	1760 год
१८४८	1848 год
१६८२	1682 год
१७६१	1761 год
१८४९	1849 год
१६८३	1683 год
१७६२	1762 год
१८५०	1850 год
१६८४	1684 год
१७६३	1763 год
१८५१	1851 год
१७६४	1764 год
१६८५	1685 год
१८५२	1852 год
१६८६	1686 год
१७६५	1765 год
१८५३	1853 год
१६८७	1687 год
१७६६	1766 год
१८५४	1854 год
१६८८	1688 год
१७६७	1767 год
१८५५	1855 год
१६८९	1689 год
१७६८	1768 год
१८५६	1856 год
१६९०	1690 год
१७६९	1769 год
१८५७	1857 год
१६९१	1691 год
१७७०	1770 год
१८५८	1858 год
१६९२	1692 год
१७७१	1771 год
१८५९	1859 год
रायोन	Район
१६९३	1693 год
१७७२	1772 год
१८६०	1860 год
१७७३	1773 год
१८६१	1861 год
१६९४	1694 год
१६९५	1695 год
१७७४	1774 год
१८६२	1862 год
१६९६	1696 год
१७७५	1775 год
१८६३	1863 год
१६९७	1697 год
१७७६	1776 год
१८६४	1864 год
१६९८	1698 год
१८६५	1865 год
१७७७	1777 год
१६९९	1699 год
१८६६	1866 год
१७७८	1778 год
१७७९	1779 год
१८६७	1867 год
१७८०	1780 год
१८६८	1868 год
१७८१	1781 год
१८६९	1869 год
नैपोलियन तृतीय	Наполеон III
सवेरा	Утро
मिनट	Минута
ग्रात्सिआ डेलेड्डा	Деледда, Грация
लुई सोलहवाँ	Людовик XVI
रूसी भाषा	Русский язык
१७८२	1782 год
१८७०	1870 год
१७८३	1783 год
१८७१	1871 год
व्लादिमीर पुतिन	Путин, Владимир Владимирович
विधि	Право
रॉक ऐन्ड रोल​	Рок-н-ролл
लुई अट्ठारहवाँ	Людовик XVIII
१७८४	1784 год
१८७२	1872 год
गणितीय विश्लेषण	Анализ (раздел математики)
संविधान	Конституция
१७८५	1785 год
१८७३	1873 год
१७८६	1786 год
१८७४	1874 год
१७८७	1787 год
१८७५	1875 год
१७८८	1788 год
१८७६	1876 год
दक्षिण पूर्वी एशियाई राष्ट्रों का संगठन	Ассоциация государств Юго-Восточной Азии
१७८९	1789 год
१८७७	1877 год
१७९०	1790 год
१८७८	1878 год
फ्रांस का इतिहास	История Франции
१८७९	1879 год
१७९१	1791 год
राष्ट्रकुल	Содружество наций
यूरोप का इतिहास	История Европы
ख़ाबारोव्स्क क्राय	Хабаровский край
इटली का इतिहास	История Италии
साख़ालिन	Сахалин
यूनान का इतिहास	История Греции
ओपेक	Организация стран — экспортёров нефти
बुल्गारिया का इतिहास	История Болгарии
अंतर्राष्ट्रीय न्यायालय	Международный суд ООН
डबलरोटी	Хлеб
अन्तर्राष्ट्रीय मुद्रा कोष	Международный валютный фонд
१७९२	1792 год
१८८०	1880 год
१७९३	1793 год
१८८१	1881 год
युनेस्को	ЮНЕСКО
१७९४	1794 год
१८८२	1882 год
मानवाधिकारों की सार्वभौम घोषणा	Всеобщая декларация прав человека
१७९५	1795 год
१८८३	1883 год
विश्व स्वास्थ्य संगठन	Всемирная организация здравоохранения
१७९६	1796 год
१८८४	1884 год
१७९७	1797 год
१८८५	1885 год
१८८६	1886 год
१७९८	1798 год
विश्व व्यापार संगठन	Всемирная торговая организация
१८८७	1887 год
१७९९	1799 год
१८८८	1888 год
१८८९	1889 год
१८९०	1890 год
क्रीमिया	Крым
रेने मैगराइट	Магритт, Рене
१८९१	1891 год
स्वाहिली भाषा	Суахили
१८९२	1892 год
१८९३	1893 год
१८९४	1894 год
१८९५	1895 год
१८९६	1896 год
१८९७	1897 год
१८९८	1898 год
चीनी भाषा	Китайский язык
१८९९	1899 год
शौचालय	Туалет
प्रकृति	Природа
मनोरोग विज्ञान	Психиатрия
कोशिका	Клетка
रक्त	Кровь
विद्युत्-रसायन	Электрохимия
तुलूज़	Тулуза
कंकाल	Скелет
फेफड़ा	Лёгкие
वीडियो गेम	Компьютерная игра
श्वसन तंत्र	Дыхательная система
पीने का पानी	Питьевая вода
प्रजनन तंत्र	Репродуктивная система
बुल्गारियाई भाषा	Болгарский язык
शिक्षाशास्त्र	Педагогика
वर्षा	Дождь
मालागासी भाषा	Малагасийский язык
फ़्रैंक हर्बर्ट	Герберт, Фрэнк
हिमप्रपात	Лавина
जलवायु	Климат
एल नीनो	Эль-Ниньо
भूमंडलीय ऊष्मीकरण	Глобальное потепление
भूकम्प	Землетрясение
खनिज	Минерал
कमचातका क्राय	Камчатский край
प्लेट विवर्तनिकी	Тектоника плит
मागादान ओब्लास्त	Магаданская область
तड़ित चालक	Молниеотвод
ब्रिटिश अंग्रेज़ी	Британский вариант английского языка
अंतरराष्ट्रीय गणितीय ओलंपियाड	Международная математическая олимпиада
माउस	Компьютерная мышь
लापतेव सागर	Море Лаптевых
प्राकृतिक विज्ञान	Естествознание
ईवान भयानक	Иван Грозный
सेर्गे आइसेन्स्टाइन	Эйзенштейн, Сергей Михайлович
अकिरा कुरोसावा	Куросава, Акира
फ्रैंकलिन डेलानो रूज़वेल्ट	Рузвельт, Франклин
अबू अली सीना	Ибн Сина
डर्बी संग्रहालय एवं कला दीर्घा	Музей и художественная галерея Дерби
विन्सटन चर्चिल	Черчилль, Уинстон
नेल्सन मंडेला	Мандела, Нельсон
मार्टिन लूथर किंग	Кинг, Мартин Лютер
प्रकिण्व	Ферменты
१०वीं शताब्दी	X век
प्रोटीन	Белки
रोमा (लोग)	Цыгане
शैल	Горная порода
प्राकृतिक आपदा	Стихийное бедствие
अमीनो अम्ल	Аминокислоты
बाढ़	Наводнение
सूनामी	Цунами
ज्वालामुखी	Вулкан
बादल	Облака
तर्कशास्त्र	Логика
1896 ग्रीष्मकालीन ओलम्पिक	Летние Олимпийские игры 1896
९वीं शताब्दी	IX век
त्रिकोणमिति	Тригонометрия
८वीं शताब्दी	VIII век
ज्यामिति	Геометрия
1900 ग्रीष्मकालीन ओलम्पिक	Летние Олимпийские игры 1900
सातवीं शताब्दी	VII век
६वीं शताब्दी	VI век
व्याकरण	Грамматика
उष्णकटिबंधीय चक्रवात	Тропический циклон
पवन	Ветер
५वीं शताब्दी ईसा	V век
तेलुगू भाषा	Телугу
कठबोली	Сленг
वायुमंडल (खगोलीय)	Атмосфера
अर्थशास्त्र	Экономика (наука)
पूँजी	Капитал
मुद्रा (करेंसी)	Валюта
जापानी येन	Японская иена
उद्योग	Промышленность
कर	Налог
भाषाविज्ञान	Лингвистика
शब्द	Слово
स्वनिम	Фонема
अक्षर	Слог
लिपि	Письменность
अरबी लिपि	Арабское письмо
डुगावा नदी	Западная Двина
चीनी भावचित्र	Китайское письмо
सीरिलिक लिपि	Кириллица
यूनानी वर्णमाला	Греческий алфавит
हंगुल	Хангыль
रोमन लिपि	Латинский алфавит
साक्षरता	Грамотность
साहित्य	Литература
विराटनगर	Биратнагар
श्रेणी:फ़्रांस	Категория:Франция
बीरगंज	Биргандж (город, Непал)
काल्पनिक साहित्य	Художественная литература
धरान	Дхаран
श्रेणी:संगीत	Категория:Музыка
आलिफ़ लैला	Тысяча и одна ночь
श्रेणी:साहित्य	Категория:Литература
उपन्यास	Роман
श्रेणी:काव्य	Категория:Поэзия
यूरोक्षेत्र	Еврозона
गिलगमेश	Эпос о Гильгамеше
माँगा	Манга
इलियाड	Илиада
महाभारत	Махабхарата
मल्टिपल स्क्लेरोसिस (बहुसृत काठिन्य)	Рассеянный склероз
शाहनामा	Шахнаме
मियासथीनिया ग्रेविस	Миастения
स्क्राइबस	Scribus
ककड़ी वंश (कुकुरबिटेसी)	Тыквенные
द्विबीजपत्री	Двудольные
अरकंसास नदी	Арканзас (река)
लोमड़ी	Лисица
फेडरल ब्यूरो ऑफ इन्वेस्टिगेशन	Федеральное бюро расследований
हैरी पॉटर	Серия романов о Гарри Поттере
जैज़ संगीत	Джаз
बैगपाइप	Волынка
वायलिन	Скрипка
अल्गोरिद्म	Алгоритм
बाल यौन शोषण (पीडोफीलिया)	Педофилия
यौन आसनों की सूची	Сексуальные позиции
हस्तमैथुन	Мастурбация
गुदा मैथुन	Анальный секс
फेलाशियो	Минет
सिकंदर महान	Александр Македонский
कोन्स्टान्टिन प्रथम	Константин I Великий
हैंडबॉल	Гандбол
वायुगतिकी	Газодинамика
समाज	Общество
१९६८ ग्रीष्मकालीन ओलम्पिक	Летние Олимпийские игры 1968
सभ्यता	Цивилизация
शिक्षा	Образование
परिवार	Семья
लड़का	Мужчина
बिस्मार्क	Бисмарк, Отто фон
विवाह	Брачный союз
कर्ट कोबेन	Кобейн, Курт
फ़्रान्सीसी विकिपीडिया	Французская Википедия
स्पेनी विकिपीडिया	Испанская Википедия
गर्भपात	Аборт
मृत्युदंड	Смертная казнь
मानवाधिकार	Права человека
नस्लवाद	Расизм
तैमूरलंग	Тамерлан
दासप्रथा (पाश्चात्य)	Рабство
गृहयुद्ध	Гражданская война
उमर	Умар ибн аль-Хаттаб
इण्टरपोल	Интерпол
पीटर महान	Пётр I
कॉफ़ी	Кофе
रस (वनस्पति)	Сок
आमू दरिया	Амударья
दूध	Молоко
गोमल नदी	Гумаль
पर्वत	Гора
हरीरूद	Теджен (река)
हेलमंद नदी	Гильменд (река)
डेटाबेस	База данных
मरुस्थल	Пустыня
काबुल नदी	Кабул (река)
कुनर नदी	Кунар (река)
वख़्श नदी	Вахш
वाख़ान नदी	Вахандарья
द बिग बैंग थीअरी	Теория большого взрыва (телесериал)
पंज नदी	Пяндж
२००० ऊष्ण ओलंपिक्स	Летние Олимпийские игры 2000
पामीर नदी	Памир (река)
मुरग़ाब नदी	Мургаб (река)
2008 ग्रीष्मकालीन ओलम्पिक	Летние Олимпийские игры 2008
सन यात-सेन	Сунь Ятсен
2012 ग्रीष्मकालीन ओलम्पिक	Летние Олимпийские игры 2012
सलाउद्दीन	Салах ад-Дин
श्रोडिङ्गरके विडाल	Кот Шрёдингера
अशोक	Ашока
अकबर	Акбар I Великий
सिमोन बोलिवर	Боливар, Симон
सम्मोहन	Гипноз
एंड्र्यू जॉनसन	Джонсон, Эндрю
2016 ग्रीष्मकालीन ओलम्पिक	Летние Олимпийские игры 2016
क्वामे एन्क्रूमाह	Нкрума, Кваме
हॉन्ग कॉन्ग	Гонконг
मियामी	Майами
कराची	Карачи
कोरियाई युद्ध	Корейская война
ग्वाला तारामंडल	Волопас (созвездие)
लागोस	Лагос
शिशुमार तारामंडल	Дракон (созвездие)
अमेरिकी गृहयुद्ध	Гражданская война в США
रियो डि जेनेरो	Рио-де-Жанейро
मीन तारामंडल	Рыбы (созвездие)
ब्रिटिश साम्राज्य	Британская империя
रियल मैड्रिड सी. एफ़	Реал Мадрид (футбольный клуб)
शीतयुद्ध	Холодная война
सियोल	Сеул
शंघाई	Шанхай
एथलेटिक बिलबाओ	Атлетик Бильбао
सांस्कृतिक क्रांति	Культурная революция в Китае
लंदन हीथ्रो विमानक्षेत्र	Хитроу
महामन्दी	Великая депрессия
एटलेटिको मैड्रिड	Атлетико Мадрид
वॉल्ट डिज़्नी	Дисней, Уолт
मेइजी पुनर्स्थापन	Реставрация Мэйдзи
रूसी क्रांति	Русская революция
चिंग राजवंश	Империя Цин
वर्साय की सन्धि	Версальский договор
आर्किमिडिज़	Архимед
वियतनाम युद्ध	Война во Вьетнаме
थॉमस अल्वा एडीसन	Эдисон, Томас Алва
यूक्लिड	Евклид
अल्बानियाई भाषा	Албанский язык
माइकल फैराडे	Фарадей, Майкл
बास्क भाषा	Баскский язык
एन्रीको फर्मी	Ферми, Энрико
फ़िबोन्नाची	Фибоначчи
ब्रिटिश एयरवेज़	British Airways
डोमेन नाम प्रणाली	DNS
हेनरी फ़ोर्ड	Форд, Генри
जोसेफ फ़ूर्ये	Фурье, Жан Батист Жозеф
आरसीडी एस्पेनयॉल	Эспаньол
आर्मीनियाई भाषा	Армянский язык
बीज-लेखन	Криптография
अंतरजाल नियमावली	IP
यूक्रेनी भाषा एवं साहित्य	Украинский язык
बाइट	Байт
ऍचटीऍमऍल	HTML
ओग्युस्तें लुई कौशी	Коши, Огюстен Луи
आस्की	ASCII
यूनिकोड	Юникод
जिराफ़ तारामंडल	Жираф (созвездие)
सीटस तारामंडल	Кит (созвездие)
कन्या तारामंडल	Дева (созвездие)
नरतुरंग तारामंडल	Центавр (созвездие)
वलांस	Валанс
कर्क तारामंडल	Рак (созвездие)
सिंह तारामंडल	Лев (созвездие)
शिकारी तारामंडल	Орион (созвездие)
पर्णिन अश्व तारामंडल	Пегас (созвездие)
वॄश्चिक तारामंडल	Скорпион (созвездие)
धनु तारामंडल	Стрелец (созвездие)
सत्यजित राय	Рай, Сатьяджит
स्टीवन स्पिलबर्ग	Спилберг, Стивен
सर्पधारी तारामंडल	Змееносец
यूरोपीय परिषद	Совет Европы
सर्प तारामंडल	Змея (созвездие)
भट्टी तारामंडल	Печь (созвездие)
सप्तर्षि तारामंडल	Большая Медведица
हंस तारामंडल	Лебедь (созвездие)
मिथुन तारामंडल	Близнецы (созвездие)
तारामंडल	Созвездие
योहानेस गुटेनबर्ग	Гутенберг, Иоганн
उत्तरी युआन राजवंश	Северная Юань
जेम्स प्रेस्कॉट जूल	Джоуль, Джеймс
योहानेस केप्लर	Кеплер, Иоганн
कान्कुन	Канкун
मैक्स प्लांक	Планк, Макс
स्वीडिश भाषा	Шведский язык
डेनिश भाषा	Датский язык
निकोला टेस्ला	Тесла, Никола
मुहम्मद इब्न मूसा अल-ख़्वारिज़्मी	Аль-Хорезми
जेम्स वाट	Уатт, Джеймс
नॉर्वेजियाई भाषा	Норвежский язык
चाणक्य	Чанакья
बागमती प्रान्त	Багмати (зона Непала)
गाटफ्रीड लैबनिट्ज़	Лейбниц, Готфрид Вильгельм
नोआम चाम्सकी	Хомский, Ноам
पुडिंग	Пудинг
चॅक भाषा	Чешский язык
स्लोवाक भाषा	Словацкий язык
भेरी अंचल	Бхери (зона Непала)
कार्ल मार्क्स	Маркс, Карл
स्लोवेनियाई भाषा	Словенский язык
हंगेरियाई भाषा	Венгерский язык
वोल्टेयर	Вольтер
एस्टोनियाई भाषा	Эстонский язык
मूसा	Моисей
लातवियाई भाषा	Латышский язык
विद्या	Знание
लिथुआनियाई भाषा	Литовский язык
हिन्दू धर्म	Индуизм
जेम्स क्लर्क माक्सवेल	Максвелл, Джеймс Клерк
स्तन	Женская грудь
मेंडलीफ	Менделеев, Дмитрий Иванович
परमाणु	Атом
अर्नेस्ट रदरफोर्ड	Резерфорд, Эрнест
प्रकाश	Свет
यूनानी भाषा	Греческий язык
अर्विन श्रोडिन्गर	Шрёдингер, Эрвин
गंडकी अंचल	Гандаки (зона Непала)
पौराणिक कथाएं	Мифология
प्रचालन तन्त्र	Операционная система
ताजमहल	Тадж-Махал
आयरिश भाषा	Ирландский язык
प्रोग्रामिंग भाषा	Язык программирования
पेंगुइन	Пингвиновые
जनकपुर अंचल	Джанакпур (зона Непала)
प-पत्र	Электронная почта
एकेश्वरवाद	Монотеизм
जोसिप बरोज़ टिटो	Броз Тито, Иосип
कर्णाली अंचल	Карнали (зона Непала)
आत्मा	Душа
फ़ारसी भाषा	Персидский язык
कोशी अंचल	Коси (зона Непала)
धर्म (पंथ)	Религия
कोरियाई भाषा	Корейский язык
मेची अञ्चल	Мечи (зона Непала)
अब्राहम	Авраам
उत्पत्ति पुस्तक	Книга Бытия
कैण्टोनी भाषा	Кантонский диалект
एम्पायर स्टेट बिल्डिंग	Эмпайр-стейт-билдинг
रेने देकार्त	Декарт, Рене
मन्दारिन भाषा	Севернокитайский язык
सगरमाथा अंचल	Сагарматха (зона Непала)
वियतनामी भाषा	Вьетнамский язык
खमेर भाषा	Кхмерский язык
लाओ भाषा	Лаосский язык
लुंबिनी	Лумбини
सिग्मुंड फ़्रोइड	Фрейд, Зигмунд
थाई भाषा	Тайский язык
बर्मी भाषा	Бирманский язык
श्रेणी:तारामंडल	Категория:Созвездия
जैन धर्म	Джайнизм
हंगेरियन ग्रांड प्रिक्स	Гран-при Венгрии
जार्ज विल्हेम फ्रेड्रिक हेगेल	Гегель, Георг Вильгельм Фридрих
मलय भाषा	Малайский язык
इंडोनेशियाई भाषा	Индонезийский язык
मंगोल भाषा	Монгольский язык
बाकू	Баку
पपिस तारामंडल	Корма (созвездие)
कज़ाख़ भाषा	Казахский язык
वेदी तारामंडल	Жертвенник (созвездие)
किर्गिज़ भाषा	Киргизский язык
देवयानी तारामंडल	Андромеда (созвездие)
विश्व धरोहर	Всемирное наследие
ताजिकी भाषा	Таджикский язык
उज़्बेक भाषा	Узбекский язык
सलाद	Салат (блюдо)
तुर्कमेन भाषा	Туркменский язык
यहूदी धर्म	Иудаизм
थिम्फू	Тхимпху
अप्रवासी घाट	Ааправаси-Гхат
अबु मीना	Абу-Мина
भास्कर तारामंडल	Скульптор (созвездие)
इब्रानी भाषा	Иврит
अज़ेरी भाषा	Азербайджанский язык
इब्न खल्दून	Ибн Хальдун
मेसिडोनियन भाषा	Македонский язык
सर्बियाई भाषा	Сербский язык
सर्बी क्रोएशियन भाषा	Сербохорватский язык
सूंस तारामंडल	Дельфин (созвездие)
हीनश्वान तारामंडल	Малый Пёс
गैलिशियन भाषा	Галисийский язык
वेल्श भाषा	Валлийский язык
दिली	Дили
इमानुएल कांट	Кант, Иммануил
सिख धर्म	Сикхизм
जॉन मेनार्ड कीन्स	Кейнс, Джон Мейнард
लुफ़्थान्सा	Lufthansa
गाय दी मोपासां	Мопассан, Ги де
व्यवहार प्रक्रिया	Поведение
लाओ-त्सू	Лао-цзы
जीमेल	Gmail
फ्लेमिश क्षेत्र	Фламандский регион
गूगल डॉक्स	Google Docs
माले	Мале
योग	Йога
जॉन लॉक	Локк, Джон
फ्रेडरिक नीत्शे	Ницше, Фридрих
बिश्केक	Бишкек
ज्यां-पाल सार्त्र	Сартр, Жан-Поль
दुशान्बे	Душанбе
गूगल खोज	Google
यकृत	Печень
तिल्ली	Селезёнка
गुर्दा	Почка (анатомия)
एडम स्मिथ	Смит, Адам
मूत्राशय	Мочевой пузырь
अंडकोष	Яички
मैक्स वेबर	Вебер, Макс
लुडविग विट्गेंश्टाइन	Витгенштейн, Людвиг
खरगोश	Кролики
निंजा	Ниндзя
तन्त्रिका तन्त्र	Нервная система
भेड़ियामानव	Волколак
भावना	Эмоция
मानस शास्त्र	Психология
फ़िक्र	Мышление (психология)
महावीर	Махавира
टिम्बकटू	Томбукту
ऋषभदेव	Ришабха
महासागर	Океан
दिगम्बर	Дигамбары
थामस एक्विनास	Фома Аквинский
विक्टोरिया	Виктория (королева Великобритании)
गौतम बुद्ध	Будда Шакьямуни
लोथल	Лотхал
वर्षावन	Дождевой лес
पीट सेमप्रास	Сампрас, Пит
प्रीमियर लीग	Английская Премьер-лига
द्वंद्वात्मक तर्कपद्धति	Диалектика
वल्लभ भाई पटेल	Патель, Валлабхаи
मुहम्मद	Мухаммед
आचारशास्त्र	Этика
धोलावीरा	Дхолавира
ज्ञानमीमांसा	Эпистемология
मुक्त कर्म	Свобода воли
आईपॉड	IPod
गिलहरी	Беличьи
सचिन तेंदुलकर	Тендулкар, Сачин
उड़न गिलहरी	Летяги
प्रायिकता	Вероятность
वास्तविकता	Реальность
अब्दुल कलाम	Абдул Калам
बीबीसी	Би-би-си
शाहरुख खान	Хан, Шахрух
सलमान ख़ान	Хан, Салман
टोनी ब्लेयर	Блэр, Тони
अल ग़ज़ाली	Абу Хамид аль-Газали
कैटरीना कैफ़	Каиф, Катрина
मार्टिन लुथर	Лютер, Мартин
आमिर ख़ान	Хан, Аамир
जॉन मेजर	Мейджор, Джон
अमिताभ बच्चन	Баччан, Амитабх
हरिवंश राय बच्चन	Баччан, Хариванш Рай
कुन्फ़्यूशियसी धर्म	Конфуцианство
जेराल्ड फ़ोर्ड	Форд, Джеральд Рудольф
होंडा	Honda
शिया इस्लाम	Шииты
रिचर्ड मिल्हौस निक्सन	Никсон, Ричард
कैथोलिक गिरजाघर	Римско-католическая церковь
त्रिमूर्ति	Тримурти
ताओ धर्म	Даосизм
पारसी धर्म	Зороастризм
सूफ़ीवाद	Суфизм
मेरूरज्जु	Спинной мозг
शिरा	Вена (анатомия)
बांग्ला भाषा	Бенгальский язык
गर्भाशय	Матка женщины
जीभ	Язык (анатомия)
चेल्सी एफ़.सी.	Челси (футбольный клуб)
आर्सेनल एफ सी	Арсенал (футбольный клуб, Лондон)
अग्न्याशय	Поджелудочная железа
मानव कंकाल	Скелет человека
डिम्बग्रंथि	Яичники
गर्दन	Шея
मुँह	Рот
स्वरग्रंथि	Гортань
आंत	Кишечник
लिंडन बेन्स जॉनसन	Джонсон, Линдон
संधि (शरीररचना)	Сустав
ग्रन्थि	Железа
फ़ॉकलैंड द्वीपसमूह	Фолклендские острова
मानव का पोषण नाल	Пищеварительная система человека
इप्सविच टाउन एफ.सी.	Ипсвич Таун
धमनी	Артерия
कर्नेल (कम्प्यूटर)	Ядро операционной системы
माइकल शूमाकर	Шумахер, Михаэль
लुईस हैमिल्टन	Хэмилтон, Льюис
आइल ऑफ़ मैन	Остров Мэн
2014 शीतकालीन ओलम्पिक	Зимние Олимпийские игры 2014
आइल ऑफ़ वाइट	Остров Уайт
एलिज़ाबेथ द्वितीय (संयुक्त राजशाही)	Елизавета II
तंग राजवंश	Тан (династия)
न्यूयॉर्क टाइम्स	The New York Times
थकान (चिकित्सा)	Переутомление
जॉन एफ॰ केनेडी	Кеннеди, Джон Фицджеральд
वीर्य	Сперма
शास्त्रीय संगीत	Классическая музыка
सिंफनी	Симфония
ब्लूज़	Блюз
वर्णमाला	Алфавит
रेगे	Регги
सेलम	Салем (Индия)
कोयंबतूर	Коимбатур
उदगमंदलम	Утакаманд
ओमेगा	Омега (буква)
मिंग राजवंश	Империя Мин
ड्वाइट डेविड आइज़नहावर	Эйзенхауэр, Дуайт Дэвид
नामक्कल	Намаккал
रोनाल्ड विलसन रीगन	Рейган, Рональд
डच विकिपीडिया	Нидерландская Википедия
मैसूर	Майсур
टीपू सुल्तान	Типу Султан
नीलगिरि पर्वत	Нилгири (горный массив)
बाटम	Батам
विक्टोरिया अज़ारेन्का	Азаренко, Виктория Фёдоровна
एंडी मरे	Маррей, Энди
लीसा रेमंड	Реймонд, Лиза
रफ़ाएल नडाल	Надаль, Рафаэль
लीब्र ऑफ़िस	LibreOffice
राहुल गांधी	Ганди, Рахул
भारतीय राष्ट्रीय कांग्रेस	Индийский национальный конгресс
भारतीय जनता पार्टी	Бхаратия джаната парти
दादा भाई नौरोजी	Наороджи, Дадабхай
दीपावली	Дивали
प्लाज़्मा (भौतिकी)	Плазма
मकर संक्रान्ति	Макара-санкранти
होली	Холи
पाइथागोरस	Пифагор
रक्षाबन्धन	Ракшабандхан
नवरात्रि	Наваратри
जार्को नीमैन	Ниеминен, Яркко
दशहरा	Виджаядашами
कुम्भ मेला	Кумбха-мела
कोलोसियम	Колизей
पार्थेनन	Парфенон
गरीबी	Бедность
सेविला एफ.सी.	Севилья (футбольный клуб)
वालेंसिया सीएफ़	Валенсия (футбольный клуб)
जरारोगविद्या	Гериатрия
जराविद्या	Геронтология
उत्तरकिरीट तारामंडल	Северная Корона
दक्षिण मीन तारामंडल	Южная Рыба
दक्षिणकिरीट तारामंडल	Южная Корона
नर जलसर्प तारामंडल	Южная Гидра (созвездие)
दक्षिण त्रिकोण तारामंडल	Южный Треугольник
कबूतर तारामंडल	Голубь (созвездие)
स्रोतास्विनी तारामंडल	Эридан (созвездие)
अश्वशाव तारामंडल	Малый Конь (созвездие)
अमरपक्षी तारामंडल	Феникс (созвездие)
ख़रगोश तारामंडल	Заяц (созвездие)
पहलवान तारामंडल	Геркулес (созвездие)
हिन्दी तारामंडल	Индеец (созвездие)
विश्वकद्रु तारामंडल	Гончие Псы (созвездие)
गिरगिट तारामंडल	Хамелеон (созвездие)
शर्मिष्ठा तारामंडल	Кассиопея (созвездие)
वृषपर्वा तारामंडल	Цефей (созвездие)
कराइना तारामंडल	Киль (созвездие)
ब्रह्मा तारामंडल	Возничий (созвездие)
ध्रुवमत्स्य तारामंडल	Малая Медведица (созвездие)
कैथरीन, कैम्ब्रिज की डचेस	Кэтрин, герцогиня Кембриджская
ऐन्तलिया तारामंडल	Насос (созвездие)
लायरा तारामंडल	Лира (созвездие)
छेनी तारामंडल	Резец (созвездие)
एर्टन सेना	Сенна, Айртон
स्वर्गपक्षी तारामंडल	Райская Птица (созвездие)
परकार तारामंडल	Циркуль (созвездие)
ययाति तारामंडल	Персей (созвездие)
मोर तारामंडल	Павлин (созвездие)
डेविड बेखम	Бекхэм, Дэвид
