ʻApelika	Африка
‘Alekina	Аргентина
Kālaimeaola	Биология
Kōlea ʻĀkau	Корейская Народно-Демократическая Республика
Kamabodia	Камбоджа
Nalala	Динозавры
Hoʻomana Mohameka	Ислам
Kālailau nahele	Ботаника
Sofia	София
Kūlanakauhale	Город
Lā	Солнце
Kahua o nā hōkū	Солнечная система
Haikokene	Водород
Hiliuma	Гелий
Likiuma	Литий
Beryllium	Бериллий
Makahiki	Год
Oslo	Осло
Likepona	Лиссабон
Rhône (kahawai)	Рона
Boron	Бор (элемент)
Kalepona	Углерод
Naikokene	Азот
‘Okikene	Кислород
Hōkū hele	Планета
Mokekao	Москва
Fluorine	Фтор
ʻŌlelo ʻĪkālia	Итальянский язык
Nīane	Неон
Sodiuma	Натрий
Makanekiuma	Магний
‘Aluminuma	Алюминий
‘Īnia	Индия
Silikone	Кремний
Pokepola	Фосфор
Sulufura	Сера
Kolorine	Хлор
William Shakespeare	Шекспир, Уильям
‘Aragona	Аргон
Potasiuma	Калий
Kalipuna	Кальций
Monokolia	Монголия
Scandium	Скандий
Titanium	Титан (элемент)
Vanadium	Ванадий
Maine	Мэн (штат)
Lio	Домашняя лошадь
Hoʻomana Buda	Буддизм
Nū Hamekia	Нью-Гэмпшир
Leonardo da Vinci	Леонардо да Винчи
Makakukeka	Массачусетс
Konekikuka	Коннектикут
Hawai‘i	Гавайи
Moana ʻĀlika	Северный Ледовитый океан
Heiti	Республика Гаити
‘Ilana	Иран
‘Ilaka	Ирак
‘Ālaka	Аляска
ʻIseraʻela	Израиль
Panamā	Панама
Iemene	Йемен
Ioredāne	Иордания
Pololika	Флорида
Kaikikana	Киргизия
‘Alikona	Аризона
Kuete	Кувейт
Laosa	Лаос
Lepanona	Ливан
‘Olekona	Орегон
Maladiwa	Мальдивы
Uka	Юта
Malaisia	Малайзия
Puruma	Мьянма
Nepala	Непал
ʻOmana	Оман
Pakitana	Пакистан
Katala	Катар
Saudi ʻAlapia	Саудовская Аравия
Sililanaka	Шри-Ланка
Suria	Сирия
Pokémon	Покемон
Tailani	Таиланд
Wiekanama	Вьетнам
‘Apekanikana	Афганистан
Banagaladesa	Бангладеш
Butana	Бутан
Brunei	Бруней
ʻĀina Pilipino	Филиппины
Isaac Newton	Ньютон, Исаак
Albert Einstein	Эйнштейн, Альберт
Tunisia	Тунис
Beijing	Пекин
Burakina Faso	Буркина-Фасо
ʻElikilea	Эритрея
Mauritiusa	Маврикий
Iulius Caesar	Гай Юлий Цезарь
Hamepuka	Гамбург
Huli honua	Геология
Mikikana	Мичиган
‘Ilinoe	Иллинойс
Tulinia	Тюрингия
Kakoka ‘Ākau	Северная Дакота
Kakoka Hema	Южная Дакота
Monekana	Монтана
Waiomina	Вайоминг
‘Ikahō	Айдахо
Wakinekona	Вашингтон (штат)
Moana ʻIniana	Индийский океан
Kololako	Колорадо
ʻAlepa	Альпы
Kikako, ʻIlinoe	Чикаго
‘Ōlelo Sepania	Испанский язык
Montevideo	Монтевидео
Johann Sebastian Bach	Бах, Иоганн Себастьян
Wilikinia	Виргиния
Wilikinia Komohana	Западная Виргиния
Nuioka	Нью-Йорк (штат)
Loke ‘Ailana	Род-Айленд
Melelana	Мэриленд
Kelawea	Делавэр
‘Ohaio	Огайо
Penekelewinia	Пенсильвания
Uetersen	Итерзен
Augustus	Октавиан Август
Nū ‘Ieleke	Нью-Джерси
‘Ōlelo Pinilana	Финский язык
‘Inikiana	Индиана
Keokia (‘Amelika Hui Pū ‘ia)	Джорджия
Kekeka	Техас
Kalolaina Hema	Южная Каролина
Seine	Сена
Buenos Aires	Буэнос-Айрес
Mēkiko D.F.	Мехико
Mikikipi	Миссисипи (штат)
Kenekī	Теннесси
Nū Mekiko	Нью-Мексико
‘Akenai	Афины
Minekoka	Миннесота
Wikonekina	Висконсин
‘Iowa	Айова
Nepalaka	Небраска
Kanekaka	Канзас
Mikouli	Миссури (штат)
Luikiana	Луизиана
Kenekuke	Кентукки
‘Akanaka	Арканзас
‘Okalahoma	Оклахома
Makekepuka	Магдебург
Reykjavík	Рейкьявик
Paipala	Библия
Thulium	Тулий
Ka Ho‘omana Iesū ‘Oia‘i‘o	Церковь истинного Иисуса
‘Ōlelo Pelekania	Английский язык
Đồng Hới	Донгхой
Concepción, Chile	Консепсьон (город, Чили)
Końskowola	Коньсковоля
2000	2000 год
2003	2003 год
2002	2002 год
2001	2001 год
2009	2009 год
2008	2008 год
2004	2004 год
2005	2005 год
2006	2006 год
2007	2007 год
Lipekika	Лейпциг
1998	1998 год
1999	1999 год
Kurów	Курув
Kemika	Химия
Makelika	Мадрид
Lima	Лима
Santiago de Chile	Сантьяго
Quito	Кито
Ankara	Анкара
Riyadh	Эр-Рияд
Kamakeko	Дамаск
Amman	Амман
Muscat	Маскат
Wikipedia:Sandbox	Википедия:Песочница
Wehimala	Веймар
Osasco	Озаску
Dong Hoi Airport	Донгхой (аэропорт)
Curitiba	Куритиба
Zichyújfalu	Зичиуйфалу
Sarah Bernhardt	Бернар, Сара
Mauna Kana Helena	Сент-Хеленс
Mokuhonua	Континент
Kapikala	Столица
Monzón	Монсон
Almazán	Альмасан
Puke noi‘i kū‘ikena	Энциклопедия
Ka papa kinohi	Заглавная страница
Vincent van Gogh	Ван Гог, Винсент
Frida Kahlo	Кало, Фрида
Michelangelo	Микеланджело
Pablo Picasso	Пикассо, Пабло
Raffael Santi	Рафаэль Санти
Rembrandt	Рембрандт
Frank Lloyd Wright	Райт, Фрэнк Ллойд
Matsuo Bashō	Мацуо Басё
Castille a Leon	Кастилия-Леон
Meka	Мекка
Gabriel García Márquez	Гарсиа Маркес, Габриэль
Johann Wolfgang von Goethe	Гёте, Иоганн Вольфганг фон
Māhele:Candidates for speedy deletion	Категория:Википедия:К быстрому удалению
Kaumokuʻāina	Страна
Homer	Гомер
Hōʻole Akua	Атеизм
Kālaikaiaola	Экология
Kālaiʻāina	Политика
Aupuni	Правительство
Qin Shi Huang	Цинь Шихуанди
Tolstoi	Толстой, Лев Николаевич
Moku‘āina	Государство
ʻŌlelo Lūkini	Русский язык
‘Ōlelo Pākē	Китайский язык
Nelson Mandela	Мандела, Нельсон
Makani Pāhili	Тропический циклон
Moʻokalaleo	Литература
Māhele:Palani	Категория:Франция
Oboe	Гобой
ʻOlumepika Kauwela ma 2008	Летние Олимпийские игры 2008
Granada	Гранада
ʻĀtoma	Атом
Lāpaki	Кролики
Mohameka	Мухаммед
Burgos	Бургос
Ronald Reagan	Рейган, Рональд
‘Ōlelo Zaza	Зазаки
Māhele:Palakila	Категория:Бразилия
Kumumea kemikala	Химический элемент
‘Ohe kani	Флейта
ʻAlea	Площадь
Hulahula	Танец
Papa o nā ʻāina	Алфавитный список стран и территорий
Miranda de Ebro (Burgos)	Миранда-де-Эбро
Kuli	Нарушение слуха
Ponferrada	Понферрада
Santander	Сантандер
Helu piha	Целое число
Malgrat de Mar	Мальграт-де-Мар
‘Ōlelo ‘Alapia	Арабский язык
Tiranosauru	Тираннозавр
Terikeratopa	Трицератопсы
Setegasauru	Стегозавры
Barakiosauru	Брахиозавр
Welokirapetoa	Велоцираптор
Hae	Флаг
‘Ulu	Хлебное дерево
Aupuni kiwikā	Муниципалитет
Salamanca	Саламанка
Zamora (España)	Самора (Испания)
León (España)	Леон (Испания)
Welemoneka	Вермонт
Houston, Kekeka	Хьюстон
Pēniki	Финикс
Kakalameko	Сакраменто (Калифорния)
Honolulu, Hawaiʻi	Гонолулу
Kauoha Hou	Новый Завет
Rafael Correa	Корреа, Рафаэль
Louvre	Лувр
‘Ao‘ao Kū‘oko‘a Pokoliko	Партия независимости Пуэрто-Рико
Kalikimaka	Рождество Христово
Mo‘ai	Моаи
Hoʻolele hualono	Подкастинг
Friedrich Schiller	Шиллер, Фридрих
Jean Auguste Dominique Ingres	Энгр, Жан Огюст Доминик
Pule	Неделя
Cervidae	Оленевые
Pule Alaka‘i A Ka Haku	Отче наш
Musée d'Orsay	Музей Орсе
Mokupuni	Остров
Moshchena	Мощёная
ʻōhiʻa lomi	Томат
Paltoga	Палтога
Panalā‘au o Quảng Binh	Куангбинь
Bryan Cranston	Крэнстон, Брайан
Felidae	Кошачьи
Pichilemu	Пичилему
Canidae	Псовые
Karlstad	Карлстад
Mölnlycke	Мёльнлюкке
Bovidae	Полорогие
Phocidae	Настоящие тюлени
ʻAnekelopa	Антилопы
‘Amelika	Amerika
Cabañas Raras	Кабаньяс-Рарас
Ardón (León)	Ардон (Леон)
Algadefe	Альгадефе
Acebedo	Асебедо
Los Barrios de Luna	Лос-Барриос-де-Луна
Fresno de la Vega	Фресно-де-ла-Вега
La Antigua (Sepania)	Ла-Антигуа (Испания)
Almanza	Альманса (Леон)
El Burgo Ranero	Эль-Бурго-Ранеро
Boca de Huérgano	Бока-де-Уэргано
Bustillo del Páramo	Бустильо-дель-Парамо
Boñar	Боньяр
Alija del Infantado	Алиха-дель-Инфантадо
Brazuelo	Брасуэло
Berlanga del Bierzo	Берланга-дель-Бьерсо
Cabreros del Río	Кабрерос-дель-Рио
Bercianos del Real Camino	Берсьянос-дель-Реаль-Камино
Burón (León)	Бурон (Леон)
Bercianos del Páramo	Берсьянос-дель-Парамо
Otariidae	Ушастые тюлени
Pinnipedia	Ластоногие
Zhengzhou	Чжэнчжоу
Mīkini helu	Калькулятор
Halakepoka	Хартфорд (Коннектикут)
‘Ōlelo Hawai‘i	Гавайский язык
Pea kina	Большая панда
Pae moku	Архипелаг
Valparaíso	Вальпараисо
‘Ōlelo Sāmoa	Самоанский язык
Marlon Brando	Брандо, Марлон
‘Ōlelo Kahiki	Таитянский язык
Wailele ‘o Niakala	Ниагарский водопад
Mošovce	Мошовце
Kauō	Лайсан
ʻAperodite	Афродита
Nā mokuʻāina o ʻAmelika Hui	Штат США
Pauka niho	Зубная паста
Mineapoli	Миннеаполис
Apia	Апиа
Brigitte Bardot	Бардо, Брижит
Arancón	Аранкон
'ōlelo toki pona	Токипона
Paul Gauguin	Гоген, Поль
Teide	Тейде
Kālaiʻelala	Энтомология
Ágreda	Агреда
ʻAnekilosauru	Анкилозавр
Waleluka	Морж
Johannes Vermeer	Вермеер, Ян
Teletubbies	Телепузики
Kahiki	Таити
Israel Kamakawiwoʻole	Камакавивооле, Израэль
Johnny Cash	Кэш, Джонни
Nanahana	Гинкго двулопастной
Hesioda	Гесиод
Cubillos del Sil	Кубильос-дель-Силь
Igüeña	Игуэнья
Noceda del Bierzo	Носеда-дель-Бьерсо
Castropodame	Кастроподаме
Páramo del Sil	Парамо-дель-Силь
Molinaseca	Молинасека
Toreno	Торено
Folgoso de la Ribera	Фольгосо-де-ла-Рибера
Sancedo	Санседо
Josepa Samika	Смит, Джозеф
Pihemanu	Мидуэй
Paris Hilton	Хилтон, Пэрис
Palapola	Парабола
Helu kumu	Простое число
Palencia	Паленсия (провинция)
El Royo	Эль-Ройо
Reyero	Рейеро
La Ercina	Ла-Эрсина
La Robla	Ла-Робла
Santa Colomba de Curueño	Санта-Коломба-де-Куруэньо
Santa María del Monte de Cea	Санта-Мария-дель-Монте-де-Сеа
San Cristóbal de la Polantera	Сан-Кристобаль-де-ла-Полантера
ʻUkulele	Укулеле
Santa María del Páramo	Санта-Мария-дель-Парамо
Santa Elena de Jamuz	Санта-Элена-де-Хамус
San Justo de la Vega	Сан-Хусто-де-ла-Вега
Hawai‘i (mokupuni)	Гавайи (остров)
Georg Philipp Telemann	Телеман, Георг Филипп
ʻUlano	Уран (мифология)
Coronel Fabriciano	Коронел-Фабрисиану
Quintana y Congosto	Кинтана-и-Конгосто
Matallana de Torío	Матальяна-де-Торио
Pamela Anderson	Андерсон, Памела
Gema	Драгоценные камни
Nā panalā‘au o Burgos	Муниципалитеты Бургоса
Puahōlani	Тюльпан
Nā panalā‘au o León	Муниципалитеты Леона
Nikolai Rimsky-Korsakov	Римский-Корсаков, Николай Андреевич
Nā panalā‘au o Salamanca	Муниципалитеты Саламанки
Nā panalā‘au o Soria	Муниципалитеты Сории
Nā panalā‘au o Tarragona	Муниципалитеты Таррагоны
Donald Sutherland	Сазерленд, Дональд
Peter O'Toole	О’Тул, Питер
Nā panalā‘au o Zamora	Муниципалитеты Саморы
Lili‘uokalani	Лилиуокалани
Joey King	Кинг, Джоуи
X-Men	Люди Икс
Nika	Нюкта
Mauna Kea	Мауна-Кеа
O‘ahu	Оаху
Lucillo	Лусильо
Cimanes de la Vega	Симанес-де-ла-Вега
Cebrones del Río	Себронес-дель-Рио
Quintana del Marco	Кинтана-дель-Марко
San Millán de los Caballeros	Сан-Мильян-де-лос-Кабальерос
Cubillas de Rueda	Кубильяс-де-Руэда
Cea (León)	Сеа (Леон)
Garrafe de Torío	Гаррафе-де-Торио
Santa María de Ordás	Санта-Мария-де-Ордас
Cuadros	Куадрос (Леон)
Llamas de la Ribera	Льямас-де-ла-Рибера
Riello	Риельо
Palacios de la Valduerna	Паласьос-де-ла-Вальдуэрна
Castrocalbón	Кастрокальбон
Carrocera	Карросера
Murias de Paredes	Мурьяс-де-Паредес
Rioseco de Tapia	Риосеко-де-Тапия
Santa Cristina de Valmadrigal	Санта-Кристина-де-Вальмадригаль
Grajal de Campos	Грахаль-де-Кампос
Santa María de la Isla	Санта-Мария-де-ла-Исла
Campo de Villavidel	Кампо-де-Вильявидель
Crémenes	Кременес
Cimanes del Tejar	Симанес-дель-Техар
Castilfalé	Кастильфале
Quintana del Castillo	Кинтана-дель-Кастильо
Campazas	Кампасас
Pajares de los Oteros	Пахарес-де-лос-Отерос
San Pedro Bercianos	Сан-Педро-Берсьянос
Santa Marina del Rey	Санта-Марина-дель-Рей
Cebanico	Себанико
Gordaliza del Pino	Гордалиса-дель-Пино
Castrillo de la Valduerna	Кастрильо-де-ла-Вальдуэрна
Pozuelo del Páramo	Посуэло-дель-Парамо
Prado de la Guzpeña	Прадо-де-ла-Гуспенья
Matanza (León)	Матанса (деревня)
Santa Colomba de Somoza	Санта-Коломба-де-Сомоса
Cubillas de los Oteros	Кубильяс-де-лос-Отерос
Mansilla Mayor	Мансилья-Майор
Gordoncillo	Гордонсильо
San Esteban de Nogales	Сан-Эстебан-де-Ногалес
Regueras de Arriba	Регерас-де-Арриба
Luyego	Луйего
Maraña	Маранья
Castrotierra de Valmadrigal	Кастротьерра-де-Вальмадригаль
Magaz de Cepeda	Магас-де-Сепеда
Matadeón de los Oteros	Матадеон-де-лос-Отерос
Castrillo de Cabrera	Кастрильо-де-Кабрера
Gusendos de los Oteros	Гусендос-де-лос-Отерос
Chozas de Abajo	Чосас-де-Абахо
Roperuelos del Páramo	Роперуэлос-дель-Парамо
Sonata No. 8 no Piano (Beethoven)	Соната для фортепиано № 8 (Бетховен)
ʻĀpana	Дистрикт
John Singer Sargent	Сарджент, Джон Сингер
Sesame Street	Улица Сезам
Aupuni Mōʻī o Hawaiʻi	Королевство Гавайи
Mauna Loa	Мауна-Лоа
Pat Hingle	Хингл, Пэт
Frans Hals	Халс, Франс
Pō La‘i Ē	Тихая ночь
Nuʻuhiwa	Маркизские острова
Edentata	Xenarthra
Hualālai	Хуалалаи (вулкан)
Caltojar	Кальтохар
Berlanga de Duero	Берланга-де-Дуэро
Christopher Lee	Ли, Кристофер
Knoxville, Kenekī	Ноксвилл
Lāna‘i	Ланаи
Carl Larsson	Ларссон, Карл Улоф
Kīlauea	Килауэа
Maui	Мауи
Māmā	Музыкальный темп
Christopher Plummer	Пламмер, Кристофер
Mokupuni o Hawai‘i	Гавайские острова
Ivan Shishkin	Шишкин, Иван Иванович
Moloka‘i	Молокаи
Nancy Reagan	Рейган, Нэнси
Almuñécar	Альмуньекар
Hakakā ‘ole	Неприятие убийства
Kaua‘i	Кауаи
Tigranes II	Тигран II
Georges de La Tour	Латур, Жорж де
Adour	Адур
Ivan Kramskoi	Крамской, Иван Николаевич
Motril	Мотриль
Roger Ebert	Эберт, Роджер
John Bauer	Бауэр, Йон
Adolfo Suárez	Суарес, Адольфо
Thomas Eakins	Икинс, Томас
Kamehameha I	Камеамеа I
Hilo	Хило
Anggun	Анггун
Kaho‘olawe	Кахоолаве
Kalo	Таро (растение)
Makua Kamiano	Вёстер, Дамиан де
Ni‘ihau	Ниихау
Dixie Carter	Картер, Дикси
Guadix	Гуадикс
Pete Seeger	Сигер, Пит
Heleuī	Хэллоуин
Waikīkī	Вайкики
Castrojeriz	Кастрохерис
Camponaraya	Кампонарая
Ituero de Azaba	Итуэро-де-Асаба
Villardiegua de la Ribera	Вильярдьегуа-де-ла-Рибера
Małgorzata Braunek	Браунек, Малгожата
O Clone	Клон (телесериал)
Xuxa	Шуша (певица)
Bañuelos de Bureba (Burgos)	Баньуэлос-де-Буреба
Imelda Marcos	Маркос, Имельда Ромуальдес
Mariana Ximenes	Шименес, Мариана
Órgiva	Орхива
Michael Gough	Гоф, Майкл
Sargentes de la Lora (Burgos)	Сархентес-де-ла-Лора
Vadillo	Вадильо
Makeima	Макадамия
Richard Griffiths	Гриффитс, Ричард
Donald Pleasence	Плезенс, Дональд
Andrew Wyeth	Уайет, Эндрю
'Imi loa Dora	Даша — путешественница
Loja	Лоха (Испания)
Richard Schiff	Шифф, Ричард
Pedro de Betancur	Бетанкур, Педро де Сан Хосе
Calzada de Valdunciel	Кальсада-де-Вальдунсьель
Villarcayo de Merindad de Castilla la Vieja (Burgos)	Вильяркайо-де-Мериндад-де-Кастилья-ла-Вьеха
Tubilla del Lago (Burgos)	Тубилья-дель-Лаго
Pino del Oro	Пино-дель-Оро
Maki a Ruby	Макс и Руби
Jeddah	Джидда
Almaluez	Альмалуэс
Salas de los Infantes (Burgos)	Салас-де-лос-Инфантес
Kamehameha II	Камеамеа II
Makakilo	Макакило
Arraya de Oca (Burgos)	Аррая-де-Ока
Valencia de Don Juan	Валенсия-де-Дон-Хуан
Manzanal del Barco	Мансаналь-дель-Барко
Bugedo (Burgos)	Бухедо
Anne Hathaway	Хатауэй, Энн (значения)
Partido de la Sierra en Tobalina (Burgos)	Партидо-де-ла-Сьерра-эн-Тобалина
Valdefresno	Вальдефресно
Salobreña	Салобренья
Aldea del Obispo	Альдеа-дель-Обиспо
Arabayona de Mógica	Арабайона-де-Мохика
El Maderal	Эль-Мадераль
Roa (Burgos)	Роа (город)
Calvarrasa de Arriba	Кальварраса-де-Арриба
Kamehameha III	Камеамеа III
Buke a Moramona	Книга Мормона
Carazo	Карасо (департамент)
Astorga	Асторга
Pōmare IV	Помаре IV
Alexander ʻIolani Liholiho	Камеамеа IV
Tan Son Nhat International Airport	Таншоннят
Aliud	Альюд
Baraona	Бараона
Medinaceli	Мединасели
Láchar	Лачар
Burgo de Osma-Ciudad de Osma	Бурго-де-Осма-Сьюдад-де-Осма
Suellacabras	Суэльякабрас
Yanguas	Янгуас
San Esteban de Gormaz	Сан-Эстебан-де-Гормас
Baza	Баса (город)
San Vicente del Raspeig	Сан-Висенте-дель-Распеч
Aranda de Duero (Burgos)	Аранда-де-Дуэро
Nā kiaʻāina o Hawaiʻi	Список губернаторов штата Гавайи
Ka'aahi Thomas	Томас и друзья
Likaono	Ликаон
Alhama de Granada	Альхама-де-Гранада
Mauna kai	Подводная гора
Gallegos del Río	Гальегос-дель-Рио
Espinosa de los Monteros (Burgos)	Эспиноса-де-лос-Монтерос
Rabanera del Pinar (Burgos)	Рабанера-дель-Пинар
Cañamaque	Каньямаке
Cazurra	Касурра
Requejo (Zamora)	Рекехо
Haleakalā	Халеакала (вулкан)
Navaleno	Навалено
Tremedal de Tormes	Тремедаль-де-Тормес
Las Omañas	Лас-Оманьяс
Santa Eufemia del Barco	Санта-Эуфемия-дель-Барко
Huahine	Хуахине
Alfoz de Bricia (Burgos)	Альфос-де-Брисия
Villalbilla de Burgos (Burgos)	Вильяльбилья-де-Бургос
Negrilla de Palencia	Негрилья-де-Паленсия
Honolulu International Airport	Гонолулу (аэропорт)
Efrem Zimbalist, Jr.	Цимбалист, Ефрем (младший)
Belorado (Burgos)	Белорадо
Peleas de Abajo	Пелеас-де-Абахо
Fresneda de la Sierra Tirón (Burgos)	Фреснеда-де-ла-Сьерра-Тирон
Morales de Toro	Моралес-де-Торо
Carcedo de Burgos	Карседо-де-Бургос
Cijuela	Сихуэла
Armilla	Армилья
Chauchina	Чаучина
Dúrcal	Дуркаль
Cantabrana	Кантабрана
Fuente Vaqueros	Фуэнте-Вакерос
Huéscar	Уэскар
Trévago	Треваго
Maracena	Марасена
La Bouza	Ла-Боуса
El Campo de Peñaranda	Эль-Кампо-де-Пеньяранда
Palacios de Riopisuerga (Burgos)	Паласьос-де-Риописуэрга
Līhuʻe	Лихуэ
Pedrosa del Príncipe (Burgos)	Педроса-дель-Принсипе
Merindad de Valdeporres (Burgos)	Мериндад-де-Вальдепоррес
Aldealengua	Альдеаленгуа
Cañizal	Каньисаль
Tubilla del Agua (Burgos)	Тубилья-дель-Агуа
La Encina (Salamanca)	Ла-Энсина
Valdepiélago	Вальдепьелаго
Villademor de la Vega	Вильядемор-де-ла-Вега
Camarzana de Tera	Камарсана-де-Тера
Dévanos	Деванос
Poʻipū	Поипу
Zotes del Páramo	Сотес-дель-Парамо
Cañizo	Каньисо
Priaranza del Bierzo	Приаранса-дель-Бьерсо
Villagonzalo Pedernales (Burgos)	Вильягонсало-Педерналес
Frades de la Sierra	Фрадес-де-ла-Сьерра
Avellanosa de Muñó (Burgos)	Авельяноса-де-Муньо
Pinos Puente	Пинос-Пуэнте
Fuentes de Carbajal	Фуэнтес-де-Карбахаль
Garcibuey	Гарсибуэй
Rollán	Рольян
Moreruela de Tábara	Мореруэла-де-Табара
El Bodón	Эль-Бодон
Monasterio de la Sierra (Burgos)	Монастерио-де-ла-Сьерра
Villamiel de la Sierra (Burgos)	Вильямьель-де-ла-Сьерра
Santa Fe	Санта-Фе (Гранада)
Ólvega	Ольвега
Solarana (Burgos)	Соларана
Kailua-Kona	Каилуа-Кона
Barrio de Muñó (Burgos)	Баррио-де-Муньо
Valmala (Burgos)	Вальмала (Испания)
Casaseca de Campeán	Касасека-де-Кампеан
Terradillos de Esgueva (Burgos)	Террадильос-де-Эсгева
Villamartín de Don Sancho	Вильямартин-де-Дон-Санчо
Viveiro	Виверо
Burganes de Valverde	Бурганес-де-Вальверде
Sobrado	Собрадо
Basconcillos del Tozo (Burgos)	Басконсильос-дель-Тосо
San Martín de Valderaduey	Сан-Мартин-де-Вальдерадуэй
Palapala ‘Āina Honua	Карта мира
Magaña	Маганья
La Calzada de Béjar	Ла-Кальсада-де-Бехар
Kapaʻa	Капаа
Abajas (Burgos)	Абахас
Itero del Castillo (Burgos)	Итеро-дель-Кастильо
Hawaiʻi Ponoʻī	Hawaii Pono’i
Huinakolu Polenekia	Полинезийский треугольник
Izagre	Исагре
Reinosa	Рейноса
Centenera de Andaluz	Сентенера-де-Андалус
Villalazán	Вильяласан
Almenara de Tormes	Альменара-де-Тормес
Bermellar	Бермельяр
Mokupāpapa	Куре (атолл)
Sila Hawaiʻi	Гавайский тюлень-монах
Cacabelos	Какабелос
Béjar	Бехар
Topas	Топас
Vidayanes	Видаянес
Villanázar	Вильянасар
Soto de la Vega	Сото-де-ла-Вега
Faramontanos de Tábara	Фарамонтанос-де-Табара
Manzanal de los Infantes	Мансаналь-де-лос-Инфантес
Kaunakakai	Каунакакаи
Peque	Пеке
Fermoselle	Фермоселье
Valle de Sedano (Burgos)	Валье-де-Седано
Junta de Traslaloma (Burgos)	Хунта-де-Траслалома
Mansilla de las Mulas	Мансилья-де-лас-Мулас
ʻOeneusa	Ойней
Atapuerca (Burgos)	Атапуэрка (муниципалитет)
Riocavado de la Sierra (Burgos)	Риокавадо-де-ла-Сьерра
Belver de los Montes	Бельвер-де-лос-Монтес
Villanueva de Argaño (Burgos)	Вильянуэва-де-Арганьо
Valderas	Вальдерас
Menekikā	Менди
Gradefes	Градефес
Onzonilla	Онсонилья
Arenas de Iguña	Аренас-де-Игуния
Ciudad Rodrigo	Сьюдад-Родриго
Sahagún	Саагун
Villatuelda (Burgos)	Вильятуэльда
Almarza	Альмарса
Aldealices	Альдеалисес
Aldealafuente	Альдеалафуэнте
Alentisque	Алентиске
Adradas	Адрадас
Alconaba	Альконаба
Abejar	Абехар
Almajano	Альмахано
Arenillas	Аренильяс
Aldealpozo	Альдеальпосо
Alcubilla de las Peñas	Алькубилья-де-лас-Пеньяс
Aldealseñor	Альдеальсеньор
Alcubilla de Avellaneda	Алькубилья-де-Авельянеда
Covaleda	Коваледа
Casarejos	Касарехос
Cerbón	Сербон
